,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.08157938975805805,0.0,0.03964876641105683,0.004958145840546001,0.0,0.18153083474150064,0.019133392563768562,0.1311934046788692,0.06523829423527276,0.1289962922711098,0.1966296044893888,0.1510918750104293
x534y50,0.3280656758830363,0.01644794402604128,0.029804672655982405,0.0,0.17359330674243462,0.0050363592017015684,0.00852222140595787,0.16437086575039683,0.0,0.19437400589274337,0.021919536112952186,0.05786541232875357
x1034y50,0.27429798471639516,0.0,0.006145234529148857,0.0,0.0,0.21108929602693885,0.021668711374641214,0.1501763142318579,0.14196402411532902,0.0,0.1946584350056891,0.0
x1534y50,0.28819920105942487,0.008387839417660792,0.010491213367853785,0.0,0.03984321277626818,0.23646692773316333,0.03029048005111823,0.0995622336916914,0.05708411451830135,0.1246512722429062,0.0,0.1050235051416118
x2034y50,0.27142472373948595,0.0,0.01469626992597579,0.0035342383607555213,0.10768295900901428,0.05359827699781155,0.011945101738277692,0.10749416959450511,0.05126579200232848,0.09473513483277601,0.19646241936583103,0.08716091443323855
x3034y50,0.06375116281175751,0.036432130659255796,0.11530092782858914,0.0,0.0,0.36283761375162327,0.0,0.13099665111250258,0.0,0.15588294998686278,0.0,0.1347985638494088
x34y550,0.07301941781619553,0.09904270556541492,0.0,0.1674471941959692,0.0,0.21660731700624467,0.0,0.0992552075261847,0.17496185194559763,0.14283866217951893,0.0,0.026827643764874454
x534y550,0.042932786901496614,0.002694708370628328,0.0,0.002056333287768833,0.2434126657594719,0.334269899096536,0.006090283158317069,0.093336525536847,0.033514501354217865,0.11264210931622715,0.07103089894314611,0.05801928827534328
x1534y550,0.03488017595540631,0.0,0.0025940517630264406,0.0,0.0,0.31586703430068885,0.01707984877084936,0.270375765153857,0.0033801544857150695,0.09703004570839824,0.2015463473584646,0.057246576503594236
x2534y550,0.24101777771598637,0.009942843912170903,0.046004992623681885,0.0012040008990992668,0.02999906813310898,0.2123699737688981,0.0020382242091103245,0.18989199654732378,0.0,0.09416573273821222,0.0,0.17336538945240812
x4534y550,0.2860321818039249,0.0,0.01890657732826407,0.0,0.11083959251031002,0.12068575503722123,0.0,0.09986093630836838,0.0,0.1634692028277745,0.0,0.20020575418413686
x5534y550,0.1468169692917276,0.0,0.0,0.0009990263740665719,0.038822451574407606,0.2924468730736495,0.014430691350257817,0.2908109651523231,0.01039901634744499,0.09154534531083766,0.11372866152528514,0.0
x6034y550,0.08784003843297972,0.026748376335811674,0.2848035404345419,0.0,0.0,0.2617623786503223,0.039225648923762665,0.0,0.0,0.2146571217885828,0.0849628954339989,0.0
x7034y550,0.04938741558651831,0.0,0.04170624958618837,0.06168528518807042,0.04467617689040933,0.10082972445124565,0.0,0.2042545253844966,0.18284027094030492,0.0,0.2280453638090824,0.08657498816368413
x8034y550,0.1570968062869171,0.19594818586698587,0.013657553141368236,0.010009317583259002,0.047526710025322834,0.21127008254860163,0.0,0.10718796775736902,0.0,0.023958915537627707,0.0146746129705803,0.21866984828196837
x8534y550,0.09629853877309018,0.0,0.016490644942276117,0.006549204103346236,0.0,0.26142179029785,0.04908573979913385,0.28784653854378955,0.09125643577965013,0.1309152242225517,0.0,0.06013588353831221
x9034y550,0.05388657743348581,0.01267831014702235,0.06845842361551621,0.0015128110848619115,0.13198366574658577,0.2649876168610855,0.007826810136086947,0.0979994046102184,0.03217334780218445,0.043757789276261845,0.1282794213543334,0.15645582193235744
x9534y550,0.04638130774366891,0.0,0.015268033627850062,0.0016079639315924976,0.12213367876533887,0.2017947521971378,0.014788162438365829,0.13230495049903185,0.05284163286023446,0.05229245564127459,0.15158245476189874,0.20900460753360653
x10034y550,0.11967580675241327,0.0,0.03703436316820771,0.030972517115720615,0.044583542330473236,0.27374249697593145,0.004767393289672999,0.1196198449362996,0.02778345591999168,0.16148840259134012,0.1803321769199493,0.0
x34y1050,0.07895659469371985,0.018858367138750852,0.0,0.0,0.24610315101564847,0.39528386951182276,0.0,0.1901959267065777,0.0,0.02698157851589379,0.0,0.04362051241758665
x1034y1050,0.1935275419220204,0.0,0.0,0.0033120212545874033,0.05994746094505136,0.025107506057855715,0.006834054605518303,0.17039354243313415,0.0,0.22474669955162005,0.2637859543026257,0.05234521892758702
