,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.27970950151850743,0.0,0.03377707210625134,0.0,0.05782094173191518,0.0,0.0,0.2945091236446417,0.10315826379950326,0.0,0.23102509719918107,0.0
x534y50,0.8857290632579083,0.0,0.019998393868248955,0.0,0.006907041512218693,0.0,0.0,0.05143014117404581,0.013965580724714896,0.016285926369131565,0.0,0.00568385309373179
x1034y50,0.584644335436242,0.0,0.11209237164768432,0.0,0.0,0.22075331573010307,0.0,0.0,0.0,0.0,0.08250997718597065,0.0
x1534y50,0.6938360960482425,0.0,0.0,0.0,0.0,0.00272478660782356,0.23120648840409527,0.0,0.07223262893983876,0.0,0.0,0.0
x2034y50,0.8170968307766524,0.005867054078252558,0.0,0.0,0.0,0.004640391332500622,0.0,0.0,0.09927360433804854,0.0,0.041422233045322734,0.03169988642922329
x3034y50,0.01818180882831329,0.1442543428928206,0.48855321626740883,0.0,0.0,0.1767023577899118,0.0,0.0,0.0,0.1723082742215455,0.0,0.0
x34y550,0.0,0.16110913408454494,0.09264093743357828,0.6689187643060291,0.0,2.1902054931479473e-10,0.0,0.015443266687623967,0.035399648334240044,0.026488248934963,0.0,0.0
x534y550,0.006198093011043729,0.0,0.0,0.0,0.7830532794918417,0.1861865822580219,0.02456204523909272,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836280197405341,0.04638893813332481,0.0,0.11733086446133424,0.0
x2534y550,0.5419006394393557,0.0,0.0,0.0,0.0,0.0,0.0,0.43925019860372866,0.0,0.0,0.0,0.018849161956915675
x4534y550,0.6584997421534773,0.057592398950270234,0.0,0.0,0.06029983962519749,0.013222576039581812,0.0,0.0,0.015593267993304,0.08701565624706357,0.0,0.10777651899110549
x5534y550,0.3693376782014868,0.0,0.0,0.0,0.0,0.0,0.013682583125206912,0.6169797386733064,0.0,0.0,0.0,0.0
x6034y550,0.009633867166230528,0.0,0.9034218631310209,0.02810673327185151,0.0,0.0013900002596315224,0.001243618026680666,0.0,0.0,0.0,0.05620391814458483,0.0
x7034y550,0.020331524334466267,0.01558575331903113,0.18196400921550093,0.5100906465132347,0.0,0.0,0.0,0.03109322886585492,0.1313590863823168,0.0,0.04155626974058585,0.06801948162900935
x8034y550,0.1182182939400211,0.6456218868879314,0.0,0.0,0.07635698434541825,0.09520481017364504,0.004270482733348619,0.013227603044085259,0.0,0.0,0.029923149422208434,0.01717678945334168
x8534y550,0.15454480880615176,0.0922367572701263,0.01610443531323413,0.0,0.2761234956016583,0.03699139695875085,0.003350771485551879,0.09247576004558522,0.0454515456202656,0.07933072129708725,0.07018363933785673,0.13320666826373195
x9034y550,0.0,0.0092215531534281,0.12749545670818796,0.0,0.661441713507043,0.025279807883423846,0.0,0.14473477777214142,0.031826690975775805,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.44130970875162306,0.2537109147433823,0.0026625416972265053,0.1911649900913367,0.0,0.0,0.11115184471643143,0.0
x10034y550,0.20913956147461873,0.16175182581707687,0.17371206790254917,0.3575478041079284,0.04556942888023243,0.0,0.0,0.0,0.0522793118175944,0.0,0.0,0.0
x34y1050,0.019877338231457885,0.0019626452605566187,0.0,0.0,0.6047912775158603,0.16855025505726653,0.03736857179259644,0.12924325367262318,0.0,0.0,0.038206658469639145,0.0
x1034y1050,0.5668287758701775,0.0,0.0,0.0,0.0,0.0,0.014423017618284054,0.03951927165252558,0.010709371723806928,0.2028315354452157,0.16568802768999016,0.0
x1534y1050,0.0,0.0,0.10041428288186371,0.0,0.3960886222425064,0.0,0.05301957538805508,0.0,0.0,0.0,0.4504775194875749,0.0
x2034y1050,0.4808346626850616,0.08118392535094422,0.0,0.09243389175597391,0.0,0.0,0.0,0.14691249420905259,0.0,0.0,0.018886171225830174,0.17974885477313746
x3034y1050,0.13130554016972418,0.08721538332539328,0.7480948562196906,0.0,0.013709406415088263,0.0,0.0,0.0,0.0,0.0196748138701036,0.0,0.0
x3534y1050,0.6601982366283111,0.03421760563712431,0.08244682914564437,0.0,0.02799214144335867,0.0,0.06069783418140911,0.0,0.0,0.004509859759140814,0.03316166471774705,0.09677582848726447
x4534y1050,0.0,0.4673030210865386,0.0,0.0,0.217657419484257,0.0,0.1668712009708751,0.03384383631553153,0.0,0.0,0.11432452214279767,0.0
x5034y1050,0.6992934182944525,0.0,0.0,0.0,0.0,0.29160148049438345,0.0,0.0,0.0,0.009105101211163931,0.0,0.0
x5534y1050,0.14018677619431036,0.007849643782024244,0.22283777381655911,0.0,0.056372563301078794,0.0,0.002598396010067903,0.22202980932935004,0.14987166239424485,0.0,0.19825337517236474,0.0
x7034y1050,0.010061989111129007,0.05395485742627436,0.16163262923336116,0.0,0.2177359031217167,0.0,0.2330124341266318,0.0,0.0,0.0,0.32360218698088694,0.0
x7534y1050,0.13106557323066245,0.0,0.0,0.0,0.1475987474820028,0.11449044344223877,0.035796301586826326,0.4588829167559223,0.0,0.0,0.11216601750234734,0.0
x8034y1050,0.18286772192026948,0.13333988426325946,0.08037983771960874,0.07430684972186462,0.06735471820530585,0.021656316048290256,0.0,0.3204646022962571,0.0,0.0,0.08389269506021547,0.03573737476492889
x8534y1050,0.08521755781408522,0.01355230831441014,0.0,0.8317422632668824,0.04750143014662376,0.0,0.0,0.0,0.010936187795779205,0.0,0.011050252662219338,0.0
x9034y1050,0.7125659856168307,0.0,0.0,0.032059968970984246,0.0,0.11858139155122258,0.0,0.13679265386096243,0.0,0.0,0.0,0.0
