,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.2851122642583263,0.0,0.03488033656386068,0.0,0.06509254280525859,0.0,0.0,0.288601161555497,0.11219777819942711,0.0,0.21411591661763038,0.0
x534y50,0.874718320012425,0.0,0.02264823761971818,0.0,0.009247420978546942,0.0,0.0,0.055205222635562774,0.01416826400368359,0.017872329803587238,0.0,0.006140204946476012
x1034y50,0.5916101087138691,0.0,0.11085634140400884,0.0,0.0,0.21549884685216664,0.0,0.0,0.0,0.0,0.08203470302995534,0.0
x1534y50,0.692750272577519,0.0,0.0,0.0,0.0,0.0030238800633512804,0.2299967707109037,0.0,0.07422907664822613,0.0,0.0,0.0
x2034y50,0.8167699879651668,0.005881386317063185,0.0,0.0,0.0,0.00465791720486331,0.0,0.0,0.09949683855606363,0.0,0.04142922978561553,0.03176464017122765
x3034y50,0.01818180882831329,0.1442543428928206,0.48855321626740883,0.0,0.0,0.1767023577899118,0.0,0.0,0.0,0.1723082742215455,0.0,0.0
x34y550,0.0,0.18354135968072546,0.102081254363115,0.6275234528288797,0.0,2.2389919072635503e-10,0.0,0.01722674535416956,0.03807498552710484,0.03155220202210633,0.0,0.0
x534y550,0.006510059230033852,0.0,0.0,0.0,0.7307671981530914,0.23707835931966428,0.025644383297210513,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814384860688942,0.04992284293448114,0.0,0.13569229637657684,0.0
x2534y550,0.5420048332251244,0.0,0.0,0.0,0.0,0.0,0.0,0.4392586334281003,0.0,0.0,0.0,0.018736533346775348
x4534y550,0.6529567999884847,0.05867471369315996,0.0,0.0,0.06286346444577447,0.013247733815641484,0.0,0.0,0.016780352615758092,0.088172227552576,0.0,0.1073047078886053
x5534y550,0.37205465343561084,0.0,0.0,0.0,0.0,0.0,0.014739393039440505,0.6132059535249487,0.0,0.0,0.0,0.0
x6034y550,0.009876258413447716,0.0,0.8975399691594997,0.028904989853445764,0.0,0.001611840498497688,0.0016116502735339364,0.0,0.0,0.0,0.06045529180157514,0.0
x7034y550,0.02056587074518848,0.015617745705944357,0.18460632309508956,0.5030349712744427,0.0,0.0,0.0,0.03101435619134506,0.1265884611890637,0.0,0.05115816599970593,0.06741410579922016
x8034y550,0.12208130475209777,0.6199956012752179,0.0,0.0,0.09422711721218642,0.09555607009473154,0.004578555217221317,0.013638254414399732,0.0,0.0,0.03060793997358647,0.019315157060558884
x8534y550,0.15432732773757848,0.0951829022272412,0.016129625614638435,0.0,0.2765177952836793,0.039906949212933196,0.003214909789037921,0.09261943853063932,0.0556757116302046,0.07751101570934442,0.07191943609076178,0.11699488817394119
x9034y550,0.0,0.009192199688202606,0.13175390278771928,0.0,0.6180203564813381,0.04242362309961639,0.0,0.16481676946300305,0.03379314848012045,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.4087224848386865,0.28254294602226965,0.002567778177872729,0.1962728405581187,0.0,0.0,0.10989395040305242,0.0
x10034y550,0.2108649772917783,0.1612092874133114,0.17346344049304072,0.3530797128494005,0.04967782178835912,0.0,0.0,0.0,0.05170476016411001,0.0,0.0,0.0
x34y1050,0.021210341171748165,0.0020512354790323557,0.0,0.0,0.5649864612383089,0.1882162391104265,0.04008765705891674,0.14044473343087643,0.0,0.0,0.043003332510691064,0.0
x1034y1050,0.5595068266488038,0.0,0.0,0.0,0.0,0.0,0.014949898840330027,0.03889777063053351,0.012375819554719216,0.17831493182773447,0.19595475249787894,0.0
x1534y1050,0.0,0.0,0.10344286050031234,0.0,0.38901355907845403,0.0,0.05473437428274408,0.0,0.0,0.0,0.45280920613848963,0.0
x2034y1050,0.46915511730492193,0.08632052474055653,0.0,0.09327370336145825,0.0,0.0,0.0,0.1469390838822034,0.0,0.0,0.04941357159853508,0.15489799911232477
x3034y1050,0.13464711719342312,0.08953853632776648,0.7411035453780034,0.0,0.014495065995817258,0.0,0.0,0.0,0.0,0.020215735104989817,0.0,0.0
x3534y1050,0.6533460535713164,0.03417985342111565,0.08770389025486414,0.0,0.0283934346878753,0.0,0.06048501629484085,0.0,0.0,0.006095220233508305,0.036992960171745894,0.09280357136473345
x4534y1050,0.0,0.45491468317875605,0.0,0.0,0.21881722417486046,0.0,0.17011254344088314,0.03634120711371476,0.0,0.0,0.11981434209178549,0.0
x5034y1050,0.6938903277874127,0.0,0.0,0.0,0.0,0.29613749693394115,0.0,0.0,0.0,0.009972175278646188,0.0,0.0
x5534y1050,0.15412685579775315,0.008544182035043224,0.21269319914419205,0.0,0.05605541008655498,0.0,0.0028593473038432773,0.2370674780714828,0.15102637901641783,0.0,0.17762714854471273,0.0
x7034y1050,0.010341548798077032,0.055070086109967636,0.16420785248833433,0.0,0.22389666711425546,0.0,0.23184038369527016,0.0,0.0,0.0,0.31464346179409536,0.0
x7534y1050,0.1325913168114642,0.0,0.0,0.0,0.1618656312461556,0.1141191604097229,0.036241347852274265,0.43246655511926935,0.0,0.0,0.12271598856111378,0.0
x8034y1050,0.1854733798272617,0.13701036228894592,0.07831668560677507,0.07560306240613869,0.07690597135630409,0.023001261529913213,0.0,0.30322634355621225,0.0,0.0,0.08308623410424126,0.037376699324207875
x8534y1050,0.0968847069225759,0.015199551163042661,0.0,0.8063847301081164,0.055210903830992364,0.0,0.0,0.0,0.012437492708009602,0.0,0.013882615267263138,0.0
x9034y1050,0.688765555856758,0.0,0.0,0.03443912983611161,0.0,0.1314065327399454,0.0,0.145388781567185,0.0,0.0,0.0,0.0
x9534y1050,0.010151153516259115,0.025229384730657587,0.0,0.0,0.0,0.5831738158379532,0.0,0.38144564591513,0.0,0.0,0.0,0.0
x10034y1050,0.38244283779763744,0.0,0.054941445704897535,0.1871439265788149,0.0,0.06856412549127441,0.0,0.3069076644273757,0.0,0.0,0.0,0.0
x10534y1050,0.3093932791959799,0.0,0.0,0.5400548644130213,0.0,0.0,0.005552180932123304,0.09126202538123651,0.018807635605627444,0.0,0.03493001447201138,0.0
x34y1550,0.010996278137156474,0.0823177582946222,0.0,0.6781196232515787,0.0,0.20980123516169466,0.0,0.014389316985789742,0.0,0.0,0.0043757881691580975,0.0
x534y1550,0.0,0.0,0.2632637147361251,0.47090438821149116,0.0,0.03998879832014411,0.0,0.22584309873223965,0.0,0.0,0.0,0.0
x1034y1550,0.5746059993703673,0.0,0.0,0.1624605817845058,0.0,0.11241351404152426,0.09356789637101957,0.05695200843258319,0.0,0.0,0.0,0.0
x2034y1550,0.027325334231378232,0.8080843938025568,0.0,0.00825552590939129,0.046619519352731224,0.007862812955786553,0.0,0.0,0.046598277516248975,0.0,0.0,0.05525413623190688
x4534y1550,0.4534545965810661,0.12455845648283609,0.0,0.16935317596114136,0.0,0.2050120751489615,0.005452094714207411,0.0421696011117875,0.0,0.0,0.0,0.0
x5034y1550,0.71408393990048,0.0,0.03884678398966243,0.018149494174977437,0.03502201161963568,0.0,0.18722155908490834,0.006676211230336182,0.0,0.0,0.0,0.0
x5534y1550,0.3032384219626013,0.06686539779409847,0.0,0.3498623288702148,0.0,0.11227963934236906,0.0,0.1677542120307163,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.10138356329266549,0.0,0.6953314656986924,0.10121206824856975,0.08096816305325612,0.0,0.02110473970681607,0.0,0.0,0.0,0.0
x6534y1550,0.3397886335128957,0.18800249316978535,0.0,0.334470926255908,0.0,0.043073544889649956,0.08827592934344639,0.0,0.0,0.0,0.0,0.00638847282831482
x7034y1550,0.0,0.0,0.0,0.7711912011461807,0.13573875141953218,0.0,0.08126376208735003,0.0118062853469371,0.0,0.0,0.0,0.0
x7534y1550,0.48979550712179304,0.0,0.0,0.4153543392353184,0.0,0.0,0.0,0.09485015364288846,0.0,0.0,0.0,0.0
x8034y1550,0.8099820015579815,0.1900179984420184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.008055376627865726,0.114612134039921,0.058051981890534864,0.7585112999895123,0.0,0.04231453883707669,0.0,0.0,0.013308630030617021,0.0,0.005146038584472413,0.0
x9034y1550,0.14063719521378673,0.29313601795268,0.0,0.4527182034039457,0.11350858342958757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1550,0.21450476623548273,0.23419578369981603,0.046654844795801474,0.3135613077479358,0.07017766266923205,0.11229177825253503,0.0,0.0,0.008613856599196886,0.0,0.0,0.0
x10034y1550,0.010215024915946577,0.16244770956811375,0.0,0.47833072252162584,0.19311638136418527,0.12218694630922328,0.0034531576078431713,0.012823768295847476,0.0,0.0,0.017426289417214712,0.0
x10534y1550,0.0,0.0,0.0,0.8533116488891688,0.0018425936712857384,0.037274933943717496,0.08506067291653528,0.0025367817969905045,0.0,0.0,0.0013671527973635243,0.0186062159849385
x34y2050,0.0015419137679694886,0.08837641205711924,0.10917205714671803,0.6817995171180496,0.0,0.0,0.0,0.10340960583055074,0.0,0.015700494079592946,0.0,0.0
x534y2050,0.0,0.3717100978331186,0.02972911126672133,0.5910720004317839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007488790468376226
x1034y2050,0.31423611358292025,0.02706404562737401,0.0,0.23217333679681257,0.0,0.24659524449775583,0.09060884994739794,0.08932240954773937,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0,0.1762508454660249,0.0,0.537551382862655,0.01397665702194515,0.2722211146493749,0.0,0.0,0.0,0.0
