,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.27970950151850743,0.0,0.03377707210625134,0.0,0.05782094173191518,0.0,0.0,0.2945091236446417,0.10315826379950326,0.0,0.23102509719918107,0.0
x534y50,0.8882612360764077,0.0,0.019788595282267923,0.0,0.0,0.0,0.0,0.055874367792237964,0.013845302947120079,0.016727342596968033,0.0,0.005503155304998388
x1034y50,0.584644335436242,0.0,0.11209237164768432,0.0,0.0,0.22075331573010307,0.0,0.0,0.0,0.0,0.08250997718597065,0.0
x1534y50,0.6935184556964871,0.0,0.0,0.0,0.0,0.0,0.2333678208454846,0.0,0.07311372345802825,0.0,0.0,0.0
x2034y50,0.8170968307766524,0.005867054078252558,0.0,0.0,0.0,0.004640391332500622,0.0,0.0,0.09927360433804854,0.0,0.041422233045322734,0.03169988642922329
x3034y50,0.01818180882831329,0.1442543428928206,0.48855321626740883,0.0,0.0,0.1767023577899118,0.0,0.0,0.0,0.1723082742215455,0.0,0.0
x34y550,0.0,0.16110913408454494,0.09264093743357828,0.6689187643060291,0.0,2.1902054931479473e-10,0.0,0.015443266687623967,0.035399648334240044,0.026488248934963,0.0,0.0
x534y550,0.006198093011043729,0.0,0.0,0.0,0.7830532794918417,0.1861865822580219,0.02456204523909272,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836280197405341,0.04638893813332481,0.0,0.11733086446133424,0.0
x2534y550,0.5419006394393557,0.0,0.0,0.0,0.0,0.0,0.0,0.43925019860372866,0.0,0.0,0.0,0.018849161956915675
x4534y550,0.6584997421534773,0.057592398950270234,0.0,0.0,0.06029983962519749,0.013222576039581812,0.0,0.0,0.015593267993304,0.08701565624706357,0.0,0.10777651899110549
x5534y550,0.3693376782014868,0.0,0.0,0.0,0.0,0.0,0.013682583125206912,0.6169797386733064,0.0,0.0,0.0,0.0
x6034y550,0.00962164909192774,0.0,0.9057100119403677,0.0279281863067806,0.0,0.0,0.0,0.0,0.0,0.0,0.05674015266092383,0.0
x7034y550,0.020331524334466267,0.01558575331903113,0.18196400921550093,0.5100906465132347,0.0,0.0,0.0,0.03109322886585492,0.1313590863823168,0.0,0.04155626974058585,0.06801948162900935
x8034y550,0.1207173441738299,0.6494658634218587,0.0,0.0,0.07819393491261513,0.09584810766216868,0.0,0.01282273202399607,0.0,0.0,0.04295201780553134,0.0
x8534y550,0.15457398948449233,0.09304503581354961,0.016608670714469604,0.0,0.27960375661544884,0.035700116571119996,0.0,0.09320186275409606,0.046858290639995755,0.0777029274267887,0.06881586449338384,0.13388948548665505
x9034y550,0.0,0.0092215531534281,0.12749545670818796,0.0,0.661441713507043,0.025279807883423846,0.0,0.14473477777214142,0.031826690975775805,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.44130970875162306,0.2537109147433823,0.0026625416972265053,0.1911649900913367,0.0,0.0,0.11115184471643143,0.0
x10034y550,0.20913956147461873,0.16175182581707687,0.17371206790254917,0.3575478041079284,0.04556942888023243,0.0,0.0,0.0,0.0522793118175944,0.0,0.0,0.0
x34y1050,0.020098415565005263,0.0,0.0,0.0,0.6044038075460086,0.16889484739515223,0.0380693725775445,0.13029785619149012,0.0,0.0,0.038235700724799315,0.0
x1034y1050,0.5653337286431336,0.0,0.0,0.0,0.0,0.0,0.014528090588273306,0.03946302882419128,0.0,0.20885244900696895,0.17182270293743285,0.0
