,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.09282218778377418,0.0,0.03359908849895225,0.0061889510067135375,0.0,0.09683441850686626,0.015234124752139026,0.11440643676377078,0.08539264773980942,0.08746486356115722,0.24300020772720546,0.2250570736596119
x534y50,0.38580639692353713,0.015854394758885643,0.022862569080935445,0.0,0.1094517123646908,0.0,0.005015653192184732,0.1794655718323979,0.0,0.11844723321030974,0.02046977125316225,0.14262669738389627
x1034y50,0.31430901253517735,0.0,0.0,0.0,0.0,0.16739523880044485,0.01487156021719568,0.16359301895245237,0.17517454973080757,0.0,0.16465661976392212,0.0
x1534y50,0.3573018113251324,0.0073169038091392856,0.009711384877100174,0.0,0.026993291334229657,0.23197752969970017,0.037417517931949335,0.08472831373858072,0.08956380987509655,0.059756486562992685,0.0,0.09523295084607897
x2034y50,0.3312368758778373,0.0,0.012626109721235975,0.00383237922989319,0.09167838486736597,0.0,0.00542336266284016,0.12404722087524682,0.08106892357955502,0.008957094204106706,0.18928901160680137,0.15184063737511738
x3034y50,0.0777130208326138,0.030576607966023465,0.15295565823484308,0.002532495944433914,0.0,0.43967848415078786,0.0,0.06267692095422804,0.0,0.0,0.0,0.23386681191706987
x34y550,0.06720525520170853,0.09524962795109022,0.0,0.1813363029565281,2.7826825518260146e-10,0.09790454813463703,0.0,0.07541525740685917,0.1464415088796289,0.031070527074730077,0.24875250603454163,0.056624466082008114
x534y550,0.05561340378770863,0.0027774987765738527,0.0,0.003479941353838649,0.21552804339380854,0.28006295278069293,0.0,0.08700713280063116,0.09041683220311061,0.061031055324741235,0.11738687045521314,0.08669626912368121
x1534y550,0.029042151692499057,0.0,0.0,0.0,0.0,0.2511947493534442,0.01739243402995706,0.2725664811193733,0.025430168710471625,0.051111217327703524,0.2198952842657141,0.1333675135008372
x2534y550,0.31396091063144865,0.0082951956068493,0.08059824271034313,0.003154808441989072,0.07112417895246094,0.0,0.0,0.19607910987925886,0.0,0.03457784089816994,2.204388882303848e-10,0.29220971265904117
x4534y550,0.3338176974428938,0.0,0.00034787891742194346,0.0,0.22554988982113713,0.0,0.0,0.08055557034621114,0.02773173141142792,0.1404922479723311,0.0,0.19150498408857697
x5534y550,0.17171894218631326,0.0,0.0,0.0013043144978981173,0.02344172067674531,0.19980533255506813,0.00771999581696001,0.3670819539177081,0.029390587290806836,0.06344303124168883,0.11906677934785583,0.01702734246895564
x6034y550,0.04195581448293605,0.025261791094884568,0.3417862616059409,0.0,0.19427337606161807,0.0,0.0758989391230558,0.0,0.0,0.034019466033639555,0.286804351597925,0.0
x7034y550,0.030485525954727092,0.0,0.0490076757424924,0.08020680243402574,0.021503341760031335,0.0,0.0,0.24204567437799532,0.1905725150595139,0.0,0.2485396294268077,0.13763883524440662
x8034y550,0.14232924043566578,0.135575461395441,0.0711011309863243,0.004913284330666445,0.16801112985084413,0.04092278223977169,0.05526243117830419,0.04064784532363458,0.0,0.04235124330642343,0.11816602019549798,0.1807194307574265
