,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.10925478873378246,0.0,0.037987709297345164,0.006529837737541337,0.0,0.10986641861572141,0.016442485780012606,0.13726846578405663,0.0874898139911112,0.10473681036145013,0.1778041173331764,0.21261955236580266
x534y50,0.31915519936550185,0.017974637745395254,0.03487621194710526,1.8609664086411809e-10,0.12000304363325609,0.0,0.006261220991818045,0.19605640716788122,0.0,0.1305108783213033,0.0,0.17516240064164243
x1034y50,0.3372186507176804,0.0,0.0,0.0,0.0,0.16754431637283834,0.01634375663452262,0.19353869246586267,0.15704968793363294,0.0,0.12830489587546293,0.0
x1534y50,0.3193040266149959,0.007804609511400972,0.01039476920502127,0.0,0.0,0.19524623153638943,0.03821002722329743,0.15842715439587865,0.10135787182217962,0.05281143926204939,0.0,0.11644387042878747
x2034y50,0.34270640184198436,0.0,0.014152936571798856,0.003726169133075008,0.08594724382790928,0.0,0.0,0.13077432568246383,0.09818059470948529,0.0,0.1588341447616949,0.16567818347158852
x3034y50,0.0777130177722684,0.03057660293258986,0.1529556570002636,0.0025324902275280724,0.0,0.43967849849515395,0.0,0.06267691786537136,0.0,0.0,0.0,0.2338668157068247
x34y550,0.07397024162350127,0.0846493597363463,0.0,0.12055334138884917,0.03855668722281027,0.15903897806340084,0.0,0.09139010054296887,0.10832350747837742,0.05524555119912924,0.12129074868321155,0.14698148406140507
x534y550,0.06602561763166712,0.0035728314348408645,0.0,0.00362489198917087,0.18585331597178376,0.21302308086447078,0.0,0.11868277678894248,0.08687374434404975,0.08164159307430632,0.1068531360542032,0.1338490118465649
x1534y550,0.035746602856850024,0.0,0.0,0.0,0.0,0.23271821398920853,0.020563925797389363,0.24389620084436645,0.0,0.06765678528106908,0.272558973740312,0.12685929749080457
x2534y550,0.31110425279686127,0.008923137190163891,0.08558057357758453,0.0,0.09731818626943971,0.0,0.0,0.18033210459992993,0.0,0.0439936205905073,0.0,0.27274812497551343
