,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.02071476006700587,0.0,0.05810304359527934,0.0,0.16533838341824925,0.2014526008422639,0.0,0.36916868196410313,0.0,0.0,0.18522253011309853,0.0
x534y50,0.6070480315516898,0.0,0.02093827036046699,0.0,0.22357993748612345,0.0,0.0,0.1029640042953795,0.0,0.045469756306340335,0.0,0.0
x1034y50,0.4314408387617502,0.0,0.0,0.0,0.11773815644570242,0.0,0.0,0.0,0.1779728106537546,0.017625070075010872,0.06889284956373552,0.18633027450004633
x1534y50,0.6780001050722236,0.0,0.0,0.0,0.0,0.0,0.028280863121307807,0.0,0.05238938901229916,0.0,0.0,0.24132964279416935
x2034y50,0.6690996753669117,0.0,0.0,0.0,0.0,0.0,0.0,0.027769385138750678,0.16057082403613854,0.142560115458199,0.0,0.0
x3034y50,0.0,0.04784045137778721,0.1578873973168326,0.0,0.0,0.6989096953887206,0.0,0.0,0.0,0.06640182016665065,0.0,0.028960635750008824
x34y550,0.07553079714461644,0.2142690989117133,0.0,0.10995121867652285,0.1849217154271083,0.0271446543836574,0.0,0.12691929358782805,0.13525674899586268,0.07707823718535049,0.0,0.048928235687340615
x534y550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9014599176625784,0.012286189626826479,0.0,0.08625389271059515,0.0
x2534y550,0.4131564891032184,0.0,0.027378138893106845,0.0,0.0,0.0,0.0,0.4524725402351036,0.0,0.0,0.0,0.10699283176857126
x4534y550,0.4957786416539515,0.05430372494300681,0.0,0.0,0.30032681635474295,0.0,0.0,0.08694055052209491,0.0,0.0,0.0,0.06265026652620379
x5534y550,0.0789439178233883,0.0,0.0,0.0,0.0,0.0,0.0,0.9210560821766117,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,0.6684170476992422,0.0,0.06611214751485586,0.0718694634219861,0.0,0.0,0.0,0.0,0.19360134136391607,0.0
x7034y550,0.03002056110917276,0.05695259228856207,0.037813399842912244,0.12631179496813905,0.0,0.0,0.0,0.43928190011080753,0.0483864151301197,0.0,0.0,0.26123333655028674
x8034y550,0.09335447185340777,0.0902978794701215,0.15861500353761623,0.0,0.0,0.17899992260626157,0.0,0.4350672618000476,0.0,0.0,0.0,0.04366546073254539
x8534y550,0.0,0.0,0.041772036044482035,0.0,0.09633177476564234,0.0,0.0,0.7692435554324347,0.0,0.0,0.0,0.09265263375744089
x9034y550,9.992250131360802e-11,0.0,0.02725065461684338,0.0,0.7782029166749401,0.0,0.0,0.08061510905069674,0.0,0.0,0.11393131955759728,0.0
x9534y550,0.0,0.0,0.0,0.0,0.3721964512023941,0.2690435495944963,0.0,0.1449247499763998,0.0,0.0,0.2138352492267097,0.0
x10034y550,0.21009207887199266,0.0,0.12168501771007065,0.0,0.0,0.0,0.0,0.2941821780236544,0.0,0.0,0.37404072539428235,0.0
x34y1050,0.017783148725190715,0.0,0.0,0.0,0.47513594174927176,0.40806381453054286,0.0,0.0688492495792725,0.0,0.0,0.020816747716243637,0.009351097699478587
x1034y1050,0.09482615220390095,0.011304177334123292,0.0,0.0,0.0,0.0,0.05206703534768418,0.050571124865330684,0.11171237965239193,0.19090437968760474,0.22662999622490915,0.2619847546840552
x1534y1050,0.0,0.0,0.0,0.0,0.05221602837772598,0.09230279698154316,0.0,0.0,0.0,0.0,0.8554811746407308,0.0
x2034y1050,0.46821306701712523,2.4591692451885067e-10,0.0,0.0,0.0,0.004639612360404241,0.0,0.10560315553126406,0.0,0.0,0.0,0.42154416484528956
x3034y1050,0.019993028117899336,0.0,0.7481682632354851,0.0,0.0,0.016340267453058468,0.0,0.16637862361185857,0.0,0.0,0.0,0.04911981758169849
x3534y1050,0.21156235866600862,0.0,0.0,0.0,0.06475534771925844,0.0,0.0,0.0,0.0,0.0,0.21964819830817206,0.5040340953065608
x4534y1050,0.0,0.0,0.023033936244742207,0.0,0.0,0.5300053859787726,0.0,0.11675671614830836,0.0,0.0,0.330203961628177,0.0
x5034y1050,0.5260915977501471,0.0,0.0,0.0,0.0,0.37805898588092957,0.0,0.0,0.0,0.09584941636892318,0.0,0.0
x5534y1050,0.2834440104722002,0.0,0.09047493747856894,0.0,0.0,0.06646534460282288,0.0,0.22733056356836373,0.05776786253993137,0.10769933040101035,0.1668179509371025,0.0
x7034y1050,0.010199762234557931,0.0,0.0812730538904683,0.0,0.0,0.0,0.04041005828667444,0.0994199814292066,0.0,0.0,0.7686971441590927,0.0
x7534y1050,0.05414716532514517,0.0,0.007207417160485643,0.0,0.0,0.0,0.0,0.8984971185817425,0.0,1.882705248351868e-10,0.04014829874435616,0.0
x8034y1050,0.0,0.0,0.0,0.0,0.18850726426227343,0.0,0.0,0.4163422677859298,0.0,0.0,0.39515046795179676,0.0
x8534y1050,0.18227439111436758,0.0,0.0,0.46385128723074914,0.1454172672366581,0.0,0.0,0.07063898616096263,0.0,0.0,0.048968023370303544,0.08885004488695905
x9034y1050,0.5110042883033898,0.0,0.0,0.0,0.3988520236340018,0.0,0.0,0.09014368806260835,0.0,0.0,0.0,0.0
x9534y1050,0.04019082315979179,0.0,0.021390380310441815,0.0,0.3515970444792149,0.20815608642153943,0.0,0.378665665629012,0.0,0.0,0.0,0.0
x10034y1050,0.5888690312824936,0.0,0.03933817069292625,0.0,0.0,0.10056783802920335,0.0,0.1885171045391364,0.0,0.0,0.0,0.08270785545624039
x10534y1050,0.7124640371827641,0.0,0.0,0.0028100057383896294,0.06299652813225409,0.0,0.0,0.0,0.0,0.0,0.22172942894659212,0.0
x34y1550,0.19798261639664488,0.0,0.04244569502697484,0.08460833817098615,0.4956428925023107,0.0,0.0,0.0,0.0,0.0,0.17932045790308343,0.0
x534y1550,0.018384740411476863,0.0,0.04790743027349073,0.6206518809109917,0.17345407370779894,0.04843225348031096,0.0,0.0911696212159309,0.0,0.0,0.0,0.0
x1034y1550,0.2670573770091552,0.0,0.00862459327674439,0.0,0.2707556439332998,0.0,0.0,0.4309016661236482,0.0,0.0,0.0,0.02266071965715236
x2034y1550,0.02538530061732992,0.6083483322183691,0.039459730586329476,0.00657105835917005,0.11853122459519634,0.023549580441526333,0.0,0.14606426215676024,0.0,0.0,0.0,0.03209051102531841
x4534y1550,0.0,0.0,0.0,0.0,0.16460722480269255,0.3855650412296429,0.0,0.4498277339676645,0.0,0.0,0.0,0.0
x5034y1550,0.5399455598704026,0.0,0.10793745273692631,0.0,0.0,0.0,0.0,0.35211698739267117,0.0,0.0,0.0,0.0
x5534y1550,0.03194684974247265,0.0,0.0,0.0,0.0,0.6880116613055876,0.0,0.24302062411454367,0.0,0.0,0.037020864837396264,0.0
x6034y1550,0.0,0.0,0.0,0.10919130061850713,0.0,0.8908086993814929,0.0,0.0,0.0,0.0,0.0,0.0
x6534y1550,0.3663514722942722,0.0,0.0,0.09289603571326224,0.1155192375812838,0.0,0.1707474600163648,0.11692739599202938,0.0,0.06774839215260586,0.029735683185609936,0.04007432306457179
x7034y1550,0.03012851566258054,0.0,0.0,0.5346062387550758,0.19561698376160527,0.23964826182073834,0.0,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.6056680117702057,0.0,0.0,0.0,0.054901609478855216,0.0,0.0,0.33943037875093907,0.0,0.0,0.0,0.0
x8034y1550,0.9014823486576704,0.0,0.0,0.0,0.0,0.0,0.02077246236155928,0.0,0.016130907111809558,0.0,0.0,0.06161428186896085
x8534y1550,0.055864221242647304,0.0,0.21112784068995608,0.34062455451737855,0.0,0.36151244662519805,0.0,0.0,0.030870936924819858,0.0,0.0,0.0
x9034y1550,0.07218410600019427,2.3276621673458245e-10,0.0,0.2536826382175766,0.0,0.0,0.0,0.5241205686062972,0.0,0.15001268694316577,0.0,0.0
x9534y1550,0.02275678626668045,0.0,0.0,0.3738031317155699,0.5019742965775662,0.0,0.0,0.0,0.0,0.0,0.10146578544018357,0.0
x10034y1550,0.09263562974966365,0.0,0.0,0.41302607191882357,0.11248141390511897,0.0,0.0,0.1885902525041918,0.0,0.0,0.19326663192220206,0.0
x10534y1550,0.07217116785486209,0.0,0.057147817838449515,0.590329592651876,0.25897821982985997,0.0,0.0,0.0,0.0,0.0,0.021373201824952497,0.0
x34y2050,0.0,0.0,0.19877222764918429,0.3210044076867404,0.0,0.0,0.0,0.3685915274794445,0.0,0.11163183718463089,0.0,0.0
x534y2050,0.0024861828821236514,0.31222126516811793,0.03441880416944998,0.5196760921488832,0.0,0.06020567276385325,0.0,0.0,0.0,0.0,0.0,0.07099198286757188
x1034y2050,1.3357675225935776e-10,0.0,0.0,0.0,0.4825821441087175,0.0,0.0,0.5174178557577057,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0,0.007489211701399543,0.0,0.96331931774247,0.0,0.029191470556130503,0.0,0.0,0.0,0.0
x5034y2050,0.5723001536090941,0.0,0.0,0.04613428958293061,0.0,0.3002716428681899,0.02338912463995344,0.0,0.0,0.0,0.05790478929983205,0.0
x5534y2050,0.0,0.0,0.03152799711560905,0.5480051125515404,0.0,0.0,0.0,0.0,0.0,0.13899688832746798,0.1684728047704519,0.11299719723493072
