,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.17551922717292023,0.0,0.058886165245180914,0.0,0.0,0.0,0.09291326743878932,0.0,0.2535475464586562,0.0,0.29135903017213677,0.12777476351231654
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9376622120831501,0.0,0.0,0.0,0.0,0.0,0.010814938107987069,0.0,0.0,0.0,0.0,0.0515228498088629
x3034y50,0.0,0.009625474147713142,0.8403231826607345,0.0,0.0,0.0,0.021174209058169947,0.0665048838082279,0.0,0.06237225032515457,0.0,0.0
x34y550,0.0,0.14691727019791595,0.0,0.7907187881879741,0.0,0.0,0.03224622822533616,0.0,0.030117713388773594,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.8379581737799712,0.1360570548801273,0.004267320820756693,0.0,0.02171745051914469,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.006889510434994516,0.0,0.0,0.9555629829405474,0.0,0.0,0.03754750662445805,0.0
x2534y550,0.8358644297991777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16413557020082228,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5903164277060842,0.0,0.0,0.0,0.04644601673460182,0.0,0.0,0.3632375555593141,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0945064653572377,0.9054935346427623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.04821309104011805,0.5692942725073875,0.0,0.0,0.026316529599917943,0.0,0.06970417468358686,0.0,0.0,0.28647193216898953
x8034y550,0.0,0.9999999984614082,0.0,1.53859181361599e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.06589677373784274,0.0,0.7944571909023528,0.0033690455584066935,0.10385982258940009,0.0,0.0,0.0,0.0,0.015698944568718107,0.0,0.016718222643279736
x9034y550,0.0,0.0,0.21725385481813475,0.0,0.5558170279178214,0.011002886374009532,0.03361592654357452,0.030539771871315204,0.012548623159609732,0.0,0.13922190931553488,0.0
