,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.22148753718521946,0.13317685444956237,0.41016075009371666,0.0,0.0,0.0,0.0,0.0,0.0,0.23517485827150145,0.0,0.0
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9916517272698345,0.0,0.0,0.0,0.0,0.008348272730165517,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.7481672601589227,0.0,0.0,0.0,0.0,0.0,0.06995579171348652,0.1611442511958792,0.0,0.0,0.020732696931711512,0.0
x3034y50,0.0,0.0,0.9744728524872694,0.0,0.025527147512730514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.13939590051908574,0.0,0.4518005701521163,0.0,0.12996177414753396,0.0,0.0,0.27884175518126414,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.805743666200782,0.194256333799218,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.45235287176588207,0.41920550900803083,0.0,0.0,0.12844161922608713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.3732063402286984,0.0,0.0,0.0,0.0,0.0,0.0,0.6267936597713016,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0007331825733105109,0.9992668174266894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.02495685691386179,0.5700838244238571,0.11532342597837962,0.0,0.082026793291315,0.0,0.20760909939258648,0.0,0.0,0.0
x8034y550,0.0,0.4730482949267849,0.0,0.0,0.0,0.14638129693632632,0.18633425662644731,0.0,0.0,0.0,0.0,0.1942361515104415
x8534y550,0.0,0.0,0.8638783279416299,0.0,0.0,0.0,0.0,0.0,0.0,0.13612167205837003,0.0,0.0
x9034y550,0.0,0.0,0.008032772750357256,0.0,0.9464933619108981,0.0,0.00912616116680773,0.0,0.0,0.0,0.0,0.03634770417193698
x9534y550,0.0,0.0,0.0,0.0,0.47885165987689143,0.012660645510316402,0.04711422291737947,0.0,0.0,0.0,0.4613734716954127,0.0
x10034y550,0.01484461024675532,0.0,0.5893068197413336,0.3958485700119111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.38834091935431186,0.6116590806456881,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.912470787702612,0.0,0.0,0.0,0.0,0.0,0.0,0.08752921229738786,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.10728952931769474,0.0,0.0,0.0,0.8927104706823052,0.0
x2034y1050,0.5628292737392729,0.19276767752785273,0.0,0.0,0.0,0.0,0.24440304873287425,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.955279733143865,0.044720266856134935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.39705524411293297,0.15615075356321934,0.0,0.18615783524791468,0.0,0.26063616707593296,0.0,0.0,0.0,0.0,0.0
x5034y1050,0.4658278115540422,0.0,0.0,0.0,0.0,0.49079480476709536,0.043377383678862534,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.0,0.0,0.9999999967618458,3.238154089724887e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.3685282730408464,0.0,0.005797676571579937,0.0,0.030806637343426462,0.0,0.0,0.0,0.5948674130441473,0.0
x7534y1050,0.0,0.0,0.1301260405667051,0.12221838232198234,0.3978898381320426,0.0,0.02018077516092625,0.3295849638183438,0.0,0.0,0.0,0.0
x8034y1050,0.3109855115218589,0.0,0.21712646826186055,0.07968844394404462,0.1494472395985266,0.0,0.005797184017502177,0.2369551526562072,0.0,0.0,0.0,0.0
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.5967184878366423,0.0,0.0,0.05226751199706142,0.0,0.31485925218226196,0.02946773644258425,0.006687011541450227,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9519749884110527,0.0480250115889474,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9927545479497709,0.0,0.00724544946578569,0.0,2.5844434159256087e-09,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.6061966068227623,0.09717342952506298,0.021482770498253038,0.14280855947004417,0.0,0.1323386336838774,0.0,0.0,0.0
x534y1550,0.0,0.0,0.0,0.9168192282954154,0.0,0.0,0.0,0.08318077170458459,0.0,0.0,0.0,0.0
