,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.30008228129266373,0.11444957423254604,0.3630831655033349,0.0,0.0,0.0,0.0,0.0,0.0,0.22238497897145523,0.0,0.0
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.991400009226012,0.0,0.0,0.0,0.0,0.008599990773987983,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.7555493025423511,0.0,0.0,0.0,0.0,0.0,0.06952269278386528,0.15723038649219637,0.0,0.0,0.017697618181587178,0.0
x3034y50,0.0,0.0,0.9744728524872694,0.0,0.025527147512730518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.1393568245683784,0.0,0.44445413792349625,0.0,0.1402833592697546,0.0,0.0,0.27590567823837076,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.7784938231585737,0.22150617684142626,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.45235646205290064,0.41920716162303834,0.0,0.0,0.128436376324061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.38399166364005105,0.0,0.0,0.0,0.0,0.0,0.0,0.6160083363599489,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0130316848944235,0.9869683151055766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.033832731758012685,0.5614659374364166,0.11552751460723264,0.0,0.08088836961309999,0.0,0.2082854465852381,0.0,0.0,0.0
x8034y550,0.0,0.47290734439307075,0.0,0.0,0.0,0.14646342804841864,0.18636792554013215,0.0,0.0,0.0,0.0,0.19426130201837855
x8534y550,0.0,0.0,0.8333055781373103,0.0,0.0,0.0,0.0,0.0,0.0,0.16669442186268968,0.0,0.0
x9034y550,0.0,0.0,0.08792272548409318,0.0,0.8610939864414633,0.0,0.002231828526620867,0.0,0.0,0.0,0.0,0.048751459547822604
x9534y550,0.0,0.0,0.0,0.0,0.5111478982090386,0.015445053595313528,0.048322597162652435,0.0,0.0,0.0,0.4250844510329955,0.0
x10034y550,0.023811605643939044,0.0,0.6013017783189775,0.3748866160370835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.4018098517308987,0.5981901482691012,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9078003551269442,0.0,0.0,0.0,0.0,0.0,0.0,0.0921996448730558,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.12759499677611005,0.0,0.0,0.0,0.87240500322389,0.0
x2034y1050,0.4554045562585697,0.3397835142622659,0.0,0.0,0.0,0.0,0.20481192947916438,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.9130441354460721,0.08695586455392784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.3552083401992898,0.17846171222509802,0.0,0.19262061430446792,0.0,0.27370933327114433,0.0,0.0,0.0,0.0,0.0
x5034y1050,0.4664443660591563,0.0,0.0,0.0,0.0,0.4822544246982461,0.05130120924259758,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.0,0.0,0.9999999967618458,3.238154089724887e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.39136585204946545,0.0,0.11724118057679946,0.0,0.030955380720310656,0.0,0.0,0.0,0.4604375866534245,0.0
x7534y1050,0.0,0.0,0.16601333204513025,0.12917977228862182,0.36589828758667003,0.0,0.01990294065955066,0.31900566742002723,0.0,0.0,0.0,0.0
x8034y1050,0.2981040529624243,0.0,0.19462196214866598,0.10526018354191038,0.1610781841677238,0.0,0.007630318893550449,0.23330529828572513,0.0,0.0,0.0,0.0
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.4829862083893397,0.0,0.0,0.13162447144533493,0.0,0.3348639100403437,0.04257405506780808,0.007951355057173473,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9488830835589736,0.05111691644102649,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9921844342444726,0.0,0.007815563171604397,0.0,2.5839229646149724e-09,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.6120144694576006,0.09747496515795008,0.021389683392526955,0.1393144251382868,0.0,0.1298064568536356,0.0,0.0,0.0
x534y1550,0.0,0.0,0.0,0.913921352259627,0.0,0.0,0.0,0.08607864774037303,0.0,0.0,0.0,0.0
x1034y1550,0.2516764236454633,0.0,0.0,0.6083613040388997,0.0,0.13996227231563707,0.0,0.0,0.0,0.0,0.0,0.0
