,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.2973909486034058,0.0,0.4522966926755492,0.0,0.0,0.0,0.0,0.0,0.0,0.25031235872104496,0.0,0.0
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.7627204978239919,0.0,0.0,0.0,0.0,0.0,0.0711585627995677,0.1661209393764405,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.13939590051908574,0.0,0.4518005701521163,0.0,0.12996177414753396,0.0,0.0,0.27884175518126414,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.805736853116645,0.1942631468833551,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.45235188265343873,0.4192046862843821,0.0,0.0,0.12844343106217918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.37320880968567866,0.0,0.0,0.0,0.0,0.0,0.0,0.6267911903143213,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0007331825733105109,0.9992668174266894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,2.7794417111654545e-09,0.639716623193266,0.17359419399887596,0.0,0.1866891800284163,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.4730482949267849,0.0,0.0,0.0,0.14638129693632632,0.18633425662644731,0.0,0.0,0.0,0.0,0.1942361515104415
x8534y550,0.0,0.0,0.8638750234190194,0.0,0.0,0.0,0.0,0.0,0.0,0.13612497658098055,0.0,0.0
x9034y550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.4788526371667415,0.01266112256120836,0.047111999648260225,0.0,0.0,0.0,0.4613742406237898,0.0
x10034y550,0.0,0.0,0.6033839461970086,0.39661605380299136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.38834091935431186,0.6116590806456881,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.912470787702612,0.0,0.0,0.0,0.0,0.0,0.0,0.08752921229738786,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.10730375693808128,0.0,0.0,0.0,0.8926962430619187,0.0
x2034y1050,0.5628292737392729,0.19276767752785273,0.0,0.0,0.0,0.0,0.24440304873287425,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.39705288914699255,0.1561525939553963,0.0,0.1861585968189559,0.0,0.2606359200786553,0.0,0.0,0.0,0.0,0.0
x5034y1050,0.46582900201710786,0.0,0.0,0.0,0.0,0.49079522592940306,0.04337577205348904,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.3683004108300487,0.0,0.0,0.0,0.030821565790768873,0.0,0.0,0.0,0.6008780233791825,0.0
x7534y1050,0.0,0.0,0.13012715692060212,0.12221955781795345,0.39789069219531004,0.0,0.02017715766960521,0.3295854353965292,0.0,0.0,0.0,0.0
x8034y1050,0.31908778358666423,0.0,0.22054000309127295,0.07909617925148858,0.14598851842819227,0.0,0.0,0.23528751564238193,0.0,0.0,0.0,0.0
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.6747033841147303,0.0,0.0,0.0,0.0,0.3252966158852698,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.951974772572927,0.04802522742707309,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9999999974418455,0.0,0.0,0.0,2.5581544003505034e-09,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.6061966068227623,0.09717342952506298,0.021482770498253038,0.14280855947004417,0.0,0.1323386336838774,0.0,0.0,0.0
x534y1550,0.0,0.0,0.0,0.9168164285663343,0.0,0.0,0.0,0.08318357143366568,0.0,0.0,0.0,0.0
x1034y1550,0.2352563357061515,0.0,0.0,0.6222450470065474,0.0,0.14249861728730112,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.9999999972880275,0.0,0.0,0.0,2.711972497421098e-09,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.0,0.0,0.0,0.7554891327716209,0.0,0.13846897750644044,0.10604188972193865,0.0,0.0,0.0,0.0,0.0
x5034y1550,0.2985688488941705,0.0,0.5575720590902996,0.0,0.0,0.14385909201552993,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.0,0.0,0.0,0.6232505570929705,0.0,0.37674944290702944,0.0,0.0,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6534y1550,0.0,0.16071758015666793,0.0,0.7600122681029726,0.0,0.0,0.07927015174035941,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0,0.9141022116450704,0.0,0.08589778835492959,0.0,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.325227269863738,0.0,0.0,0.6747727301362619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
