,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.18370125796922182,0.0,0.07274406481032583,0.0,0.0,0.0,0.06731475889825583,0.0,0.2566137827628214,0.0,0.30686515427140787,0.11276098128796735
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9589160627780413,0.0,0.0,0.0,0.0,0.0,0.0031181445133080803,0.0,0.0,0.0,0.0,0.037965792708650685
x3034y50,0.004682952036541769,0.0,0.8725249714763716,0.0,0.0,0.0,0.012555408206744566,0.0685159743760272,0.0,0.04172069390431502,0.0,0.0
x34y550,0.0,0.12799445452418773,0.0,0.8295225842860047,0.0,0.0,0.008881428957228826,0.0,0.03360153223257897,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.8430919118606435,0.15218213733372923,0.0,0.0,0.004725950805627245,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.013549750677162988,0.0,0.0,0.9783605821944179,0.0,0.0,0.008089667128419029,0.0
x2534y550,0.8434483723850114,0.0,0.0,0.0,0.002573779639753932,0.0015557202316898943,0.0,0.0,0.0,0.0,0.15242212774354488,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5846513363346402,0.0,0.0,0.0,0.04834374380564385,0.0,0.0,0.36700491985971606,0.0,0.0,0.0,0.0
x6034y550,0.0,0.08164654010050265,0.9183534598994973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.051945287791857336,0.5900083176305976,0.0,0.0,0.010222760980678388,0.0,0.06935655329727404,0.0,0.0,0.2784670802995929
x8034y550,0.0,0.9999999987306067,0.0,1.269393300159725e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
