,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.20863113902109456,0.0,0.06760590850578217,0.0,0.0,0.0,0.06502332385608073,0.0,0.24577719334494472,0.0,0.27862166899444907,0.1343407662776487
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9159205319279304,0.0,0.0,0.0,0.012160588016650244,0.07191888005541933,0.0,0.0,0.0,0.0
x34y550,0.0,0.1713860745133373,0.0,0.782228956315641,0.0,0.0,0.0,0.0,0.04638496917102163,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.827318898017946,0.17268110198205394,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.8483451594101301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15165484058986992,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5829158871039437,0.0,0.0,0.0,0.053310814385723965,0.0,0.0,0.3637732985103323,0.0,0.0,0.0,0.0
x6034y550,0.0,0.09998130420022522,0.9000186957997748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.06789871065489517,0.5909875755585264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3411137137865784
x8034y550,0.0,0.9436791180641363,0.0,0.05632088193586378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.11294890264144103,0.0,0.7488989252084629,0.0,0.13815217215009598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.2245969187328889,0.0,0.5584348396944644,0.0,0.020514993529892254,0.03467506218635759,0.0,0.0,0.16177818585639694,0.0
x9534y550,0.0,0.0,0.0,0.0,0.367986109033141,0.0,0.0,0.0,0.0,0.0,0.6320138909668589,0.0
x10034y550,0.32716358556178526,0.0,0.401708722765873,0.27112769167234185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.377463591020055,0.6225364089799449,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.01526731180898738,0.0,0.0,0.0,0.9847326881910126,0.0
x2034y1050,0.8201605330055267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17983946699447323,0.0
x3034y1050,0.0,0.3535895036553484,0.6270603816575743,0.0,0.0,0.0,0.01935011468707728,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.668064178130524,0.316145597849211,0.0,0.0,0.0,0.0,0.0,0.01579022402026509,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.3339071859781027,0.14430745991821592,0.0,0.043885873338529,0.0763049963878566,0.02370036652477406,0.0,0.0,0.0,0.3778941178525217,0.0
x5034y1050,0.6558570859729954,0.0,0.0,0.0,0.0,0.3441429140270046,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.5018222213962089,0.15644029632119313,0.28597629639607286,0.0,0.05576118588652509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.39642649727652723,0.0,0.06834348442107145,0.0,0.027748535900567344,0.0,0.0,0.0,0.5074814824018339,0.0
x7534y1050,0.10907423443723033,0.0,0.0,0.2199351472365375,0.19689452058625256,0.0,0.02200619844974931,0.0,0.0,0.0,0.4520898992902303,0.0
x8034y1050,0.36579177273745683,0.0,0.1222983441720848,0.10132600577119538,0.05574973182617474,0.0,0.0,0.01299125066124981,0.0,0.0,0.3418428948318384,0.0
x8534y1050,0.0,0.0,0.0,0.8929875610280535,0.0,0.0,0.10701243897194639,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.7365241853420229,0.0,0.0,0.0,0.0,0.2428889965820041,0.020586818075972898,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.08156619749436676,0.0,0.0,0.0,0.0,0.8906359849049166,0.027797817600716698,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.3676495961078995,0.0,0.4770581552581228,0.1386118161333667,0.0,0.016680432500611023,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.27262352128311185,0.0,0.0,0.6906417051611773,0.0,0.03673477355571085,0.0,0.0,0.0,0.0,0.0,0.0
x34y1550,0.1374786198404553,0.0,0.0,0.7280241400411143,0.0,0.08772562706637071,0.046771613052059804,0.0,0.0,0.0,0.0,0.0
x534y1550,0.0,0.0,0.08863792102663319,0.8078371506688167,0.0,0.048071201754597,0.0,0.055453726549953015,0.0,0.0,0.0,0.0
x1034y1550,0.4927414473850718,0.0,0.0,0.4048195701812403,0.0,0.10243898243368778,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.6499841053599119,0.23465550158563062,0.11536039305445736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.35423863009104145,0.0,0.11900248114763336,0.3731046136365519,0.0,0.15365427512477334,0.0,0.0,0.0,0.0,0.0,0.0
x5034y1550,0.5062306261639773,0.0,0.31038881380903743,0.052260590943073906,0.0,0.08518247446244,0.01909478345028724,0.026842711171184117,0.0,0.0,0.0,0.0
x5534y1550,0.1806581832531458,0.0,0.0,0.4684663445168913,0.0,0.2840153144421736,0.0,0.0,0.0,0.0,0.06686015778778936,0.0
x6034y1550,0.0,0.0,0.0,0.7794841528769498,0.0,0.0,0.01940433214832383,0.0,0.0,0.0,0.2011115149747263,0.0
x6534y1550,0.2635926946807879,0.0,0.0,0.6702623927975466,0.0,0.0,0.04481083136971944,0.021334081151946016,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0,0.8243504755026891,0.0,0.13179074449075626,0.04385878000655458,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.5711287833155296,0.0,0.0,0.38692477186605656,0.0,0.04194644481841378,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.7731202624965472,0.14964790448110388,0.0,0.077231833022349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.269342842813308,0.0,0.0,0.673150036133654,0.0,0.0,0.057507121053038034,0.0,0.0,0.0,0.0,0.0
x9534y1550,0.31769772906138016,0.0,0.0,0.6823022709386198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1550,0.0,0.05918889419941771,0.0,0.9139645159445929,0.026846589855989405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.0,0.9714620595482926,0.0,0.0,0.028537940451707468,0.0,0.0,0.0,0.0,0.0
x34y2050,0.0,0.053021678284145154,0.0,0.9165346553353715,0.0,0.0,0.030443666380483323,0.0,0.0,0.0,0.0,0.0
x534y2050,0.0,0.0911887130648637,0.0,0.9088112869351362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y2050,0.3370602034779332,0.0,0.0,0.411468002063117,0.03875574883420841,0.21271604562474136,0.0,0.0,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0,0.37611978731828954,0.0,0.39081446574766043,0.0,0.2330657469340501,0.0,0.0,0.0,0.0
x5034y2050,0.2995463063195351,0.0,0.10084306233490858,0.5781467357605532,0.0,0.0,0.02146389558500312,0.0,0.0,0.0,0.0,0.0
x5534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6034y2050,0.29683067604850233,0.0,0.0,0.7031693239514978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6534y2050,0.6702995167338813,0.0,0.0,0.3297004832661186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7534y2050,0.19682824716281366,0.0,0.0,0.8031717528371863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y2050,0.11235504911054106,0.07975869352047525,0.0,0.7257975630914847,0.0,0.0,0.0820886942774991,0.0,0.0,0.0,0.0,0.0
x8534y2050,0.5624016182606906,0.0,0.0,0.4375983817393095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y2050,0.0,0.0,0.0,0.9842243328095787,0.0,0.0,0.0,0.015775667190421287,0.0,0.0,0.0,0.0
x9534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y2050,0.0,0.0,0.0,0.9848558580263348,0.015144141973665155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y2550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y2550,0.0,0.0,0.12737758693442888,0.841665731924143,0.030956681141428133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y2550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y2550,0.18701225417297881,0.0,0.0,0.7635975862467073,0.0,0.0,0.049390159580313835,0.0,0.0,0.0,0.0,0.0
x2034y2550,0.0,0.0,0.0,0.8558453698903502,0.09446519379472319,0.049689436314926706,0.0,0.0,0.0,0.0,0.0,0.0
x2534y2550,0.41041971635203245,0.351265949255244,0.0,0.1583755375632368,0.04375365994325646,0.02894442614036808,0.0,0.007240710745862093,0.0,0.0,0.0,0.0
