,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.21280964623485524,0.0,0.0,0.0,0.0,0.0,0.15473583509832406,0.0,0.2422212571824343,0.0,0.0,0.3902332614843865
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9466525598523255,0.0,0.0,0.0,0.05334744014767452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.6201034047893499,0.20520724908830876,0.0,0.0,0.06237585127457862,0.0,0.0,0.0,0.11231349484776282,0.0,0.0,0.0
x2034y50,0.8716794668212068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12832053317879327,0.0
x3034y50,0.0,0.0,0.9001403491510753,0.0,0.09985965084892474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.21837926818491032,0.0,0.49583109682872384,0.0,0.2857896349863658,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.5262332806803272,0.47376671931967274,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.4271322400550601,0.3366005522499568,0.0,0.0,0.0,0.0,0.0,0.236267207694983,0.0,0.0,0.0,0.0
x4534y550,0.7979399240855182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2020600759144818,0.0,0.0,0.0
x5534y550,0.5618476740896841,0.0,0.0,0.0,0.0,0.0,0.0,0.4381523259103158,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,0.6632439051740389,0.0,0.0,0.0,0.0,0.3081053251356557,0.0,0.0,0.028650769690305486
x8034y550,0.0,0.5844595795251363,0.0,0.0,0.0,0.22036159511505538,0.19517882535980824,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.5229426640982265,0.0,0.0,2.107391176891475e-09,0.0,0.0,0.0,0.0,0.23006151525183802,0.24699581854254432
x9034y550,0.0,0.0,0.19055042281965837,0.0,0.8094495771803417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.2764768612421179,0.10774227751191531,0.0,0.0,0.17727756527703697,0.0,0.43850329596892984,0.0
x10034y550,0.3169714179072656,0.0,0.21602099365713717,0.46700758843559736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.012757358321800872,0.0,0.0,0.29639950238690516,0.6908431392912939,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.8243746211619927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17562537883800736
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
x2034y1050,0.4985836673449054,0.0,0.0,0.0,0.09764608691569614,0.0,0.02758484785184439,0.0,0.0,0.0,0.376185397887554,0.0
x3034y1050,0.0,0.0,0.7968337468231792,0.0,0.0,0.0,0.20316625317682077,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.8745309220575255,0.1254690779424745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.5728098216337373,0.0,0.0,0.42719017836626266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5034y1050,0.4270068482164102,0.0,0.0,0.0,0.0,0.5729931517835898,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.44551074498284027,0.0,0.2610964663283782,0.29339278868878155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.5387739068649546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4612260931350453,0.0
x7534y1050,0.0,0.0,0.22924953093010544,0.04832641007363206,0.0,0.0,0.0,0.0,0.0,0.0,0.7224240589962625,0.0
x8034y1050,0.5642815238686973,0.0,0.0,0.43571847613130277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y1050,0.0,0.0,0.09666084637323308,0.903339153626767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.4801671216167542,0.0,0.0,0.0,0.0,0.5198328783832459,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.35862971664504567,0.0,0.5823237806257456,0.0,0.0,0.0,0.0,0.05904650272920876,0.0,0.0,0.0,0.0
x10534y1050,0.20063425625294426,0.0,0.0,0.7442332691960732,0.055132474550982385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.8181956668345163,0.0,0.0,0.18180433316548375,0.0,0.0,0.0,0.0,0.0
x534y1550,0.0,0.0,0.0,0.8687142068977228,0.0,0.0,0.0,0.1312857931022772,0.0,0.0,0.0,0.0
x1034y1550,0.4386658890040191,0.0,0.0,0.5197304399969641,0.0,0.0416036709990169,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.8506534278998752,0.023969834819663284,0.12537673728046148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.6667089379855835,0.0,0.0,0.3332910620144165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5034y1550,0.46260446730335536,0.0,0.08731797405686877,0.25680166856541975,0.0,0.19327589007435622,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.21367316202488706,0.0,0.0,0.5656284937807414,0.0,0.22069834419437145,0.0,0.0,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6534y1550,0.22515982784611688,0.0,0.0,0.679642328377071,0.0,0.0,0.09519784377681201,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0,0.8213625370303771,0.0,0.057866703963010635,0.0,0.0,0.0,0.0,0.12077075900661213,0.0
x7534y1550,0.4436974823938354,0.0,0.0,0.5563025176061646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.5907476083199678,0.0,0.0,0.0,0.0,0.0,0.4092523916800323,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.0,0.0,0.0,0.643497690170607,0.0,0.0,0.356502309829393,0.0,0.0,0.0,0.0,0.0
x9534y1550,0.17348244121147896,0.0,0.0,0.826517558788521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1550,0.0,0.0,0.050393827966153604,0.9481496586763866,0.0014565133574598725,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y2050,0.0,0.1800902603914556,0.12305027701725157,0.6968594625912928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y2050,0.2146906897941627,0.0,0.0,0.6513602372639656,0.0,0.13394907294187172,0.0,0.0,0.0,0.0,0.0,0.0
