,Oligo,eL2/3,eL4,eL5,eL6
x34y363,0.23402188554560563,0.07785239179218476,0.19443607963147494,0.0,0.49368964303073476
x7034y363,0.17208579793303183,0.37907783558437186,0.0,0.3273564381069268,0.12147992837566961
x10034y363,0.22689981866399794,0.05163886891815651,0.014587445361924967,0.32668151593176814,0.3801923511241525
x34y863,0.551378121473973,0.029961369339447375,0.0,0.16602146406392562,0.25263904512265395
x7034y863,0.0,0.0,0.0,0.8819375792273197,0.11806242077268024
x7534y863,0.0,0.0,0.0,0.8547688727226846,0.14523112727731538
x8034y863,0.0,0.0,0.0,0.6567894063196161,0.3432105936803838
x8534y863,0.6577249308541442,0.0528573836620109,0.0,0.17209435133046266,0.11732333415338227
x9534y863,0.0,0.0,0.0,0.5509367684980317,0.4490632315019682
x10534y863,0.8999833908056136,0.0,0.0,0.10001660919438636,0.0
x34y1363,0.4162901413978432,0.0,0.2702163520995715,0.3134935065025853,0.0
x534y1363,0.9419243733223062,0.05807562667769387,0.0,0.0,0.0
x1534y1363,0.0,0.0,0.0,0.7796248695436347,0.22037513045636523
x4534y1363,0.0,0.0,0.19797117861359395,0.8020288213864061,0.0
x5534y1363,0.020643001526358246,0.0,0.0,0.9793569984736418,0.0
x6034y1363,0.5107267393803678,0.0,0.0,0.48927326061963217,0.0
x7034y1363,0.7295153730252409,0.0,0.03603750726280775,0.2344471197119513,0.0
x8534y1363,0.9456568393947363,0.0,0.0010425658970174237,0.05330059470824628,0.0
x9534y1363,0.7185417896886196,0.0,0.09999206584737781,0.0,0.1814661444640026
x10034y1363,0.8900420495088825,0.0,0.0,0.0,0.10995795049111753
x10534y1363,0.864935082095218,0.0,0.034924654378730255,0.10014026352605179,0.0
x34y1863,0.9741348824199095,0.0,0.025865117580090517,0.0,0.0
x534y1863,0.8156307059769838,0.051576590332693836,0.13279270369032234,0.0,0.0
x1034y1863,1.0,0.0,0.0,0.0,0.0
x1534y1863,0.774351106081703,0.0,0.036141934051851,0.11535433263031626,0.07415262723612978
x2034y1863,0.7729210276031709,0.0,0.0263945436181384,0.0698440800567441,0.1308403487219465
x4534y1863,0.9849046453379099,0.0,0.015095354662090181,0.0,0.0
x5034y1863,0.8146123530826972,0.021715944763234074,0.0470809555825156,0.0,0.11659074657155306
x5534y1863,0.9672830897478881,0.032716910252111965,0.0,0.0,0.0
