,Oligo,eL2/3,eL4,eL5,eL6
x34y363,0.0,0.0,0.0973237539082347,0.5577609536596886,0.34491529243207686
x7034y363,0.7288847042545131,0.04527834579247256,0.1430033961121382,0.0,0.08283355384087605
x10034y363,1.0,0.0,0.0,0.0,0.0
x34y863,0.6492482868755195,0.19074504935145548,0.0,0.0,0.16000666377302514
x7034y863,0.0,0.07982671116784464,0.0,0.9201732888321553,0.0
x7534y863,0.0,0.0,0.0,0.46744014325728317,0.5325598567427169
x8034y863,0.0,0.0,0.0,1.0,0.0
x8534y863,1.0,0.0,0.0,0.0,0.0
x9534y863,0.0,0.0,0.0,1.0,0.0
x10534y863,0.8736290914416455,0.0,0.0,0.1263709085583546,0.0
x34y1363,0.26693813954353884,0.0,0.0,0.7330618604564612,0.0
x534y1363,1.0,0.0,0.0,0.0,0.0
x1534y1363,0.0,0.0,0.0,1.0,0.0
x4534y1363,0.12449102151532238,0.0,0.0,0.8755089784846776,0.0
x5534y1363,0.0,0.0,0.30294677269668807,0.697053227303312,0.0
x6034y1363,0.7729601030143631,0.0,0.0,0.2270398969856369,0.0
x7034y1363,1.0,0.0,0.0,0.0,0.0
x8534y1363,1.0,0.0,0.0,0.0,0.0
x9534y1363,1.0,0.0,0.0,0.0,0.0
x10034y1363,1.0,0.0,0.0,0.0,0.0
x10534y1363,1.0,0.0,0.0,0.0,0.0
x34y1863,1.0,0.0,0.0,0.0,0.0
x534y1863,0.5634382084359502,0.4365617915640498,0.0,0.0,0.0
x1034y1863,1.0,0.0,0.0,0.0,0.0
x1534y1863,0.7191397534944574,0.2808602465055427,0.0,0.0,0.0
x2034y1863,0.8799361274621875,0.1200638725378124,0.0,0.0,0.0
x4534y1863,1.0,0.0,0.0,0.0,0.0
x5034y1863,1.0,0.0,0.0,0.0,0.0
x5534y1863,1.0,0.0,0.0,0.0,0.0
x6034y1863,1.0,0.0,0.0,0.0,0.0
x6534y1863,1.0,0.0,0.0,0.0,0.0
x7034y1863,0.9983687750540022,0.0,0.001631224945997803,0.0,0.0
x7534y1863,0.9252517752795321,0.0747482247204679,0.0,0.0,0.0
x8034y1863,1.0,0.0,0.0,0.0,0.0
x8534y1863,1.0,0.0,0.0,0.0,0.0
x9034y1863,1.0,0.0,0.0,0.0,0.0
x9534y1863,1.0,0.0,0.0,0.0,0.0
x10034y1863,1.0,0.0,0.0,0.0,0.0
x10534y1863,1.0,0.0,0.0,0.0,0.0
x34y2363,1.0,0.0,0.0,0.0,0.0
x534y2363,1.0,0.0,0.0,0.0,0.0
x1034y2363,1.0,0.0,0.0,0.0,0.0
x1534y2363,1.0,0.0,0.0,0.0,0.0
x2034y2363,1.0,0.0,0.0,0.0,0.0
x2534y2363,0.0775034710226862,0.2353704286784755,0.0,0.6871261002988382,0.0
x4534y2363,1.0,0.0,0.0,0.0,0.0
x5034y2363,0.9319442278721033,0.05735702955763931,0.0,0.010698742570257427,0.0
x5534y2363,1.0,0.0,0.0,0.0,0.0
x6034y2363,1.0,0.0,0.0,0.0,0.0
x6534y2363,1.0,0.0,0.0,0.0,0.0
x7034y2363,1.0,0.0,0.0,0.0,0.0
x7534y2363,1.0,0.0,0.0,0.0,0.0
x8034y2363,1.0,0.0,0.0,0.0,0.0
x8534y2363,1.0,0.0,0.0,0.0,0.0
x9034y2363,1.0,0.0,0.0,0.0,0.0
x9534y2363,1.0,0.0,0.0,0.0,0.0
x10034y2363,1.0,0.0,0.0,0.0,0.0
x10534y2363,1.0,0.0,0.0,0.0,0.0
x34y2863,0.7557297795447395,0.0,0.0,0.0,0.24427022045526053
x534y2863,1.0,0.0,0.0,0.0,0.0
x1034y2863,1.0,0.0,0.0,0.0,0.0
x1534y2863,1.0,0.0,0.0,0.0,0.0
x2034y2863,1.0,0.0,0.0,0.0,0.0
x2534y2863,1.0,0.0,0.0,0.0,0.0
x3034y2863,0.9227087495827182,0.0,0.0,0.0772912504172818,0.0
x3534y2863,1.0,0.0,0.0,0.0,0.0
x4534y2863,1.0,0.0,0.0,0.0,0.0
x5034y2863,0.8674775684026319,0.13252243159736812,0.0,0.0,0.0
x5534y2863,1.0,0.0,0.0,0.0,0.0
x6534y2863,1.0,0.0,0.0,0.0,0.0
x7034y2863,1.0,0.0,0.0,0.0,0.0
x7534y2863,1.0,0.0,0.0,0.0,0.0
x8534y2863,1.0,0.0,0.0,0.0,0.0
x9034y2863,0.13977871970047884,0.0,0.0,0.2435231493974304,0.6166981309020907
x9534y2863,0.0,0.0,0.0,0.4671737601164565,0.5328262398835435
x10034y2863,0.9134121247862289,0.0,0.0,0.0,0.08658787521377102
x10534y2863,0.8155573493075176,0.0,0.0,0.0,0.1844426506924825
x34y3363,0.5251352281564736,0.0,0.0,0.10237966864573064,0.3724851031977959
x534y3363,1.0,0.0,0.0,0.0,0.0
