,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0036832169362683302,0.0,0.0035721213986725877,0.013001920642770434,0.0,0.0,0.0,0.0038340836670003728,0.08678246358920298,0.02366213106624085,0.0,0.8654640626998444
x534y50,0.9677304598106302,0.015367239981011934,0.0047028219567950185,0.0,0.005802132542530769,0.0,0.006397345709032043,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9986542558205591,0.0,0.00134574417944089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9683292475485323,0.0,0.0,0.0,0.0,0.010983077686318593,0.0,0.0,0.0,0.02068767476514908,0.0,0.0
x2034y50,0.9713337008471623,0.0,0.007735384880727876,0.0,0.0,0.0,0.0,0.020930914272109864,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9037595813352081,0.0,0.0,0.02333429798194539,0.0,0.0,0.0,0.051814195988367374,0.021091924694479344,0.0
x34y550,0.0,0.0022391728634480897,0.0,0.8942501476149746,0.05543828715442919,0.0,0.0,0.0,0.0,0.0,0.0,0.048072392367148116
x534y550,0.004890286578169733,0.002734990249948588,0.0,0.007262586609202244,0.8661482239222887,0.0,0.0,0.0,0.10622245396618603,0.012741458674204746,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8964190492988778,0.07082090027378911,0.03276005042733303,0.0,0.0
x2534y550,0.9877328947404193,0.0,0.0,0.008969555104187687,0.0,0.0,0.0,0.0,0.0,0.0032975501553930506,0.0,0.0
x4534y550,0.9438448504341921,0.0,0.0,0.005234152878520513,0.0,0.0,0.0,0.0,0.0,0.0,0.006872864022268008,0.04404813266501946
x5534y550,0.32254928536560734,0.0,0.0,0.00878288012153894,0.0,0.09086442584766538,0.0,0.39825658944881936,0.09537027805960605,0.0180574901707823,0.0661190509859807,0.0
x6034y550,0.029254291967199586,0.014973059063988062,0.8525916943939472,0.01614124848018106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08703970609468396
x7034y550,0.024696376232339227,0.0,0.0,0.8591421076472383,0.0,0.0,0.0,0.0,0.0,0.023110649534572637,0.0,0.09305086658585002
x8034y550,0.0,0.9583057795387818,0.0,0.01445582832342412,0.0,0.0,0.0,0.0,0.0,0.0,0.027238392137794037,0.0
x8534y550,0.0,0.0,0.9646357685708028,0.0,0.0,0.0,0.0,0.03536423142919722,0.0,0.0,0.0,0.0
x9034y550,0.008443974914991718,0.0,0.11670877838297022,0.01672193262715281,0.6518994958392466,0.0,0.0,0.0,0.0,0.07396662992708135,0.020149070089580053,0.11211011821897707
x9534y550,0.005126438722412734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040901096888016256,0.16855363342985252,0.743034901704213,0.0423839292555054
x10034y550,0.39648055431994433,0.0,0.16686267678164582,0.34147820416784574,0.0,0.0,0.004656694740738981,0.0,0.0,0.0,0.034932576931638364,0.05558929305818684
x34y1050,0.0,0.0,0.0,0.0,0.020442939172768623,0.8684396059555077,0.0,0.0,0.0,0.04024739629495366,0.0,0.07087005857676985
x1034y1050,0.9878019330731163,0.0,0.0,0.004847874578094917,0.0,0.007350192348788738,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.005067749033935464,0.0032559115157199813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2914969349349071,0.6416396378201538,0.058539766695283796
x2034y1050,0.9999999910958456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90415445315582e-09
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.5657552458271548,0.3626159349263726,0.0032235600009686938,0.006244235530484173,0.0,0.0,0.014915802073493398,0.0,0.0,0.0,0.04724522164152634,0.0
x4534y1050,0.005723577513100142,0.13698478784039228,0.04952238261422025,0.011307499993196652,0.014463691051703888,0.0,0.0,0.0,0.05427579154104142,0.022734647203239207,0.0978386532918161,0.6071489689512901
x5034y1050,0.21353647354872882,0.011081647502578952,0.0,0.0,0.0,0.6597231850793387,0.0,0.014974030556225348,0.0,0.0,0.10068466331312818,0.0
x5534y1050,0.9599368696977163,0.0,0.0,0.006628898643396549,0.0,0.0,0.0,0.0,0.0,0.0,0.03343423165888715,0.0
x7034y1050,0.0,0.0012213647487181335,0.12529242033944452,0.00976628288847211,0.0,0.006208879036233837,0.0,0.0,0.12405749764389347,0.0,0.11928666223252066,0.6141668931107173
x7534y1050,0.2752446896621314,0.0038114295511636758,0.0,0.005575585403128172,0.0,0.010835043852506837,0.0,0.0,0.0,0.05428761570683266,0.05084264055223363,0.5994029952720037
x8034y1050,0.20978687965899695,0.0,0.001415541233001232,0.009346143700310837,0.02505155733744879,0.0,0.0015104065842055567,0.013807591846025782,0.09727874676828716,0.06280657499577272,0.06481854110421445,0.5141780167717366
x8534y1050,0.017418921817220392,0.0,0.0,0.9094441056626927,0.0466780049872603,0.0,0.0,0.0,0.0,0.02645896753282647,0.0,0.0
x9034y1050,0.3523685510381839,0.015788949740334804,0.0,0.012752029220563389,0.0,0.3721296728537831,0.0,0.03516982336906202,0.11352475135572178,0.022176938861048788,0.07608928356130218,0.0
x9534y1050,0.0038694394737418553,0.0,0.0,0.008336061562050643,0.0,0.8504670955840384,0.0,0.0,0.0,0.0,0.0,0.13732740338016902
x10034y1050,0.6354729575907687,0.0,0.34589903308926595,0.018627996851736658,0.0,0.0,0.0,1.2468228596521042e-08,0.0,0.0,0.0,0.0
x10534y1050,0.03689360032909796,0.026809774687305075,0.00544648511487798,0.7482781921540921,0.03175908419515401,0.020226931473592898,0.0033921443263575414,0.0,0.020697092618800886,0.059266471607279256,0.0,0.04723022349344229
x34y1550,0.004343480747989259,0.0,0.0,0.2253579835089964,0.04747288540811657,0.0,0.0,0.0,0.16474080399789573,0.0,0.0,0.5580848463370021
x534y1550,0.5602298427008553,0.0,0.0,0.3803002818000553,0.0,0.02048277056418379,0.0,0.0,0.0,0.03898710493490556,0.0,0.0
x1034y1550,0.5615509999093279,0.0,0.0,0.36129038122963264,0.0,0.0,0.0,0.017403205943666223,0.0,0.02589978927922538,0.03385562363814795,0.0
x2034y1550,0.017890532445528438,0.3555617729713071,0.008474103278628067,0.4577663718519545,0.0,0.06272790730601441,0.0,0.033560575977721566,0.0,0.0,0.0,0.06401873616884587
x4534y1550,0.12404048432904154,0.003034083484043871,0.038502858153582134,0.07114353137993185,0.07090137477535148,0.11161708598012669,0.0,0.05636834553891359,0.16811121471911283,0.1677195127306873,0.09166927147479181,0.09689223743441697
x5034y1550,0.4565014667012142,0.20377306221618352,0.21897407468822327,0.04021113109015749,0.0,0.0,0.007934277390506016,0.01210161318693089,0.0,0.0,0.060504374726784556,0.0
x5534y1550,0.08669172677237785,0.004001356993018291,0.0035102838566544673,0.10183565631883215,0.07500756462653185,0.17185535196415128,0.00197448810545452,0.02835453773677227,0.015536274894259936,0.16175001375284903,0.1407642756630589,0.20871846931603943
x6034y1550,0.00918522831775482,0.0,0.0,0.24292522636260253,0.033281814990736104,0.02382178468393374,0.0015065036214513636,0.0,0.025196842543113454,0.13229195776598981,0.0,0.5317906417144181
x6534y1550,0.32953862806826717,0.013634917543915904,0.004312818821774674,0.4886911955876117,0.0,0.0,0.0,0.0,0.03163762134611949,0.0,0.13218481863231102,0.0
x7034y1550,0.04171317183469538,0.0,0.0020109912000532094,0.6740610352977386,0.10284938810406272,0.0,0.0,0.0,0.0,0.0,0.05909717033932893,0.1202682432241211
x7534y1550,0.681360856409034,0.009922106545938128,0.0,0.22238005549332251,0.049615139286331246,0.0,0.003579128285195621,0.0,0.0,0.012821563332515645,0.0,0.020321150647663027
x8034y1550,0.6300034265840914,0.22358873934203263,0.0,0.010146816582624195,0.0,0.0,0.0,0.0,0.11826604400418474,0.01799497348706704,0.0,0.0
x8534y1550,0.037722626474988794,0.0,0.0,0.722911241110753,0.03436495536518356,0.0,0.0,0.0,0.0,0.06508561529587363,0.06110164336634712,0.07881391838685377
x9034y1550,0.4396077724980572,0.014067775440428193,0.0016599660421508392,0.3038940582232075,0.03743479027427746,0.019471612968546284,0.0,0.03198213135909496,0.0889567657621213,0.0,0.0,0.06292512743211623
x9534y1550,0.42337524711667945,0.0,0.0,0.3986828910629057,0.028615383830765794,0.0,0.0,0.03484067275879816,0.006553643473448282,0.0,0.045460481845129595,0.06247167991227282
x10034y1550,0.5584881148769603,0.0,0.0,0.3659847342628793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07552715086016051
x10534y1550,0.05955240473635891,0.0059957490520655046,0.0025430628229945553,0.49825569907909323,0.12088932936783432,0.0,0.0,0.019593977290982004,0.0,0.09288172793508088,0.030182211102746777,0.17010583861284387
x34y2050,0.51940472556678,0.0,0.0,0.3851936424872995,0.0,0.0,0.0037424124817037226,0.0,0.07427525596566976,0.017383963498546807,0.0,0.0
x534y2050,0.07993804252461645,0.0026816933374424973,0.0,0.5947365895153849,0.006873883495830626,0.06403796342539654,0.015178442303767328,0.0,0.13068497112911778,0.09643567345798965,0.0,0.0094327408104542
x1034y2050,0.22818357270591413,0.007158227599355443,0.0,0.10505177646597233,0.031773766928030224,0.3644279860943673,0.0,0.0,0.06459079384039053,0.12229835377476102,0.0,0.07651552259120907
x1534y2050,0.021388227991417902,0.0033075267444922156,0.0,0.12057589161617444,0.0,0.2586852610228073,0.0,0.3690522489171116,0.0,0.024943766337688692,0.01988155167515106,0.18216552569515682
x5034y2050,0.33285892076709045,0.0049067630705406885,0.0032002809531206868,0.4654114133386721,0.0,0.0,0.0,0.0,0.0,0.10275989865744156,0.02701436381929216,0.06384835939384229
x5534y2050,0.04225836784766227,0.0,0.004923576532484857,0.7871067295235549,0.0,0.0,0.0,0.0,0.1416481053861515,0.0,0.008523425067069025,0.015539795643077333
x6034y2050,0.332855087545217,0.0,0.011328662292963487,0.5239706941354001,0.0,0.0,0.008952282704385464,0.0,0.0,0.02820525623466577,0.08327940140137155,0.011408615685996661
x6534y2050,0.04377259063391868,0.007072156931937789,0.0,0.7159973962428386,0.07756380246582152,0.0,0.0030503649163733243,0.0,0.0,0.0,0.14132922283333357,0.011214465975776484
x7034y2050,0.2382298050937736,0.0,0.0,0.2108402939221134,0.1253718437513812,0.0,0.01313438818557445,0.0,0.12963217251671433,0.02116014559571034,0.0,0.2616313509347327
x7534y2050,0.0,0.0,0.0077743172024254785,0.9145607522497713,0.0,0.0,0.0,0.0,0.0,0.014780020870197535,0.06288490967760561,0.0
x8034y2050,0.03539886173109779,0.2040280474007445,0.0,0.5478285736501656,0.052302811714846575,0.07639361817036129,0.0,0.0,0.033636850899087856,0.019765002925323755,0.0,0.030646233508372533
x8534y2050,0.5317619890891431,0.0,0.003503628556097418,0.2447761459098149,0.03829708205510835,0.0,0.0,0.0,0.0,0.05702465715069197,0.12463649723914443,0.0
x9034y2050,0.009949878215601123,0.0013618127922195495,0.0,0.8182504944270009,0.10267152775159748,0.0,0.01596292826933618,0.0,0.05180335854424482,0.0,0.0,0.0
x9534y2050,0.06607397846441075,0.005230512102905526,0.0,0.503871002282631,0.08894066327247253,0.0,0.002868462973888188,0.02887567148220067,0.0,0.08859095919507687,0.0,0.21554875022641443
x10034y2050,0.022385751417370266,0.019367414157440085,0.002565374929332779,0.6807723773185085,0.0,0.0,0.0,0.015846915746719165,0.0,0.06283545355752837,0.0,0.19622671287310076
