,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0020502496660186795,0.001750325212942653,0.02241625426746172,0.0,0.0,0.0,0.0,0.10817437156937312,0.0,0.0,0.8656087992842038
x534y50,0.9879626582861392,0.0,0.007763657618404104,0.0,0.0,0.0,0.002963980699123977,0.0013097033963328146,0.0,0.0,0.0,0.0
x1034y50,0.951866987378863,0.015204143934624955,0.03292886868651215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9739376619291578,0.0,0.0053241557669871245,0.02073818230385519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.988866303444579,0.005254017317867738,0.005879679237553124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.005295072285315176,0.9682875673239189,0.0,0.0,0.0,0.0,0.026417360390765983,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.011973351520689927,0.0,0.0,0.9682256898775476,0.011162671613440738,0.0,0.0,0.008638286988321727,0.0,0.0,0.0
x1534y550,0.0,0.030590786671071832,0.0010651476187910993,0.0034941186166602455,0.0,0.0,0.0,0.8784773424433308,0.0,0.06510406417353176,0.0,0.021268540476614445
x2534y550,0.9340537931114831,0.055231293180347585,0.002421947996840025,0.008292965711329337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9918004974786034,0.00819950252139655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.24646383635685074,0.0,0.0,0.0,0.0,0.0,0.05787534359997927,0.6832711869440486,0.0,0.0,0.0,0.012389633099121453
x6034y550,0.018836411423131406,0.0,0.9747385398466746,0.006425048730193946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.04554977915059093,0.9544502208494091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.935476324382152,0.0,0.0,0.0,0.0,0.06452367561784807,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.9733472208921407,0.0,0.0,0.0,0.010068697482448624,0.016584081625410762,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.312571227673974,0.0,0.6874287723260261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0017917177645267938,0.002049289650237303,0.0,0.0,0.0,0.0,0.004275479796133151,0.0,0.0,0.18503520588312916,0.8068483069059735,0.0
x10034y550,0.22244960729997892,0.0,0.3722052971275218,0.28425668624497213,0.0,0.0,0.121088409327527,0.0,0.0,0.0,0.0,0.0
x34y1050,0.002277727153936134,0.02130467604594276,0.002783018005950361,0.0,0.0,0.9736345787941707,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.06695070967660159,0.0,0.0,0.0524532402519416,0.0,0.0,0.09132761617433399,0.7892684338971229,0.0
x2034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.269091673724199,0.4451924158802631,0.0,0.0,0.0,0.0,0.2857159101775326,0.0,0.0,0.0,2.1800518199533455e-10,0.0
x4534y1050,0.0,0.37025065207649743,0.06672467164229791,0.0,0.0,0.0,0.020946275945050132,0.0,0.0542450519401796,0.0,0.0,0.48783334839597486
x5034y1050,0.10583739751285581,0.0,0.0,0.0010749787159813455,0.0,0.8538272035752775,0.0025694400526146102,0.0366909801432707,0.0,0.0,0.0,0.0
x5534y1050,0.9953788631582691,0.0,0.002403656952090627,0.0,0.0,0.0,0.0022174798896402487,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.3815677481800116,0.0,0.014020416694660299,0.0,0.0,0.01150412778453518,0.026146537670181366,0.0,0.0,0.5667611696706116
x7534y1050,0.32746927465187314,0.0398799730962922,0.0,0.09255549218198911,0.0,0.0028269008398550807,0.0,0.0,0.0,0.0,0.0,0.5372683592299905
x8034y1050,0.23284569465858573,0.0,0.0,0.011901207211238381,0.0,0.0,0.04203204261396556,0.29427072020739714,0.1657572428076415,0.0,0.0,0.25319309250117167
x8534y1050,0.0,0.0,0.01149684352820624,0.9871189988330782,0.0,0.0,0.0013841576387155522,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.35785530370009705,0.0024209441325614292,0.002820589668358811,0.0,0.0,0.619007206807296,0.002722560200127006,0.015173395491559561,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.003601897675027579,0.0,0.0,0.0,0.9279100738692064,0.03523265251392531,0.0,0.0,0.0,0.0,0.033255375941840616
x10034y1050,0.40098445940220356,0.0,0.5990155405977964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.018129300575401873,0.0,0.0381989676952515,0.9395368812934266,0.0,0.0,0.0,0.0,0.0,0.004134850435920074,0.0,0.0
x34y1550,0.001453888434628603,0.0371665783726085,0.05618523359615822,0.35958271983766016,0.0,0.0,0.0,0.0,0.02344434452436814,0.0,0.0,0.5221672352345764
x534y1550,0.4532798956019512,0.0,0.0,0.5041949108313936,0.0,0.0,0.042525193566655045,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.4063072696435102,0.0,0.0,0.5532766098946607,0.037098074755032455,0.0033180457067966997,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.5850500410096713,0.002030716929703179,0.3680920845860243,0.0,0.0,0.044827157474601226,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.05930444593922038,0.0,0.20274639535173644,0.0,0.0,0.44429567947624343,0.10148463224656713,0.13637277044661367,0.047037318624059236,0.008758757915559691,0.0,0.0
x5034y1550,0.19213217468303098,0.15869627323899455,0.5085565553840683,0.0,0.0,0.0,0.14061499669390629,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.038818448004440856,0.0,0.013261488276223594,0.04428684634277494,0.0,0.678875620649293,0.07513689068083136,0.11453656507524644,0.0,0.0,0.0,0.03508414097118975
