,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0021086493584268405,0.0017689420990089297,0.022696185189618676,0.0,0.0,0.0,0.0,0.13451860850436825,0.0,0.0,0.8389076148485773
x534y50,0.9877770754501327,0.0,0.007823070701625842,0.0,0.0,0.0,0.0029932918567334445,0.0014065619915080382,0.0,0.0,0.0,0.0
x1034y50,0.9519818926274835,0.015137003535930296,0.032881103836586205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9737468681947923,0.0,0.0053372362900600415,0.020915895515147713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9888819591702518,0.005247292768021317,0.005870748061727072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0052653553576211196,0.9683902851956758,0.0,0.0,0.0,0.0,0.026344359446703148,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.009630365696653617,0.0,0.0,0.812383583176657,0.16894168948264116,0.0,0.0,0.009044361644048161,0.0,0.0,0.0
x1534y550,0.0,0.03202297150904433,0.001238816685852922,0.0036922426740338913,0.0,0.0,0.0,0.8560724108219594,0.0,0.08018273489004711,0.0,0.026790823419062415
x2534y550,0.9341209837935252,0.05517410668115771,0.002420675315041256,0.008284234210275887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9917228429790309,0.00827715702096904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.2514005562977049,0.0,0.0,0.0,0.0,0.0,0.058294299447556236,0.67740835174185,0.0,0.0,0.0,0.01289679251288896
x6034y550,0.019045958247577512,0.0,0.9744810134661458,0.0064730282862767476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.04603197577688462,0.9539680242231153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.9326692453952695,0.0,0.0,0.0,0.0,0.06733075460473054,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.9724044196212871,0.0,0.0,0.0,0.010504286419838253,0.017091293958874574,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.32005483194744505,0.0,0.679945168052555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0018509283452982242,0.002149123082652027,0.0,0.0,0.0,0.0,0.004213025081563972,0.0,0.0,0.2658841960542978,0.725902727436188,0.0
x10034y550,0.22299760807439614,0.0,0.37279672752954746,0.2831420967076646,0.0,0.0,0.12106356768839181,0.0,0.0,0.0,0.0,0.0
x34y1050,0.002295645945953961,0.021517377655365495,0.0029209955798365616,0.0,0.0,0.973265980818844,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.06891949780596457,0.0,0.0,0.05417713903193193,0.0,0.0,0.1539798446527129,0.7229235185093905,0.0
x2034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.2693433903380265,0.4446294342740687,0.0,0.0,0.0,0.0,0.28602717516990106,0.0,0.0,0.0,2.180037829779619e-10,0.0
x4534y1050,0.0,0.3722697714085818,0.06765091788191518,0.0,0.0,0.0,0.02124180584766715,0.0,0.0791001587134203,0.0,0.0,0.4597373461484155
x5034y1050,0.10915585976843238,0.0,0.0,0.001075200870230723,0.0,0.8488664625362766,0.0026005031881553204,0.038301973636905025,0.0,0.0,0.0,0.0
x5534y1050,0.9953350761160323,0.0,0.0024215563027974885,0.0,0.0,0.0,0.0022433675811703033,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.3821957702438631,0.0,0.015235863627960368,0.0,0.0,0.011441806632851765,0.04452538226806228,0.0,0.0,0.5466011772272625
x7534y1050,0.32965463212495777,0.04006060509459644,0.0,0.09316350212664681,0.0,0.0029541803120703533,0.0,0.0,0.0,0.0,0.0,0.5341670803417287
x8034y1050,0.23443680050160634,0.0,0.0,0.012034556227079683,0.0,0.0,0.04221977988412016,0.2890792600923996,0.16123672774293224,0.0,0.0,0.2609928755518621
x8534y1050,0.0,0.0,0.011757504628771481,0.9868334948598595,0.0,0.0,0.0014090005113691784,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.3607081056963396,0.002463317637721907,0.0028538961141423244,0.0,0.0,0.6150826837103389,0.0027638392529560946,0.016128157588501054,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0036054136504152998,0.0,0.0,0.0,0.9223020736098616,0.03634570412782608,0.0,0.0,0.0,0.0,0.03774680861189702
