,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.004232373106839998,0.0,0.004802766994646615,0.016642792701783874,0.0,0.0,0.0,0.01093009976316355,0.0772922417590544,0.05567805298728025,0.0,0.8304216726872313
x534y50,0.9725483524192245,0.010166125346103595,0.00660680403270077,0.0,0.0,0.0,0.010678718201971034,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9978697220189917,0.0,0.002130277981008319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9663520857186032,0.0,0.0,0.0,0.0,0.008619124908778888,0.004616873292272485,0.0,0.0,0.02041191608034545,0.0,0.0
x2034y50,0.9699483977925246,0.0,0.009942596928424662,0.0,0.0,0.0,0.0,0.02010900527905066,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9194774722964918,0.0,0.0,0.02961310948720637,0.0,0.0,0.0,0.04357652373598928,0.007332894480312636,0.0
x34y550,0.0,0.0,0.0012706249157820127,0.9156295836148655,0.04328793127453026,0.0,0.0,0.0,0.0018464194018720011,0.0,0.0,0.03796544079295031
x534y550,0.006220737855063582,0.002811226726866606,0.0,0.009254986422950385,0.8599176060798823,0.0,0.0,0.0,0.0735523652291208,0.048243077686116215,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9139378680653772,0.020628482562090104,0.06543364937253279,0.0,0.0
x2534y550,0.9899187841490752,0.0,0.0,0.010081215050035609,0.0,0.0,0.0,0.0,0.0,8.00889174883741e-10,0.0,0.0
x4534y550,0.951990954471693,0.0,0.0,0.006617857054477704,0.0,0.0,0.0,0.0,0.0,0.0,0.003767158644962506,0.037624029828866826
x5534y550,0.34578783195668744,0.0,0.0,0.011005853424303295,0.0,0.0730118099364451,0.0,0.44218317645432226,0.07324003221072907,0.03320846935375264,0.021562826663760245,0.0
x6034y550,0.029739609839716893,0.01314514602126767,0.8634386979505274,0.01890694199689432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476960419159362
