,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.006005212351324525,0.0,0.004924981249732245,0.01849896223755391,0.0,0.0,0.0,0.0,0.14465119289812123,0.10184961873796546,0.0,0.7240700325253027
x534y50,0.9656360121785756,0.014306327288433571,0.008164256602181678,0.0,0.0,0.0,0.011893403930809095,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9762108468189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023789153181081022,0.0,0.0
x2034y50,0.9703305390949245,0.0,0.00987122829484885,0.0,0.0,0.0,0.0,0.01979823261022668,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9215129605442274,0.0,0.0,0.03111410393023315,0.0,0.0,0.0,0.04737293552553955,0.0,0.0
x34y550,0.0,0.0,0.0,0.8521902558576572,0.08225687681093871,0.0,0.0,0.0,0.0,0.0,0.0,0.06555286733140418
x534y550,0.007320313441791218,0.0029347316734243674,0.0,0.010260839567638819,0.8040685355341178,0.0,0.0,0.0,0.08890671264173762,0.08650886714129005,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8060919715571577,0.0,0.1939080284428423,0.0,0.0
x2534y550,0.9900111946220682,0.0,0.0,0.009988805377931733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9400760785168648,0.0,0.0,0.007641742238956432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052282179244178675
x5534y550,0.35885321250668545,0.0,0.0,0.011247268284359265,0.0,0.10810050597163573,0.0,0.4138467812272966,0.10795223201002294,0.0,0.0,0.0
x6034y550,0.036399201320832485,0.014346303675222265,0.839161934896191,0.021331622675696344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08876093743205787
x7034y550,0.027992652213672413,0.0,0.0,0.8295427979437161,0.0,0.0,9.30038568044735e-10,0.0,0.0,0.020464942988437887,0.0,0.12199960592413507
x8034y550,0.0,0.9199987779744143,0.0,0.02579912220339536,0.0,0.0,0.0,0.0,0.0,0.0,0.05420209982219029,0.0
x8534y550,0.0,0.0,0.9428076458279766,0.0,0.0,0.0,0.0,0.05719235417202351,0.0,0.0,0.0,0.0
x9034y550,0.011505954188959428,0.0,0.15299684069246772,0.02246536990660209,0.5766522548887235,0.0,0.0,0.0,0.0,0.12924531793936156,0.0,0.10713426238388558
x9534y550,0.007840966406323063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3954911394010308,0.5966678941926461,0.0
x10034y550,0.4031554332652081,0.0,0.19446221993553947,0.33232896240560633,0.0,0.0,0.005205843676582028,0.0,0.0,0.028996330730195072,0.0,0.03585120998686896
x34y1050,0.0,0.0,0.0,0.0,0.0,0.8481665990337874,0.0,0.0,0.0,0.15183340096621253,0.0,0.0
x1034y1050,0.9933002474398773,0.0,0.0,0.006699752560122643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.007840262848768419,0.0035528326928034866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42865221976391055,0.5599546846945176,0.0
x2034y1050,0.9731071670309501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026892832969049898
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.5974231296596605,0.326154187541665,0.004788196134217314,0.008176563494548593,0.0,0.0,0.02023445584925872,0.0,0.0,0.0,0.04322346732065004,0.0
x4534y1050,0.008638134603125671,0.14074655472341882,0.06569758796606712,0.01750640274024568,0.0,0.0,0.0,0.0,0.10560813987278017,0.09046880416562271,0.1471048736479691,0.4242295022807707
x5034y1050,0.2568891294081246,0.011814071237232528,0.0,0.0,0.0,0.5362664027970852,0.0,0.05179376858824015,0.0,0.0,0.14323662796931758,0.0
x5534y1050,0.9406224915837549,0.0,0.0,0.010092550599004472,0.0,0.0,0.0,0.0,0.0,0.0,0.0492849578172406,0.0
x7034y1050,0.0,0.0,0.1577792038251781,0.013188151182214733,0.0,0.0,0.0,0.0,0.1411368264836083,0.0,0.17689742831579128,0.5109983901932075
x7534y1050,0.31697143601148725,0.003958132761022676,0.0,0.008233119763865274,0.0,0.0,0.0,0.0,0.0,0.13395764808682928,0.0,0.5368796633767955
x8034y1050,0.24060460348100016,0.0,0.001868187057122997,0.01349143064564354,0.02121128497535094,0.0,0.0020340761821843302,0.028094138897419768,0.10368943139469466,0.10667156284843281,0.08893090495209834,0.3934043795660524
x8534y1050,0.02742656072571277,0.0,0.0,0.8638719017611525,0.062422981249269816,0.0,0.0,0.0,0.0,0.04627855626386491,0.0,0.0
x9034y1050,0.374485453361497,0.014921327698212214,0.0,0.021144764534287024,0.0,0.34781040914142886,0.0,0.05175698212751211,0.07367998954869993,0.0589881742164444,0.05721289937191844,0.0
x9534y1050,0.005860311772756552,0.0,0.0,0.013305460894699842,0.0,0.7525750362290096,0.0,0.0,0.0,0.0,0.0,0.22825919110353413
x10034y1050,0.5875313388418713,0.0,0.37402059909426105,0.03844806206386763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.046254172177551386,0.025302782140500735,0.007481426103087126,0.7417514725680499,0.027777246450437398,0.021565175409272705,0.005499959923247117,0.0,0.0,0.06510859094114568,0.0,0.05925917428670801
x34y1550,0.007388695697307422,0.0,0.0,0.26173823952600817,0.058174445601675256,0.0,0.0,0.0,0.2425027307368079,0.0,0.0,0.4301958884382013
x534y1550,0.5349313609627935,0.0,0.0,0.41363112318168793,0.0,0.01906782982531934,0.0,0.0,0.0,0.032369686030199345,0.0,0.0
x1034y1550,0.563734607193886,0.0,0.0,0.3709311280167878,0.0,0.0,0.0,0.019157691728151037,0.0,0.026414513616258992,0.019762059444916134,0.0
x2034y1550,0.03478277525761111,0.3359913994800807,0.011539056750335732,0.46575117696941126,0.0,0.058949854110159954,0.0,0.043348671815689466,0.0,0.0,0.0,0.04963706561671182
x4534y1550,0.13871226181619417,0.0,0.049239270720771715,0.08508794778049107,0.05495459346426953,0.11117087077026946,0.0,0.07428953768596579,0.13047655409890166,0.18571775479051417,0.07533188315458851,0.09501932571803402
x5034y1550,0.4444830357240166,0.17766209782264977,0.24875877393300488,0.052901738708180046,0.0,0.0,0.009962353197412779,0.018722293358687622,0.0,0.0,0.0475097072560485,0.0
x5534y1550,0.10098670456326873,0.0033045943109165136,0.0046379955530655975,0.12168360303643157,0.06560099583028618,0.16663919344151887,0.002792399087083337,0.044596448026986854,0.0,0.18423991628581388,0.1144960649595065,0.19102208490512199
x6034y1550,0.011619614211851564,0.0,0.0,0.26867889265233025,0.035684439209918144,0.03384444435114815,0.002163217895169297,0.0,0.0,0.2067110551416211,0.0,0.44129833653796163
x6534y1550,0.32769471002529615,0.012681198872446679,0.005671573362762073,0.5074208048815362,0.0,0.0,0.0,0.0,0.0,0.0,0.14653171285795885,0.0
x7034y1550,0.06155524703342946,0.0,0.0,0.6440855861088938,0.09133595943977335,0.0,0.0,0.0,0.0,0.0,0.07366878256421985,0.12935442485368356
x7534y1550,0.6486086375119021,0.00913484399707832,0.0,0.270410580876835,0.04217837627248519,0.0,0.00519149946191198,0.0,0.0,0.024476061879787396,0.0,0.0
x8034y1550,0.6333301807460537,0.2150882366807838,0.0,0.01899055037016386,0.0,0.0,0.0,0.0,0.1325910322029986,0.0,0.0,0.0
x8534y1550,0.060697287198945175,0.0,0.0,0.6970590134458436,0.03819024253280718,0.0,0.0,0.0,0.0,0.06919625123936748,0.06437116103211153,0.07048604455092496
x9034y1550,0.4491528834256317,0.01332261936625703,0.0,0.3398834185860798,0.0,0.041696066696821396,0.0,0.04798027074139287,0.10796474118381731,0.0,0.0,0.0
x9534y1550,0.4294460014043438,0.0,0.0,0.4154794004326614,0.0,0.0,0.0,0.05036392544864567,0.0,0.0,0.03861951063779128,0.06609116207655782
x10034y1550,0.5272742553679989,0.0,0.0,0.40699910221424485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06572664241775628
x10534y1550,0.07309426974261822,0.005672061693806548,0.0032741856275223364,0.5306811190255605,0.1057442789279783,0.0,0.0,0.030748999720653366,0.0,0.10271709762988918,0.0,0.14806798763197146
x34y2050,0.47523305287246864,0.0,0.0,0.4371574059859328,0.0,0.0,0.004473501159503398,0.0,0.0831360399820951,0.0,0.0,0.0
x534y2050,0.10177936608308606,0.0,0.0,0.6103524550505063,0.0,0.06568112975887593,0.019935364229709172,0.0,0.11240320166331119,0.08984848321451126,0.0,0.0
