,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
x534y50,0.9879873522282666,0.0,0.012012647771733423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.9999999998157578,0.0,0.0,0.0,0.0,1.8424216673472583e-10,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9971453799221397,0.0,0.0028546200778602378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9723923123751081,0.002849382798490328,0.0,0.0,0.0,0.0,0.0,0.024758304826401643,0.0,0.0
x34y550,0.0,0.004758692910171722,0.0,0.9952413070898283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999997266975,2.733025124966559e-10,0.0,0.0,0.0
x2534y550,0.9891484170657006,1.723266316928493e-10,0.0,0.010851582761972824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.06964843024604422,0.0,0.0,0.0,0.0,0.0,0.0,0.9303515697539558,0.0,0.0,0.0,0.0
x6034y550,0.035096887776305125,0.0,0.957725611673642,0.004820691558349941,0.0,0.0,0.0,0.002356808991703008,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.006651806848831361,0.9933481931511686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.9802236026760311,0.0,0.0,0.0,0.0,0.019776397323968863,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,7.401689242934358e-11,0.0,0.9999999999259831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.05269979376530104,0.0,0.0,0.0048130976014690895,0.02713967774097185,0.0,0.0,0.0,0.0,0.1824574313476795,0.7328899995445786,0.0
x10034y550,0.6200638058140423,0.0,0.3432730849706805,0.0,0.0,0.0,0.036663109215277115,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9968181364733772,0.0,0.0,0.0,0.0,0.0,0.003181863526622758,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.04905161803099575,0.0,0.0,0.0,0.0,0.22187582001276085,0.7290725619562434,0.0
x2034y1050,0.9953615135966313,0.0,0.0,0.0019441792877864293,0.0,0.0,0.0026943071155823336,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.5495031924591713,0.396345351252371,0.0,0.0,0.0,0.0,0.023228336539823286,0.0,0.0,0.0,0.030923119748634383,0.0
x4534y1050,0.0,0.020689821596492203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9793101784035079
x5034y1050,0.009168182310317283,0.01706703146853246,0.0,0.0,0.0,0.9737647862211503,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.9984893493383247,0.0,0.0,0.0015106506616753364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.019621433772468964,0.0,0.06040728575599596,0.0,0.0,0.0,0.0,0.0,0.0,0.9199712804715351
x7534y1050,0.20588013151845505,0.0,0.0,0.0,0.0,0.024932570819981615,0.005334322014541202,0.0,0.0,0.0,0.25163269368525937,0.5122202819617627
x8034y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376584640956774,0.0,0.0,0.0,0.6623415359043225
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
