,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.004979505527795964,0.0,0.005932235189765362,0.02052363250494035,0.0,0.0,0.0,0.03784283733646728,0.1786775727593508,0.0,0.4052443333173074,0.3467998833643727
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9767430328489353,0.0,0.0,0.023256967151064855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9407821207479289,0.0,0.008771764584497637,0.0,0.0,0.0,0.0,0.03893958040841266,0.0,0.0,0.0,0.011506534259160735
x3034y50,0.0,0.0,0.9039990197416984,0.0,0.0,0.0,0.0,0.0,0.0,0.06781151303997641,0.0,0.028189467218325263
x34y550,0.0,0.0,0.0,0.9691545936493065,0.030845406350693622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.00561578095454526,0.009139533781961546,0.0,0.007664766756574958,0.9775799021758024,0.0,0.0,0.0,0.0,1.6331115841590422e-08,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9561236176466972,0.01877793256060851,0.0,0.0,0.025098449792694422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9596892497532175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040310750246782504
x5534y550,0.30287238569100705,0.0,0.005196600442648518,0.0059505062160520325,0.038706414208735176,0.0,0.0,0.4629534485409209,0.025582872316074357,0.0,0.15873777258456195,0.0
x6034y550,0.007364719237645065,0.007385040915720393,0.9654437620413271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014632571319560514,0.0051739064857470275
x7034y550,0.006476197006264074,0.0,0.0,0.9705863325443237,0.0,0.0,0.0,0.0,0.022937470449412314,0.0,0.0,0.0
x8034y550,0.0,0.9534324183397334,0.0,0.0015460043064280148,0.045021577353838695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
