,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.0975649103233283,0.0,0.17212758967145628,0.0,0.0,0.5134050279260517,0.21690247207916374
x534y50,0.9733817577462079,0.013229876164759714,0.00658647993579357,0.0,0.00439500391424903,0.0,0.0,0.002406882238989742,0.0,0.0,0.0,0.0
x1034y50,0.993662269741887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006337730258112987
x1534y50,0.8799064676981281,0.0,0.08306931278715086,0.015826244676277502,0.021197974838443493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9460984985294939,0.0,0.0172300431172656,0.0,0.0,0.0,0.010899448997862857,0.025772009355377573,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9917978974333544,0.0,0.0,0.0,0.0,0.0,0.004294749708305815,0.0,0.0,0.003907352858339748
x34y550,0.0,0.0,0.0678282421190639,0.9321717575479481,0.0,3.329878718179979e-10,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0068131678350696005,0.0,0.0,0.9779328428123987,0.0,0.015253989352531644,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0025300286637519,0.0,0.0,0.0,0.0,0.0,0.9974699713362482,0.0,0.0,0.0,0.0
x2534y550,0.9922925191731894,0.0,0.0,0.0,0.0,0.0,0.007707480826810594,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9650897265045146,0.0,0.0,0.029568489187359326,0.0,0.0,0.0011236876131537538,0.0015208428731704614,0.00269725382180175,0.0,0.0,0.0
x5534y550,0.19861888141345269,0.0,0.0,0.0,0.0,0.04848344354086087,0.0,0.7528976750456865,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.031812664473777674,0.9681873355262224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.966121475692297,0.0,0.0,0.00954634295318916,0.015574052749160416,0.00875812860535352,0.0,0.0,0.0,0.0,0.0
x8534y550,0.010079628374989803,0.0,0.9899203716250101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.3720303421747361,0.0,0.6279696578252638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.004160458806506885,0.002716687341647876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10254084450560237,0.801505606062252,0.0890764032839908
x10034y550,0.33823681130924294,0.0,0.3935140664655706,0.2523849488637763,0.0,0.0,0.015864173361410255,0.0,0.0,0.0,0.0,0.0
x34y1050,0.004160510989660306,0.0,0.0,0.0,0.0,0.9958394890103397,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9858330418141312,0.0,0.0,0.0,0.0,0.0,0.0,0.014166958185868724,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.11627956451326774,0.0,0.0,0.009307389333266575,0.0,0.2816513158345737,0.592761730318892,0.0
x2034y1050,0.9882475208468385,0.0,0.0010648211960816592,0.0,0.0,0.0,0.0,0.010687657957079745,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,0.9851060020739402,0.0,0.0,0.0,0.0,0.014893997926059858,0.0,0.0,0.0,0.0
x3534y1050,0.45205694009792363,0.19686772890437781,0.0,0.0,0.0,0.0,0.35107533099769855,0.0,0.0,0.0,0.0,0.0
