,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.10206862683190451,0.0,0.174073982839046,0.0,0.0,0.48536610291535165,0.23849128741369788
x534y50,0.9726086411970936,0.013624077899362569,0.006679613145494738,0.0,0.004642490067964399,0.0,0.0,0.002445177690084688,0.0,0.0,0.0,0.0
x1034y50,0.9936683277814681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006331672218531841
x1534y50,0.8794790803661069,0.0,0.08331236754821258,0.01586864939244574,0.0213399026932349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9461341800106956,0.0,0.01722559059523063,0.0,0.0,0.0,0.010895480696782188,0.025744748697291694,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9918394333677879,0.0,0.0,0.0,0.0,0.0,0.004232509909931893,0.0,0.0,0.003928056722280095
x34y550,0.0,0.0,0.0691072571566974,0.9308927425097295,0.0,3.3357301148223175e-10,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.006946668200901907,0.0,0.0,0.9776399289537662,0.0,0.015413402845331967,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0026706759870130563,0.0,0.0,0.0,0.0,0.0,0.9973293240129869,0.0,0.0,0.0,0.0
x2534y550,0.9923131043611301,0.0,0.0,0.0,0.0,0.0,0.00768689563887002,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9647727603149748,0.0,0.0,0.029795378687854052,0.0,0.0,0.0011502135237481644,0.0015317307260445143,0.002749916747378464,0.0,0.0,0.0
x5534y550,0.20221268643934887,0.0,0.0,0.0,0.0,0.051936602907206454,0.0,0.7458507106534447,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.032110475878267354,0.9678895241217327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.963645240219747,0.0,0.0,0.010024297194085858,0.01564610082978132,0.010684361756385876,0.0,0.0,0.0,0.0,0.0
x8534y550,0.010340886086999174,0.0,0.9896591139130009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.37822313977790467,0.0,0.6217768602220953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.004130667102769663,0.002432544025659688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20062366949034965,0.5904241172236586,0.20238900215756236
x10034y550,0.3386401961795084,0.0,0.39384251087324107,0.2516297019684799,0.0,0.0,0.0158875909787706,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0043288900245889205,0.0,0.0,0.0,0.0,0.9956711099754111,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9855910140220744,0.0,0.0,0.0,0.0,0.0,0.0,0.014408985977925589,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.12093054930728968,0.0,0.0,0.010833982199389393,0.0,0.30941164061776527,0.5588238278755556,0.0
x2034y1050,0.9880764062381092,0.0,0.0010909340926895255,0.0,0.0,0.0,0.0,0.01083265966920126,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,0.9848942296390218,0.0,0.0,0.0,0.0,0.015105770360978222,0.0,0.0,0.0,0.0
x3534y1050,0.45148057018628174,0.1996051938260057,0.0,0.0,0.0,0.0,0.34891423598771265,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.33307154236376924,0.11787429562848042,0.0,0.0,0.0,0.0,0.052025182629543754,0.0,0.0,0.49702897937820656,0.0
x5034y1050,0.17282431568793852,0.0,0.0,0.0,0.0,0.8271756843120615,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.9902314447420176,0.0,0.0,0.005353807066482528,0.0,0.0,0.004414748191499804,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.30601894912056155,0.0,0.0,0.0,0.0,0.07344488576070884,0.0,0.0,0.6205361651187296,0.0
x7534y1050,0.2708694816082149,0.0,0.0,0.0,0.0,0.0,0.0,0.06708634198634658,0.0,0.0,0.0,0.6620441764054387
x8034y1050,0.1552759923083047,0.10775807125694362,0.03794680309940943,0.0,0.0,0.03644786749791484,0.0,0.23912508784037248,0.0,0.0,0.42344617799705486,0.0
x8534y1050,0.0,0.0,0.0,0.9834845676449501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016515432355049865
x9034y1050,0.2558692219813345,0.13955305853633793,0.0,0.0,0.0,0.6045777194823275,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.47705587943735256,0.0,0.5080774543685641,0.01084375959794577,0.0,0.0040229065961374525,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9676141036253174,0.004569463078734558,0.009361199670501467,0.01845523362544659,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.31626294150989415,0.0,0.0,0.0,0.05173981114456709,0.23337966996854614,0.0,0.3986175773769927,0.0
x534y1550,0.4888452007964332,0.0,0.01800605052982574,0.49314874867374103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.4393827807128909,0.0,0.0,0.5566096320365046,0.004007587250604529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.3937153171513218,0.0,0.5940274962742756,0.0,0.012257186574402487,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.021602778067759162,0.2295448876076809,0.07639113307316485,0.10577848988552442,0.04485917638121067,0.3891573539389277,0.025507497330957484,0.10715868371477479,0.0,0.0,0.0,0.0
x5034y1550,0.2345287625767978,0.2194582831465199,0.4595224343924137,0.0,0.0,0.0,0.08649051988426859,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.023340506665649446,0.06408653218199999,0.010632217782538726,0.1133319386149681,0.21339739697309545,0.2702517944717751,0.047104936405182186,0.18282111245815688,0.0,0.07503356444663405,0.0,0.0
x6034y1550,0.02000150102343833,0.004957779684634504,0.0,0.4341720563421164,0.002819359278444799,0.0,0.0,0.0,0.17730125931543533,0.0,0.36074804435593066,0.0
x6534y1550,0.25059361678372166,0.0,0.0030906675715625617,0.7463157156447159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0719285634698512,0.8894213088048696,0.0,0.0,0.0,0.0,0.012678516705137668,0.0,0.025971611020141477,0.0
x7534y1550,0.4942098413286634,0.07978818835876696,0.0,0.29779010214692736,0.09528180536578955,0.007809102056967651,0.02512096074288518,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.5022829668334159,0.49220532064566763,0.0,0.0,0.002632689010308076,0.0,0.0,0.002879023510608348,0.0,0.0,0.0,0.0
