,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.0975649103233283,0.0,0.17212758967145628,0.0,0.0,0.5134050279260517,0.21690247207916374
x534y50,0.9733817577462079,0.013229876164759714,0.00658647993579357,0.0,0.00439500391424903,0.0,0.0,0.002406882238989742,0.0,0.0,0.0,0.0
x1034y50,0.993662269741887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006337730258112987
x1534y50,0.8799064676981281,0.0,0.08306931278715086,0.015826244676277502,0.021197974838443493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9460984985294939,0.0,0.0172300431172656,0.0,0.0,0.0,0.010899448997862857,0.025772009355377573,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9917983348648804,0.0,0.0,0.0,0.0,0.0,0.004292835413976527,3.004748161885328e-10,3.004748161885328e-10,0.00390882912019334
x34y550,0.0,0.0,0.06782822130770472,0.9321717786922952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0068131678350696005,0.0,0.0,0.9779328428123987,0.0,0.015253989352531644,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9922925191731894,0.0,0.0,0.0,0.0,0.0,0.007707480826810594,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9686435389023546,0.0,0.0,0.02983909039671309,0.0,0.0,0.0,0.0015173707009323392,0.0,0.0,0.0,0.0
x5534y550,0.19861888141345269,0.0,0.0,0.0,0.0,0.04848344354086087,0.0,0.7528976750456865,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.031812664473777674,0.9681873355262224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.9748413127456089,0.0,0.0,0.009693154954063839,0.015465532300327338,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.010079628374989803,0.0,0.9899203716250101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.3720303421747361,0.0,0.6279696578252638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.004223308043567592,0.003027389407681275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06135405769458371,0.9313952448541674,0.0
x10034y550,0.33823681130924294,0.0,0.3935140664655706,0.2523849488637763,0.0,0.0,0.015864173361410255,0.0,0.0,0.0,0.0,0.0
x34y1050,0.004160510989660306,0.0,0.0,0.0,0.0,0.9958394890103397,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9858330418141312,0.0,0.0,0.0,0.0,0.0,0.0,0.014166958185868724,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.11627956451326774,0.0,0.0,0.009307389333266575,0.0,0.2816513158345737,0.592761730318892,0.0
x2034y1050,0.9892865876170185,0.0,0.0,0.0,0.0,0.0,0.0,0.010713412382981609,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,0.9851060020739402,0.0,0.0,0.0,0.0,0.014893997926059858,0.0,0.0,0.0,0.0
x3534y1050,0.45205694009792363,0.19686772890437781,0.0,0.0,0.0,0.0,0.35107533099769855,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.3309393805831183,0.11668819833950873,0.0,0.0,0.0,0.0,0.05057025193007695,0.0,0.0,0.501802169147296,0.0
