,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.01107482810827999,0.0,0.012015306880851503,0.03162093592314729,0.0,0.0,0.0,0.0523530652063436,0.18689738468026937,0.0,0.33055393763683416,0.3754845415642741
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9785660155195296,0.0,0.0,0.021433984480470354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9702359706706666,0.0,0.011631079063405513,0.0,0.0,0.0,0.0,0.013134128113022317,0.0,0.0,0.0,0.004998822152905569
x3034y50,0.0,0.0,0.9586621436477476,0.0,0.0,0.0,0.0,0.0,0.0,0.026325046459343443,0.0,0.01501280989290894
x34y550,0.0,0.0,0.0,0.9866482193513464,0.013351780648653598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.011100628989588284,0.019186328018317687,0.0,0.013403046255394374,0.9563099967366997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9627438443658213,0.02734465965422552,0.0,0.0,0.009911495979953212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9850092953837237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014990704616276255
x5534y550,0.38950299304921077,0.0,0.00927103164101306,0.008734370569810107,0.0233592078415783,0.0,0.0,0.45688994244890707,0.02239666418233449,0.0,0.0898457902671461,0.0
x6034y550,0.005002972210541107,0.007131416654721759,0.9878656111347371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.007089694518920479,0.0,0.0,0.9817818511931137,0.0,0.0,0.0,0.0,0.011128454287965937,0.0,0.0,0.0
