,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.01154709666417925,0.0,0.012148157954652057,0.03255809261795688,0.0,0.0,0.0,0.05374830377716212,0.19541647298048473,0.0,0.32317489841470204,0.3714069775908629
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9789011996084411,0.0,0.0,0.021098800391558908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9863211366163706,0.0,0.013678863383629385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9591059681816477,0.0,0.0,0.0,0.0,0.0,0.0,0.026003439086201244,0.0,0.014890592732151089
x34y550,0.0,0.0,0.0,0.9830624500028667,0.016937549997133153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.012007020408558151,0.02052767494486798,0.0,0.014454485951286322,0.9530108186952876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.963231133832596,0.02696697788967092,0.0,0.0,0.009801888277733166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9841165730256874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015883426974312474
x5534y550,0.395070579530594,0.0,0.009740275135229627,0.00877659373454102,0.0,0.0,0.0,0.4595375361282621,0.0,0.0,0.1268750154713733,0.0
x6034y550,0.005318440189312838,0.007510098386457184,0.9871714614242301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.007387004914235091,0.0,0.0,0.9809622794973161,0.0,0.0,0.0,0.0,0.011650715588448943,0.0,0.0,0.0
x8034y550,0.0,0.9774660400159244,0.0,0.0,0.022533959984075556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.019571297917675354,0.0,0.34249404566501096,0.019566894286256548,0.5458721547749777,0.0,0.0,0.0,0.0,0.07249560735607949,0.0,0.0
x9534y550,0.013721377380591525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23423024665532166,0.48517743592128443,0.2668709400428024
x10034y550,0.3134502834964068,0.0,0.3008075796543983,0.325631601308455,0.0,0.0,0.012571884823795449,0.0,0.0,0.04753865071694448,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9147476183630747,0.011202771364512967,0.0,0.0,0.0,0.05383461863005617,0.020214991642356017
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0077114105244721,0.013214003681963954,0.0,0.009699946406921884,0.0,0.0,0.0,0.0,0.1391305822380945,0.3101578099664639,0.5200862471820838,0.0
x2034y1050,0.9892452019517837,0.0,0.010754798048216323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.4568841478914667,0.2670538105889994,0.016940072945677988,0.0,0.0,0.0,0.2466599396160594,0.0,0.0,0.0,0.0,0.012462028957796528
x4534y1050,0.018023845823749773,0.2740022648560675,0.14705274691293208,0.01625778519700246,0.0,0.0,0.0,0.0,0.0,0.0,0.5446633572102482,0.0
x5034y1050,0.3517648332022222,0.0,0.0,0.008074663148287841,0.0,0.5412732239081829,0.0,0.0,0.0,0.0,0.0988872797413071,0.0
x5534y1050,0.9627687281421423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03723127185785766,0.0,0.0
x7034y1050,0.0,0.011544728046912705,0.3590408370921145,0.0,0.0,0.0,0.0,0.0,0.09167404068741937,0.0,0.5377403941735533,0.0
x7534y1050,0.38236464047548774,0.010508483683180305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071268758413318
x8034y1050,0.32232213187858166,0.0,0.0,0.030265342267146188,0.0,0.0,0.019579143645033496,0.039686245980700516,0.17095704480816878,0.0,0.4171900914203693,0.0
x8534y1050,0.016399095025714346,0.0,0.0,0.9702443127790044,0.013356592195281318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.4571621646803239,0.03936753662902518,0.0,0.021789070223557548,0.0,0.3752201376526579,0.0,0.020589452897081494,0.08587163791735387,0.0,0.0,0.0
x9534y1050,0.004911260939032764,0.0,0.0,0.0,0.0,0.8823100607771035,0.0,0.0,0.0,0.0,0.0,0.11277867828386373
x10034y1050,0.4815687897913787,0.0,0.5004485318364577,0.0,0.0,0.0,0.0,0.017982678372163784,0.0,0.0,0.0,0.0
x10534y1050,0.011154603114266687,0.0,0.0,0.9012276138165893,0.0148186237954779,0.02324784045714378,0.040768776438010176,0.0,0.0,0.0,0.0,0.008782542378512176
x34y1550,0.0,0.00834703575179474,0.0,0.43819215026870306,0.0,0.0,0.0,0.0,0.1835902177380939,0.0,0.3698705962414083,0.0
x534y1550,0.5026015907508816,0.0,0.0,0.47953123213648496,0.017867177112633536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.4990988074312392,0.0,0.0,0.48364007204492654,0.0,0.017261120523834265,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.4795812608839167,0.014181830694306166,0.4661232024901945,0.0,0.023828591371054395,0.0,0.016285114560528263,0.0,0.0,0.0,0.0
x4534y1550,0.15939461260435067,0.0,0.1104770016499146,0.15190282416287712,0.07460824667495576,0.12261880886104423,0.040502966795429765,0.03602044892591699,0.09037164707965507,0.1739619943557843,0.0,0.04014144889007141
x5034y1550,0.30310782302154726,0.2481607891274517,0.34853514609631026,0.015998330608360364,0.0,0.0,0.0,0.0,0.08419791114633046,0.0,0.0,0.0
x5534y1550,0.12202030489764923,0.01840306509083816,0.02245587569378694,0.23479075853763787,0.10441317104653602,0.12415523333876344,0.0,0.02749877312981626,0.05209920472310299,0.11631668856057768,0.06865078228875772,0.10919614269253361
x6034y1550,0.023784132848165385,0.0,0.0,0.47517750021233485,0.03838213568446709,0.0,0.011164170006704967,0.0,0.18016938716183684,0.0,0.2713226740864909,0.0
x6534y1550,0.2799782104627038,0.02346691673597181,0.007587867375626209,0.6129508284330394,0.0,0.0,0.0,0.0,0.0,0.0,0.03413166801121388,0.041884508981444975
x7034y1550,0.0548240773826328,0.0,0.0,0.8269264197698137,0.0,0.0,0.0,0.0,0.0,0.0,0.1182495028475535,0.0
x7534y1550,0.6040580845266166,0.021096256856691784,0.0,0.3351955266810304,0.039650131935661095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.5862143175331946,0.334459640677189,0.0,0.016101022906709235,0.0,0.0,0.0,0.0,0.06322501888290727,0.0,0.0,0.0
x8534y1550,0.016452355149263645,0.0,0.0,0.9253823060141558,0.0,0.0,0.0,0.0,0.05816533883658051,0.0,0.0,0.0
x9034y1550,0.4419394254539884,0.036916442675672706,0.005638614982301304,0.4548412373795951,0.0,0.0,0.0,0.036558965775948006,0.02410531373249436,0.0,0.0,0.0
x9534y1550,0.410670064355959,0.0,0.0,0.49158928325081974,0.04349568508641368,0.0,0.0,0.0,0.05424496730680757,0.0,0.0,0.0
x10034y1550,0.4856678768254646,0.0,0.0,0.48699696986332636,0.0,0.0,0.0,0.0,0.0,0.0,0.027335153311209108,0.0
