,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,2.5575721820820383e-10,0.0,0.0,0.0,0.0,0.0,0.009519630330822832,0.2863146647058852,0.0,0.0,0.7041657047075347
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9975642270816385,0.0,0.0,0.0,0.002435772918361408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9908125278061698,0.0,0.0,0.0,0.0,0.0,0.0,0.00918747219383018,0.0,0.0
x34y550,0.0,0.0,0.0,0.9979316578330317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020683421669682833
x534y550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.27390747820933997,0.0,0.0,0.0,0.07204564924855483,0.0,0.0,0.6226514129450047,0.0,0.0,0.03139545959710052,0.0
x6034y550,0.0,0.015813135647099012,0.9735086817486652,0.010678182604235796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,0.9954747302896945,0.0,0.0,0.004525269710305613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,2.5031610975733624e-10,0.0,0.9999999997496839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,3.091217358640676e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.4679468131079626,0.5320531865829157
x10034y550,0.24482249770504982,0.0,0.17279503195678123,0.5823824698341238,0.0,0.0,5.040450926756435e-10,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.026907713050113382,0.0,0.0,0.0,0.0,0.5821081255825757,0.39098416136731096,0.0
x2034y1050,0.9961103717953003,0.0,0.0,0.0038896282046997277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.6405686712434276,0.287613890613501,0.0,0.0,0.0,0.0,0.07181743814307145,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0022825976207325577,0.023685315683175258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7453143711097464,0.22871771558634585
x5034y1050,0.09187397312356876,0.0,0.0,0.0,0.0,0.9081260265909106,0.0,0.0,0.0,0.0,2.8552066964674693e-10,0.0
x5534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.05670524492079384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9432947550792061,0.0
x7534y1050,0.04540708441693896,0.0,0.0,0.0,0.02733498483424017,0.0,0.0,0.0,0.0,0.0,0.0,0.9272579307488209
x8034y1050,0.012103190966438986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33885649239539706,0.0,0.6490403166381639,0.0
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.21681327128546127,0.0,0.0,0.0,0.0,0.7831867287145388,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9999999997476285,0.0,0.0,0.0,0.0,0.0,2.52371427188145e-10
x10034y1050,0.5421887535305712,0.0,0.4578112464694289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
