,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.058961729994757,0.0015680236414162948,0.0,0.016905958606932486,0.0,0.0,0.002918451382230522,0.04427917583538038,0.047108846885292266,0.1702613684017372,0.6579964452522538
x534y50,0.9999999998224228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77577110629914e-10,0.0,0.0
x1034y50,0.9948282141193275,0.0,0.0,0.0,0.0,0.0,0.0028037985246035873,0.0,0.0,0.0023679873560689306,0.0,0.0
x1534y50,0.9943627904112274,0.0,0.0,0.002120297047744743,0.00351691233697805,0.0,0.0,0.0,0.0,2.0404972658254191e-10,0.0,0.0
x2034y50,0.9999999996534156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7329220622440218e-10,0.0,1.7329220622440218e-10
x3034y50,3.003585113793158e-10,0.0,0.9999999996996415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.9632579589339669,0.030667235244867735,0.006074805821165329,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856166686284416,0.0,0.0143833313715585,0.0,0.0
x2534y550,0.9988478751667912,0.0,0.0011521244665631514,0.0,0.0,0.0,0.0,0.0,1.8332275941849333e-10,0.0,0.0,1.8332275941849333e-10
x4534y550,0.974071240269582,0.0,0.0,0.0,0.0,0.0,0.009236759801987992,0.0,0.0,0.016691999928430012,0.0,0.0
x5534y550,0.1859492848349385,0.026908284948591463,0.0,0.0,0.0,0.0,0.0,0.78714243021647,0.0,0.0,0.0,0.0
x6034y550,0.0,0.007300778870037472,0.9895349276522055,0.003164293477756978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,0.9999999997931214,0.0,0.0,0.0,0.0,0.0,2.0687855895567477e-10,0.0,0.0
x8034y550,0.0,0.9984498302835444,0.0,0.0,2.2597983800167548e-10,0.0,0.0015501694904757237,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.009527832885334916,0.9904721671146652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.3518146956029204,0.0,0.6481853043970796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.0,0.02918259581673206,0.0,0.20515240453201625,0.0,0.12206442992140826,0.0,0.6436005697298435
x10034y550,0.49189392746732596,0.0,0.23764156484909427,0.26531037145118824,0.0,0.0,0.0,0.0,0.0,0.0051541362323915055,0.0,0.0
x34y1050,0.0,0.008523878791706132,0.0,0.0,0.0,0.9914761212082938,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.9841243361834058,0.0,0.0,0.0,0.0,0.0,0.0,1.6177281704972164e-10,0.0,0.015875663654821286,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17785492489329974,0.0,0.09041277637820802,0.504267192254693,0.22746510647379928
x2034y1050,0.9474613885556993,0.0,0.0,0.031512037750964166,0.002062819028182808,0.0,0.0,0.0,0.01496442829254906,0.0,0.0,0.003999326372604726
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.4675505101772856,0.5307444715225539,0.0,0.0,0.0,0.0,0.0017050183001605403,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.2515416707188709,0.1943287910381894,0.0,0.0,0.0,0.23438902908865722,0.0,1.55097941644042e-10,0.0,0.0,0.3197405089991844
