,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2800805395828977,0.7199194604171022
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9756346021785222,0.0031090270584770577,0.0,0.0,0.00684756442187256,0.0,0.008253339379729732,0.0,0.0,0.0,0.006155466961398447,0.0
x1534y50,0.9900618826119727,0.0,0.0,0.0,0.0,0.0,0.0,0.009938117237533748,0.0,1.5049357397541366e-10,0.0,0.0
x2034y50,0.9999999998600211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3997895736031706e-10
x3034y50,2.1891359894832842e-10,0.0,0.9999999995621728,0.0,0.0,0.0,2.1891359894832842e-10,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.006597618151620276,0.0,0.0,0.0,0.010361524254753876,0.0,0.9830408575936258,0.0,0.0,0.0,0.0
x2534y550,0.9999999998608998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3910014897133252e-10
x4534y550,0.9630798116974537,0.014322585538762762,0.0,0.0,0.0,0.0,0.002216312753109947,0.0,0.0,0.02038129001067357,0.0,0.0
x5534y550,0.03220331650656308,0.0,0.0,0.0,0.0,0.0,0.0,0.967796683493437,0.0,0.0,0.0,0.0
x6034y550,0.0,2.04658807599594e-10,0.9999999997953412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.017638519944103304,0.0,0.0,0.9636813032806794,0.0,0.0,0.0,0.0,0.0,0.018680176775217255,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.9999999997635991,0.0,0.0,2.364008567785899e-10,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.060559339843423265,0.0,0.9394406601565768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.056751587022356734,0.0,0.0,0.0,0.0,0.0,0.2916096183264677,0.6516387946511757
x10034y550,0.7659166690569004,0.0,0.12965018284793156,0.05889003395203913,0.0,0.0,0.007158889207494226,0.0,0.021526480756010862,0.016857744179623834,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9678182311399207,0.0,0.0,0.01522263278775973,0.016959136072319574,0.0,0.0
x1034y1050,0.9815126086252345,0.0,0.0,0.0,0.0,0.0,0.0,0.018487391374765554,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.035664052063250976,0.0,0.004189415010078128,0.0,0.2319390444820177,0.7282074884446531,0.0
x2034y1050,0.980380898840428,0.004048054294217506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015571046865354566
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.6800057827376136,0.3028822145157741,0.0,0.0,0.0,0.0,0.0171120027466123,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.030214043352291057,0.0,0.0,0.0,0.0,0.002092832494205086,0.0,0.0,0.0,0.2793186875819248,0.688374436571579
x5034y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.9730561968726888,0.0,0.0,0.0,0.02694380312731109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.004946097817996302,0.0,0.021672323457680106,0.015515453338836301,0.0,0.0,0.0,0.13575110288119463,0.0,0.8221150225042927
x7534y1050,0.15027977225834283,0.0,0.0,0.0,0.0701758418961901,0.018956088463693413,0.0,0.031131778030965302,0.0,0.0,0.0,0.7294565193508084
x8034y1050,0.0,0.0,0.0,0.0,0.0,0.0668923874124591,0.0,0.0,0.0,0.0,0.9331076125875408,0.0
x8534y1050,0.04244627816819371,0.0,0.0,0.9321965129069825,0.0,0.0,0.0,0.025357208924823776,0.0,0.0,0.0,0.0
x9034y1050,0.13081432954564431,0.0,0.0,0.0,0.0,0.8691856704543557,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.1738264105751911,0.8261735894248089,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.641352663432002,0.0,0.358647336567998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.8887337397751351,0.0,0.0,0.0057853008171955,0.0,0.04024359568623585,0.0,0.06523736372143352,0.0
x34y1550,0.0,0.0018626730036519457,0.0,0.006152157374316737,0.0,0.0,0.0,0.0,0.0,0.0,0.44887047947494285,0.5431146901470884
x534y1550,0.8751551647662157,0.0,0.0,0.014519021129274255,0.09302909583700665,0.0,0.0,0.017296718267503446,0.0,0.0,0.0,0.0
x1034y1550,0.8276605847271066,0.0,0.0,0.12923394321353257,0.0,0.0,0.0,0.0,0.043105472059360835,0.0,0.0,0.0
