,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,2.0375341787336546e-10,0.0,0.0,0.0,0.0407405371301144,0.0,0.009025325658606573,0.02120289626767124,0.0,0.0,0.5653451033435721,0.3636861373962823
x534y50,0.9076588171132458,0.08348986027125326,0.0,0.0,0.0,0.008851322615500895,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9813123579684152,0.0,0.0,0.0,0.0,0.0,0.0013817324415604639,0.004881404134554933,0.01242450545546934,0.0,0.0,0.0
x1534y50,0.9866673272988288,0.0,0.0,0.0,0.0,0.0,0.0,0.013332672361747728,0.0,3.394235235647765e-10,0.0,0.0
x2034y50,0.9938027726515761,0.0,0.0,0.0,0.0,0.0,0.0,0.003891824806247096,0.0,0.0,0.0,0.0023054025421767772
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.9872841052360007,0.010527120340153283,0.0,0.0,0.0,0.0021887744238459498,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9166065856699921,0.0,0.08339341407061591,2.5939197704400106e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9283104924252101,0.0,0.0716895075747898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.2229462442681466,0.0,0.0,0.0,0.023634644531267443,0.0,0.0025996377425448543,0.7326468945473418,0.007660366006363497,0.010512212904335624,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.010516765780487975,0.0,0.989483234219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.32798582059942255,0.0,0.6680355597132807,0.0,0.0,0.003978619687296883,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.011972517173184627,0.0,0.004467417070165898,0.17216040737441277,0.0,0.11688602448841569,0.0,0.0,0.6945136338938209,0.0
x10034y550,0.34109583646770675,0.0,0.2818543653448772,0.3770497981874161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9999999998311152,0.0,0.0,1.6888478583367523e-10,0.0,0.0,0.0
x1034y1050,0.8855011143120504,0.0,0.11449888568794966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,2.409916083389774e-10,0.03749646698499072,0.0057391174462876554,0.010372797740694837,0.10005524773202149,0.12763531118705948,0.43098524248787773,0.28771581618007636
x2034y1050,0.8535033998283215,0.0,0.11604330617145157,0.0,0.030453294000226994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.43605217311754324,0.5059768411288931,0.0,0.0,0.0,0.0,0.05797098575356366,0.0,0.0,0.0,0.0,0.0
