,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,2.0382643931463102e-10,0.0,0.0,0.0,0.04035073591057279,0.0,0.00902871673531126,0.021187202098690353,0.0,0.0,0.5656716114323476,0.36376173361925157
x534y50,0.9078760285984162,0.0833024967904288,0.0,0.0,0.0,0.008821474611154992,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9813017159924132,0.0,0.0,0.0,0.0,0.0,0.0013824430081885836,0.004886871781172742,0.012428969218225498,0.0,0.0,0.0
x1534y50,0.9866977107739016,0.0,0.0,0.0,0.0,0.0,0.0,0.013302288886665816,0.0,3.394326339275724e-10,0.0,0.0
x2034y50,0.9937969080358683,0.0,0.0,0.0,0.0,0.0,0.0,0.003894138306464832,0.0,0.0,0.0,0.0023089536576668323
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.987725034510042,0.01010523923805985,0.0,0.0,0.0,0.002169726251897985,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9165440073351926,0.0,0.08345599240538036,2.59426998563611e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9283828368351333,0.0,0.07161716316486666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.22203154526009047,0.0,0.0,0.0,0.022915011056875417,0.0,0.002596361727330084,0.7343647743475503,0.007619393232808522,0.010472914375345317,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.01046722065995484,0.0,0.9895327793400451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.32444848539287896,0.0,0.675551514607121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.011960288739070905,0.0,0.0,0.16888928418354243,0.0,0.11827655542305929,0.0,0.0,0.7008738716543274,0.0
x10034y550,0.34098108023729634,0.0,0.2814944780446782,0.37752444171802546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9999999998311152,0.0,0.0,1.6888478583367523e-10,0.0,0.0,0.0
x1034y1050,0.8856462349187315,0.0,0.11435376508126861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,2.410044330392329e-10,0.037484079690516946,0.005734767000399109,0.010358832706830523,0.10004072670391759,0.12763346087862495,0.4310258846326604,0.287722248146046
x2034y1050,0.8539362601775861,0.0,0.11575017505811684,0.0,0.03031356476429714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.4360233357781745,0.5063447477801936,0.0,0.0,0.0,0.0,0.057631916441632014,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.22110522936723803,0.16246554443494932,0.0,0.0,0.0,0.27374618082087276,0.0,0.0,0.0,0.34268304537693983,0.0
x5034y1050,0.17459198632029943,0.0,0.0,0.0,0.0,0.768040855045283,0.057367158634417575,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.9636691072806216,0.0,0.011461444030892077,0.0,0.02486944868848635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.02811199199860453,0.44646419957050065,0.0,0.0,0.0,0.023362851693563863,0.024161064511023397,0.0,0.0,0.3972682085944783,0.0806316836318294
x7534y1050,0.1744419487092488,0.0,0.0,0.0,0.05473417708983749,0.0,0.0,0.0,0.0,0.0,0.0,0.7708238742009137
x8034y1050,0.31034545967749116,0.0,0.10165248322477212,0.0,0.0,0.0,0.10692099535386682,0.017290371213352942,0.0,0.16678815451894222,0.2970025360115748,0.0
x8534y1050,0.0,0.0,0.0,0.8635909310599538,0.11110368286568416,0.0,0.008225018524687901,0.005897920362201998,0.0,0.0,0.0,0.011182447187472145
x9034y1050,0.30813439998263553,0.024077010150914457,0.06369118027487508,0.0,0.0,0.5266291448734952,0.07746826471807973,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9873535960279662,0.0,0.007995767202534157,0.00465063676949964,0.0,0.0,0.0
x10034y1050,0.3988363745536329,0.0,0.6011636254463671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0960756466902459,0.0,0.9039243533097541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.027787660730558685,0.0,0.3486938839607905,0.05247823132508898,0.0,0.0,0.044567293603261254,0.0,0.0,0.5264729303803005,0.0
x534y1550,0.42544786216894515,0.05806440160594609,0.0,0.4993855212580577,0.0,0.0,0.0,0.017102214967051103,0.0,0.0,0.0,0.0
x1034y1550,0.45412888925941786,0.0,0.0,0.545871110740582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.4479990998399616,0.0,0.5520009001600384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.08636508506870506,0.27578787971134916,0.10642879865339887,0.050937752591045216,0.0,0.3867606138295008,0.06398228722839476,0.029737582917606066,0.0,0.0,0.0,0.0
x5034y1550,0.25969332344185175,0.2302320744714558,0.44426100376313205,0.0,0.03039520525649187,0.0,0.03541839306706845,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.01909176732530341,0.15834351458995166,0.0,0.1782739158278322,0.0,0.6442908022569126,0.0,0.0,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.023077336094795103,0.0,0.4300006610638727,0.0,0.0,0.06965462998414744,0.0,0.0,0.0,0.4772673728571847,0.0
x6534y1550,0.32045742470810545,0.0,0.011335127598582833,0.6573794174554166,0.010828030237895173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.015809962188767856,0.0,0.9747162316861249,0.0,0.0,0.0,0.009473806125107221,0.0,0.0,0.0,0.0
x7534y1550,0.49453785435658504,0.0,0.0541213260728962,0.43729427993981945,0.01404653963069933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.4249132961799418,0.559061482940924,0.0,0.0,0.0,0.0,0.0,0.01602522087913432,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.013231618213789157,0.0,0.949656506517186,0.03711187526902475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.42990969608425833,0.0,0.08109514507962136,0.4889951588361202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1550,0.47475421228950476,0.0,0.0,0.5121826144255405,0.0,2.9454107783797446e-10,0.0,0.0,0.0,0.013063172990413735,0.0,0.0
x10034y1550,0.45370268386369833,0.0,0.0,0.5438177603924509,0.0,0.0,0.0,0.0024795557438507935,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.0,0.9848945761456719,0.0,0.008136936095339553,0.006968487485934263,0.0,2.7305418400933493e-10,0.0,0.0,0.0
x34y2050,0.42164716931415036,0.0,0.0,0.5783528306858495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y2050,0.0,0.007029491992897041,0.0,0.992970508007103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y2050,0.20986263892406382,0.04920725563333355,0.10593462897476161,0.1899546930489173,0.04584779717914194,0.3191780696238854,0.009578721969036905,0.07043619464685966,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0,0.2327238637283344,0.14485113968899957,0.19736129461769558,0.0,0.4250637019649704,0.0,0.0,0.0,0.0
x5034y2050,0.20572647803545902,0.0,0.01485743530300997,0.7794160866615311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6034y2050,0.28650139931118906,0.02292344990870355,0.0,0.6905751507801074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6534y2050,0.050485272537309514,0.0,0.0,0.9495147274626905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y2050,0.0,0.0,0.0,0.9879088960392658,0.0,0.0,0.0,0.01209110396073416,0.0,0.0,0.0,0.0
x7534y2050,0.0,0.07246077623454425,0.0,0.9275392237654557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y2050,0.0,0.4319898505352571,0.0,0.5680101494647428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y2050,0.3812095247430358,0.06723963871163764,0.0,0.5308976734581009,0.0,0.00895589107897123,0.0,0.01169727200825444,0.0,0.0,0.0,0.0
x9034y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y2050,0.0,0.0,0.0,0.9585131599230047,0.041486840076995275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y2050,0.0,0.1115822446654554,0.0,0.7930038130407356,0.0,0.0954139422938089,0.0,0.0,0.0,0.0,0.0,0.0
x10534y2050,0.0,0.016593714575362756,0.0,0.9834062854246373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y2550,0.0,0.047024875845923506,0.0,0.9529751241540765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
