,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14579844194264624,0.8542015580573536
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,0.9941778934899222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058221065100777245
x1534y50,0.9999999993243979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37801035349226e-10,3.37801035349226e-10,0.0
x2034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,2.1987832166286124e-10,0.0,0.0,0.9999999997801217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.11308635788397353,0.0,0.0,0.0,0.0,0.0,0.0,0.8869136421160265,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,0.9999999998298424,0.0,0.0,0.0,0.0,0.0,1.7015758553814608e-10,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,2.704288540607881e-10,0.16274333269113597,0.0,0.8372566670384352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8523504836823692,0.14764951631763076
x10034y550,0.471085209861434,0.0,0.2165854094029809,0.31232938073558514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9870550138927856,0.0,0.0,0.0,0.0,0.0,0.012944986107214491
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327234160978738,0.2672765839021261
x2034y1050,0.9984643539522099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015356460477901175,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.8030736770485756,0.10401558868367881,0.0,0.0,0.0,0.0,0.09291073426774563,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.11153263664223116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8884673633577688,0.0
x5034y1050,0.20365613672445848,0.0,0.0,0.0,0.20046645418047487,0.5958774090950667,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.14656281992193715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.765852498252614,0.08758468182544897
x7534y1050,0.10141721424970948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8985827857502905
x8034y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3465978356018919,0.6534021643981082,0.0
x8534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.5995497823919618,0.0,0.0,0.0,0.13633446869012678,0.2641157489179114,0.0,0.0,0.0,0.0,0.0,0.0
x9534y1050,2.378231404851868e-10,0.0,0.0,0.0,0.0,0.9999999997621768,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.6124725247247678,0.0,0.3875274752752323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.0,0.042874481720871944,0.0,0.0,0.0,0.0,0.0,0.0,0.9571255182791282,0.0
x534y1550,0.10639820451403956,0.01012119694690597,0.0,0.8585561553042709,0.024924443234783645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.4587311365032387,0.0,0.0,0.5412688634967614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.26539930320190996,0.0,0.73460069679809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.01155874992197601,0.0,0.0,0.0,0.0,0.31626087816661336,0.0,0.0,0.1899123619698244,0.48226800994158625,0.0,0.0
x5034y1550,0.44178681978411,0.0,0.5496285788986209,0.0,0.0,0.0,0.008584601317269047,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.0,0.0,0.0,0.0,0.0,0.4028445952875782,0.0,0.0,0.0,0.0,0.5971554047124217,0.0
x6034y1550,0.0,0.0,0.0,0.03315813789206501,0.0,0.0,0.0,0.0,0.0,0.27927792555038417,0.5159399551573346,0.17162398140021623
x6534y1550,0.3918177314991194,0.0,0.0,0.43235787831181643,0.020859435238921843,0.0,0.0,0.0,0.15496495495014231,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.8323009776538628,0.0,0.0,0.16769902234613726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.93981238218487,0.06018761781513005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.7366427977669588,0.0,0.0,0.2531496912730581,0.0,0.0,0.0,0.0,0.0,0.01020751095998312,0.0,0.0
x9534y1550,0.8216066871732334,0.0,0.0,0.1540401979688589,0.0,0.0,0.0,0.0,0.0,0.0,0.024353114857907615,0.0
x10034y1550,0.3509986145786804,0.0,0.0,0.6490013854213196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
