,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.0,0.030286276878549255,0.0,0.0,0.02080318748030654,0.0,0.0,0.0,0.0,0.04265923008780379,0.0,0.9062513055533404
x534y50,0.990883537997942,0.0,0.0,0.0022143626283601062,0.0029890873385440206,0.0,0.0,0.0,0.0,0.003913012035153849,0.0,0.0
x1034y50,0.9628058048078215,0.0,0.0,0.0,0.0,0.0,0.01176955562633615,0.0,0.02542463956584237,0.0,0.0,0.0
x1534y50,0.9835406622546222,0.0,0.001413516833075437,0.0,0.0,0.0,0.0,0.00424836720153555,0.0,0.010797453710766756,0.0,0.0
x2034y50,0.9633277213104274,0.004001728035491679,0.0,1.5399572269795482e-10,0.01859101622810438,0.0,0.0026606896007189958,0.0,0.0,0.0,0.0,0.011418844671261915
x3034y50,0.0,0.0,0.9999999997863367,2.1366330564579097e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.011066316091132188,0.0,0.0,0.969353849527072,0.0,0.0,0.0,0.0,0.0,0.01957983438179575,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.9956852421244943,0.0,0.004314757875505675,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.9390801795206388,0.0,0.0,0.0,0.0,0.0,0.01319132556582906,0.0,0.04772849491353208,0.0,0.0,0.0
x4534y550,0.9894850091518689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010514990848131171,0.0,0.0,0.0
x5534y550,0.2509000854837092,0.0,0.0,0.0,0.0,0.0,0.0,0.7490999145162908,0.0,0.0,0.0,0.0
x6034y550,0.0,0.003809434151188013,0.9781854604121696,0.0,0.0,0.0,0.018005105436642514,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,0.9999999998192352,1.8076484080142894e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.2811413618833965,0.0,0.7039495963711463,0.011740751920620376,0.0031682898248368814,0.0,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30429002122582016,0.18942893188273746,0.5062810468914423
x10034y550,0.25459234642560885,0.0,0.34393355618224475,0.4014740973921464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614569437255997,0.0,0.6385430562744003
x2034y1050,0.9854844001586982,0.0,0.0,0.0,0.0,0.0,0.014515599841301892,0.0,0.0,0.0,0.0,0.0
x3034y1050,2.0644362118702862e-10,0.0,0.9999999997935564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.508110569699247,0.49188943030075305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.2575763985596195,0.2883196128953816,0.0,0.013249100358348708,0.0,0.0,0.0,0.0,0.2987279536993229,0.0,0.1421269344873273
x5034y1050,0.19001092104077294,0.0,0.0,0.0,0.0,0.8079582405744402,0.0020308383847868045,0.0,0.0,0.0,0.0,0.0
x5534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.3154328657559902,0.0,0.0,0.0,0.0,0.0,0.0,0.2684176538884114,0.15674379367522945,0.2594056866803689
x7534y1050,0.3980787201874652,0.03147663636244266,0.0,0.0,0.030583269718357523,0.0,0.0,0.0,0.0,0.0,0.0,0.5398613737317346
x8034y1050,0.3523871385047741,0.0,0.0,0.0,0.0,0.0,0.0,0.026517338836951246,0.0,0.07912409261850037,0.0,0.5419714300397743
x8534y1050,0.0,0.0,0.0,0.8471117057781655,0.030799949015094228,0.017498959732460028,0.06845990614335647,0.018862165184166023,0.0,0.0,0.017267314146757775,0.0
x9034y1050,0.3688278327561156,0.0,0.0,0.0,0.0,0.5545058299860911,0.0766663372577933,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,0.9214508567191111,0.0,0.07854914328088886,0.0,0.0,0.0,0.0
x10034y1050,0.5801544959238453,0.0,0.4198455040761547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y1050,0.0,0.0,0.0,0.9618902501125542,0.0,0.02763159991206842,0.01047814997537731,0.0,0.0,0.0,0.0,0.0
x34y1550,0.0,0.0,0.013662811634315531,0.21243072622671333,0.0,0.0,0.0,0.0,0.0,0.0,0.11628566063329057,0.6576208015056805
x534y1550,0.4326430483665325,0.0,0.022920311992646745,0.5444366396408207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.5794688535654405,0.0,0.0,0.42053114625830723,1.7625221399167105e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.4518668168377193,0.0,0.441434736355064,0.0,0.0,0.10669844680721666,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.1110791772557178,0.0,0.29021729240104804,0.10450807842780106,0.0,0.3557721682725041,0.01572336420608274,0.0,0.0,0.12269991943684634,0.0,0.0
x5034y1550,0.3752695120434512,0.29460669489826935,0.2455713843377897,0.0,0.0,0.0,0.08455240872048976,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.12974064932368892,0.0,0.0,0.08305197313760926,0.0,0.523366294068026,0.05420742018215087,0.20963366328852484,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.0,0.0,0.41905199895236833,0.011591339714918405,0.06437213154392499,0.057777683126355,0.0,0.09908052003344421,0.0,0.0,0.3481263266289891
x6534y1550,0.38062446233411457,0.0,0.0,0.6138448925173965,0.0,0.0,0.0,0.0,0.0055306451484890586,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.013402772664637696,0.9865972273353623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7534y1550,0.4959906149459003,0.0,0.030344995938660538,0.34575651593495244,0.0,0.0,0.12790787318048685,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.6166195511237262,0.36191836584018355,0.007126912959879055,0.0028178987913738793,0.0,0.0,0.011517271284837222,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0019663285216341793,0.9631269171765612,0.0,0.0,0.007662548036880247,0.0,0.0,0.0,0.027244206264924468,0.0
x9034y1550,0.5503978450917365,0.0,0.011195543675860292,0.43386708626684334,0.0,0.0,0.004539524965559786,0.0,0.0,0.0,0.0,0.0
