,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.011642988135757702,0.011073802120042872,0.005404976319919049,0.018745863652586195,0.043599837409521884,0.0,0.0,0.04278775514222762,0.0,0.13897902260152378,0.12886119134022522,0.5989045632781957
x534y50,0.7506410074293799,0.010452407402956445,0.003736662871731811,0.04250635677273401,0.06820121342013603,0.0,0.0132069428721621,0.017654457887545858,0.0,0.09360095134335389,0.0,0.0
x1034y50,0.7704699453217595,0.0,0.004080303618551608,0.023113819225765234,0.0,0.04541072459845894,0.012452554980528656,0.0,0.0673283057985294,0.0,0.0,0.07714434645640679
x1534y50,0.8355525351621251,0.0,0.009178654886513244,0.025147152511107586,0.0,0.0,0.007536178911219051,0.0,0.0414662478061516,0.0,0.0,0.0811192307228834
x2034y50,0.8030461615871187,0.0,0.004620264834130711,0.009262816366393567,0.06644602074886373,0.0,0.0075777255683197415,0.0,0.022266908021419847,0.033238845075858704,0.0,0.05354125779789498
x3034y50,0.034855802380110455,0.0,0.7882919476493108,0.018850377899047657,0.0,0.0,0.0,0.0,0.10065872284723484,0.05734314922429613,0.0,0.0
x34y550,0.10115719966052734,0.0,0.0,0.5574108260109969,0.06121851896438311,0.02320595142041998,0.0,0.033507720529740534,0.059172671189420205,0.0,0.0,0.16432711222451202
x534y550,0.02070808532560831,0.006178640467698802,0.012229231264949686,0.022605924000092953,0.6104153990324414,0.0,0.0027463652285109313,0.0513247872329102,0.04266977826707175,0.09944983016280044,0.055984776942548255,0.07568718207536748
x1534y550,0.007955932599028381,0.0,0.0062869803294889285,0.024777188218593878,0.08958415111576187,0.0,0.0,0.5877547360496733,0.0,0.16358880521534544,0.0,0.12005220647210807
x2534y550,0.7637466107307056,0.0,0.013846398673356252,0.022149440667227835,0.0,0.0,0.019164456828265116,0.0,0.06657974617817508,0.11451334692227023,0.0,0.0
x4534y550,0.8202847074828347,0.0,0.0,0.030091879655877715,0.0,0.0,0.0029462944457031826,0.0,0.040711278372723265,0.10596584004286107,0.0,0.0
x5534y550,0.23986984715756396,0.0,0.00486503825208698,0.023250484506319023,0.0,0.09554510467090283,0.0021090871647964447,0.35220367736062147,0.07402378951990454,0.1007536884238416,0.05019373226195764,0.057185550682005586
x6034y550,0.02555842731852098,0.020394879810344435,0.7002109584825978,0.04395611747427756,0.06521628039699215,0.0,0.0,0.0,0.06166135834475586,0.0349569210477391,0.0,0.04804505712477217
x7034y550,0.019220525931850505,0.010036315893400144,0.004021620495061469,0.6442492805166415,0.07461114000122018,0.10288660630635524,0.007139765230654804,0.0,0.1378347456248161,0.0,0.0,0.0
x8034y550,0.046236088825650154,0.8620681914208628,0.006722860236020636,0.016201535339312626,0.0,0.0,0.0,0.0,0.0,0.0687713241781536,0.0,0.0
x8534y550,0.006918851300535736,0.0,0.7534281241121589,0.0,0.1176704670098864,0.0,0.0,0.0,0.0,0.0,0.12198255757741908,0.0
x9034y550,0.030194321918720502,0.006017932084958779,0.11320682681224893,0.01017002608199875,0.5724910770334397,0.0,0.005336991595455643,0.0,0.0,0.13269546910658506,0.0,0.12988735536659268
x9534y550,0.019094266184339032,0.006671952304032817,0.004821921324396515,0.012815392623908513,0.0,0.0,0.003985778450279645,0.0,0.12389284510637096,0.1568965624413754,0.2650860437026161,0.40673523786268106
x10034y550,0.28932931606376466,0.03292784527083768,0.11482717612246135,0.25323983997180965,0.06282001004656924,0.0,0.0,0.0,0.0,0.11652465464288798,0.0,0.13033115788166952
x34y1050,0.0,0.0,0.006540423128608801,0.005865540363187587,0.14167977645435237,0.421631377060377,0.0,0.10297064339723831,0.08593057142615398,0.09088281197512836,0.0,0.14449885619495356
x1034y1050,0.8238693196929344,0.0,0.009236035226030212,0.017832800043376267,0.042884516127779215,0.0,0.007914794367273253,0.0,0.0,0.09826253454260675,0.0,0.0
x1534y1050,0.022717550527625353,0.0074816394210729985,0.0028648727108656694,0.012374164704984444,0.06733348254281944,0.0,0.0,0.0,0.08615395989923375,0.21181334399277774,0.2700371878829107,0.3192237983177099
x2034y1050,0.8078320179049499,0.0,0.004776756719298946,0.01694959262249018,0.0,0.0,0.007820384680099612,0.0,0.05214376641868544,0.0278720166841579,0.08260546497031802,0.0
x3034y1050,0.04173879478785801,0.028983798696099627,0.708898328056751,0.05699496727371332,0.03779067363679796,0.0,0.0,0.0,0.12559343754878013,0.0,0.0,0.0
x3534y1050,0.471459152808627,0.2562139720503524,0.019373609507109205,0.049434224649593336,0.0,0.0,0.00968997179896216,0.0,0.04563713154978672,0.05505833325111205,0.09313360438445704,0.0
x4534y1050,0.031187345568202622,0.09458475464667697,0.052420955942278184,0.02887240310222058,0.016984675246742253,0.03267404179940038,0.0095284014248635,0.01788890967767754,0.1545243421762133,0.11868605826692862,0.1712924319509737,0.27135568019782225
x5034y1050,0.20999546618144097,0.009169591861619203,0.01528726377912923,0.014159997147046046,0.0708844818640153,0.2886227141312905,0.0,0.09310368878918802,0.16203819378785242,0.13673860245841835,0.0,0.0
x5534y1050,0.7921522300609325,0.0,0.003169841500612277,0.048014381863952016,0.0,0.04029891064040825,0.0,0.0,0.033420374814926726,0.02489175469272164,0.0,0.05805250642644659
x7034y1050,0.01731836968119633,0.008291777696725492,0.10680409206774243,0.012177325221772109,0.0,0.04259615778804998,0.0,0.01684100685966991,0.11786411853330021,0.11059392150629738,0.2514585964531087,0.31605463419213753
x7534y1050,0.19489616751663696,0.008844579701862547,0.0029677072943567286,0.02220880616761016,0.07874250917518535,0.0,0.005208899577280268,0.0,0.11964178477949682,0.0,0.09490768482243331,0.4725818609651379
x8034y1050,0.17433322069159196,0.015222592480622858,0.0068363138619101805,0.025622706129696218,0.0,0.031177185584837508,0.003949930580786093,0.057566888825520315,0.10958811709870936,0.10386105236929423,0.12969703966967266,0.34214495270735856
x8534y1050,0.07411477012014137,0.012678131644067751,0.004713253772595057,0.49059430829470946,0.08912493513585337,0.06548283157630562,0.0,0.06682969491105153,0.0,0.06764649346818566,0.06804284052209887,0.06077274055499127
x9034y1050,0.23754233905317465,0.016509148292190013,0.00545550732864938,0.04031308713262344,0.09114198264658845,0.20787816467628153,0.007888788368025219,0.08825028755503345,0.057687617946551785,0.1301249122273867,0.0,0.11720816477349535
