,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.018674199775045135,0.0,0.021374681783379205,0.035002356687101055,0.05848798084879537,0.0,0.045651403333589594,0.059170892005959916,0.1572532631498005,0.13597215217826822,0.21743716688060788,0.2509759033574531
x534y50,0.7710481756246294,0.0,0.017017161872303867,0.041421581720497896,0.0,0.0,0.039235701251549016,0.0,0.09252543714422916,0.0,0.0,0.03875194238679069
x1034y50,0.7935635876455962,0.0,0.010408797331269176,0.04066411146993878,0.0,0.012102783367761572,0.04304776275213035,0.000715507009110541,0.0,0.0,0.0,0.09949745042419328
x1534y50,0.809845552872679,0.0,0.02586331476843458,0.034772975226472984,0.0,0.0,0.03449589939563031,0.0,0.0,0.0,0.09502225773678317,0.0
x2034y50,0.8121970973602186,0.0,0.0067430088656780405,0.0,0.0,0.0,0.03473554966526364,0.0,0.0,0.08260371512057153,0.0,0.06372062898826827
x3034y50,0.023722147561963922,0.0,0.879303130625023,0.0,0.0,0.0,0.0,0.0,0.045655653590936915,0.0,0.05131906822207621,0.0
x34y550,0.06452570623758204,0.0,0.0,0.7880307394862445,0.0,0.0,0.030594744947051788,0.048802581041465794,0.0,0.0,0.0,0.06804622828765591
x534y550,0.03393782211165306,0.01883032383082902,0.03356006562107581,0.0506746362379375,0.6009896837447884,0.0,0.013407270794752648,0.05402818268491403,0.1040866092671962,0.037833720118693945,0.0,0.052651685588159323
x1534y550,0.011378657882690995,0.0,0.017717089450969947,0.0434346395426287,0.08502883190735032,0.0,0.0,0.6319904084144984,0.0,0.08583951654138797,0.12461085626047375,0.0
x2534y550,0.7590927270017491,0.0,0.02720832469699527,0.05535988211707162,0.0,0.0,0.04739206692281014,0.0,0.0,0.051230566479263336,0.05971643278211066,0.0
x4534y550,0.8239560061587499,0.0,0.01497672873616968,0.011629127390128302,0.030810830347174155,0.0,0.014467536571254765,0.0,0.0605631172810247,0.0,0.0,0.04359665351549861
x5534y550,0.27228380207729785,0.0,0.007771000283145791,0.04507585752952936,0.11846645811527697,0.0,0.027950431557988615,0.32413678334735857,0.0907876376122857,0.05954869037946506,0.0,0.053979339097652075
x6034y550,0.01569866003260187,0.0,0.8859237710247446,0.02859367399039205,0.0,0.02203980634488956,0.0,0.0,0.0,0.0,0.02232982670516972,0.02541426190220223
x7034y550,0.016718021722783187,0.038699904372049176,0.0,0.8338793373611773,0.06795433928154901,0.0,0.0,0.0,0.0,0.0,0.0,0.04274839726244157
