,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
Dat1_Cell_00008,0.04271900392140642,0.014353857303749886,0.06983523170996478,0.015310183758191475,0.1077871436823372,0.046927626207404746,0.01556116695098269,0.0349940608776192,0.0,0.0,0.0,0.6525117255883436
Dat1_Cell_00009,0.05933568047867869,0.027873587636179323,0.02516833272393387,0.0,0.1752833136028189,0.0,0.02337807066023273,0.06736389412787078,0.19561555973118513,0.20725286595465797,0.21872869508444256,0.0
Dat1_Cell_00012,0.055437157794086554,0.0,0.04308563293976898,0.0,0.1489334980187864,0.0,0.0,0.020174080836193653,0.5316881521266736,0.09090414093227839,0.10977733735221248,0.0
Dat1_Cell_00014,0.05823663132042039,0.0,0.10799895602789622,0.013692487541554384,0.09214001570537152,0.0,0.025854213848699716,0.12235285351796994,0.16165449189840198,0.0,0.41807035013968585,0.0
Dat1_Cell_00015,0.029249907974071676,0.0,0.026925949349898365,0.01566245632372116,0.0,0.14083895326994209,0.0,0.16893453579264078,0.0,0.0,0.6183881972897259,0.0
Dat1_Cell_00016,0.023637285722759947,0.0,0.03549902685896187,0.008243324167802461,0.07969663652979642,0.0993271292038876,0.02869677948615267,0.08649228036781982,0.1750701686545308,0.0,0.08095679052922364,0.38238057847906476
Dat1_Cell_00019,0.0358433185162916,0.0,0.0893047213182405,0.006256406679334882,0.0325404504679627,0.09732401991671014,0.0,0.05317971444397493,0.1169996594035603,0.09521585979247588,0.0,0.4733358494614491
Dat1_Cell_00020,0.021884440384609412,0.012774946459514748,0.04479550311339141,0.019639983941660524,0.0,0.21319204675457196,0.028902254090938405,0.076779000025176,0.19098040816035117,0.0,0.3910514170697863,0.0
Dat1_Cell_00021,0.04668418680955392,0.0,0.0767104890114131,0.010718311991253159,0.0,0.26291708518110335,0.0,0.07197934899337806,0.1073391530380594,0.0,0.13228618421711016,0.2913652407581288
Dat1_Cell_00022,0.08970728456416033,0.021381492829540716,0.06735984492095207,0.12801372539584166,0.0,0.0,0.02803561772824664,0.1583535677677995,0.0,0.0,0.1628396913874387,0.34430877540602056
Dat1_Cell_00023,0.0,0.0,0.0,0.02459975090510602,0.11791231265660869,0.15233504059231917,0.02017853843929285,0.08193252519811127,0.18664715589145114,0.26660300433610873,0.14979167198100224,0.0
Dat1_Cell_00024,0.04040661173930842,0.0,0.0,0.0367094261340017,0.0,0.12149924398090645,0.014132768065618653,0.07670533918671368,0.36700922876111036,0.0,0.3435373821323407,0.0
Dat1_Cell_00025,0.04150585102426945,0.0,0.02869875178273011,0.0,0.0,0.1409652548744236,0.024355170577258865,0.03858270111381479,0.3305083762407699,0.3953838943867333,0.0,0.0
Dat1_Cell_00026,0.03918063643038146,0.0,0.029511255163749646,0.006097324946517002,0.05125708450725773,0.07375555588357087,0.02511101870415446,0.04965524553276694,0.34866582995781403,0.14998945224377247,0.12592347726431605,0.1008531193656993
Dat1_Cell_00027,0.02845710076549008,0.0,0.057265328570600155,0.005563789290511077,0.0,0.20611943764236887,0.023945005048645485,0.10163038396719919,0.0,0.27052901427533776,0.0,0.3064899404398474
