,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
Dat1_Cell_00008,0.047707793794779525,0.01487647978888445,0.08846014320041354,0.017890184955013103,0.08780155613825089,0.0,0.009706260238594371,0.02173081340454602,0.0,0.0,0.16234029570891045,0.5494864727706077
Dat1_Cell_00009,0.07291106416452482,0.04441507281039969,0.0,0.0,0.18246876369852222,0.0,0.01330470091268883,0.04326791490201416,0.1497203511071975,0.23170303656722796,0.22121969026330374,0.04098940557412105
Dat1_Cell_00012,0.07111140510509753,0.0,0.038719052145078814,0.0,0.12947399093798248,0.0,0.0,0.013531687040728109,0.4963976177148865,0.14311197988719604,0.10765426716903051,0.0
Dat1_Cell_00014,0.06344120744723826,0.0,0.15757796278555086,0.016323184710443535,0.06190811250450589,0.0,0.014418578845427634,0.07962645823807737,0.09519949020228786,0.0,0.42295367245103654,0.0885513328154321
Dat1_Cell_00015,0.029975693933808206,0.025494665058107102,0.022313556462010515,0.019512312925445887,0.157631145187827,0.0,0.0,0.0992255604723561,0.0,0.0,0.6458470659604452,0.0
Dat1_Cell_00016,0.026587849551094844,0.0,0.032132766941884945,0.008456205990795933,0.07184584526212813,0.08995273681354721,0.019282378479611513,0.0742051599767337,0.176278551179168,0.0,0.09031577635804172,0.41094272944699406
Dat1_Cell_00019,0.04061662507100552,0.0,0.10461074793050593,0.007283514440817616,0.026213543776701344,0.08636612597191871,0.0,0.030269321057184308,0.0,0.19505367233877915,0.0,0.5095864494130874
Dat1_Cell_00020,0.02347954442012815,0.01052598659558676,0.055781969056543354,0.021661679134796264,0.0,0.20461563666933225,0.023004764039250093,0.06722472465858507,0.20016808016439358,0.0,0.39353761526138437,0.0
Dat1_Cell_00021,0.04968671809465321,0.0,0.08530937843685213,0.012925706760403131,0.0,0.2794260747029506,0.0,0.04814892698755769,0.10250367700547278,0.0,0.1762236178701114,0.24577590014199907
Dat1_Cell_00022,0.09557971328018836,0.026774911810390413,0.11472706366705485,0.15353501626993465,0.0,0.0,0.023482055317667266,0.09933918280083905,0.0,0.0,0.1496023159798942,0.3369597408740312
Dat1_Cell_00023,0.0,0.0,0.0,0.026455983912554618,0.09465278178933854,0.16275536972534607,0.014776376104425682,0.055360464806119225,0.15170216541299408,0.2954856103015116,0.19881124794771016,0.0
Dat1_Cell_00024,0.039470427541671765,0.0,0.0,0.049534970453907715,0.0,0.06807111211238984,0.011159438007776636,0.05548313912832478,0.31118575727535686,0.0,0.46509515548057245,0.0
Dat1_Cell_00025,0.04839107389749539,0.0,0.02898353557909305,0.0,0.0,0.05898933494903581,0.018558855417360475,0.0,0.22007960737371737,0.48136668955263423,0.0,0.14363090323066366
Dat1_Cell_00026,0.03919303352244745,0.0,0.03390394877666528,0.008019585356637762,0.05515877181362451,0.04887561687228578,0.023383104649970964,0.035984783311027536,0.3130861344194293,0.20034354924906705,0.13651954602354535,0.10553192600529902
Dat1_Cell_00027,0.03217215982826444,0.0,0.038058960711629605,0.006759636717936011,0.0,0.1887699025393425,0.01914842244169426,0.08540207138352117,0.0,0.2933363598135405,0.0,0.3363524865640715
Dat1_Cell_00028,0.05337802306702474,0.0,0.036661090186195386,0.0,0.0,0.14448546341469448,0.029588526701820116,0.0,0.0,0.0,0.0971357337644741,0.6387511628657911
Dat1_Cell_00029,0.1377163986575733,0.062461522824261914,0.14669411394137158,0.0,0.0,0.030332373840130135,0.08390973236655874,0.12639340748241534,0.2979737988073913,0.0,0.11451865208029785,0.0
Dat1_Cell_00030,0.2528460586042854,0.020642697351248376,0.10955274463692559,0.2540723899671198,0.07738850793484703,0.0,0.0,0.013792979623897859,0.0,0.07085502510231181,0.13683180488371738,0.06401779189564663
Dat1_Cell_00032,0.28498514185220675,0.0,0.08763906693862332,0.08191985228937373,0.10183789606840417,0.18297532224128996,0.0,0.028483376489803734,0.0,0.2321593441202984,0.0,0.0
Dat1_Cell_00033,0.05153202564398428,0.0,0.04517009360467881,0.029330815441317853,0.05677821614391689,0.11725000758048425,0.04259203606206366,0.06106855034479268,0.0,0.0,0.14445560983727884,0.45182264534148264
Dat1_Cell_00034,0.04486109479809672,0.0,0.0,0.0,0.07604924155134107,0.0,0.0034185979774246636,0.06288213594672264,0.0,0.535498882428617,0.1703859146718421,0.10690413262595586
Dat1_Cell_00035,0.2158591459532957,0.10364495277702404,0.0,0.06254409558766853,0.0,0.07426064916669825,0.0,0.0,0.14532186426392965,0.26236175237141435,0.0,0.13600753987996944
Dat1_Cell_00036,0.05889210601391673,0.0,0.15865062889095086,0.02851143629563752,0.0,0.041579132864641995,0.0,0.05990625908271691,0.0751714440971212,0.0,0.22948265431068798,0.3478063384443267
Dat1_Cell_00037,0.024518780563430615,0.0,0.019560128874031975,0.029663504808112383,0.02497830801433474,0.08619027663421432,0.00786431798086881,0.03031241908270446,0.087760305729112,0.40799006612934235,0.19510063796549726,0.08606125421835106
Dat1_Cell_00039,0.042132660633324034,0.0,0.10361080562371906,0.0,0.0,0.1481662571679825,0.0,0.11287371671764564,0.36600216256141566,0.0,0.0,0.22721439729591317
Dat1_Cell_00040,0.17130007660717617,0.09701900604473628,0.04026294239546372,0.0,0.22350609474147376,0.0,0.005056637559965317,0.0,0.2875705108745949,0.10236794048781325,0.0,0.07291679128877669
Dat1_Cell_00041,0.012901686293400034,0.029360412139812723,0.2708782751677902,0.017738960543247414,0.0,0.26763155228522,0.0,0.11300670346628096,0.2884824101042488,0.0,0.0,0.0
Dat1_Cell_00042,0.07691004322127902,0.0,0.0,0.0,0.05134904674351876,0.12172322313565304,0.020088582534643632,0.04527473151045906,0.16836878202260652,0.0,0.51628559083184,0.0
Dat1_Cell_00043,0.062089286607911284,0.0,0.072025699458304,0.0060499301929673776,0.0,0.0,0.010603272783776341,0.1028028414540521,0.3035691828647151,0.0,0.44285978663827374,0.0
Dat1_Cell_00044,0.1550399743440733,0.0,0.39195090812571687,0.018430920701297007,0.13839946157259878,0.06346248972234107,0.0,0.14994595073554887,0.04244405165743344,0.04032624314099092,0.0,0.0
Dat1_Cell_00046,0.08400083555622616,0.0,0.04989897803738543,0.0,0.06528657391412947,0.0,0.02113894974933462,0.0,0.3295447613656576,0.16612557093735048,0.2840043304399163,0.0
Dat1_Cell_00047,0.3574244543593675,0.03224039423779651,0.11806906146984585,0.05556525615249398,0.10726617590744116,0.0,0.0,0.040646745137409866,0.0,0.0,0.0,0.28878791273564514
Dat1_Cell_00048,0.1055291295419549,0.0,0.05629532938208854,0.0,0.045518929747075956,0.0,0.006917667731943318,0.027898208872311054,0.0,0.17020802554732078,0.38129128926893524,0.2063414199083704
