,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
Dat1_Cell_00008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dat1_Cell_00009,0.0,0.0,0.0,0.004270000723750753,0.0,0.022128789409164053,0.0,0.09498559716149879,0.0,0.6365869577580888,0.2420286549474974,0.0
Dat1_Cell_00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dat1_Cell_00014,0.0,0.0,0.0,0.01738150104486902,0.0,0.12598874119668646,0.10753720856954774,0.6386998129673329,0.11039273622156373,0.0,0.0,0.0
Dat1_Cell_00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dat1_Cell_00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dat1_Cell_00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dat1_Cell_00020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Dat1_Cell_00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dat1_Cell_00022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dat1_Cell_00023,0.0,0.0,0.0,0.0,0.11011648165943667,0.0,0.22159445998795624,0.0,0.10546590443342688,0.5628231539191803,0.0,0.0
Dat1_Cell_00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dat1_Cell_00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dat1_Cell_00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Dat1_Cell_00027,0.0,0.03357614745385578,0.04514929657580629,0.0,0.1417696632747706,0.0,0.02536333012099032,0.09226912380231171,0.6618724387722653,0.0,0.0,0.0
Dat1_Cell_00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Dat1_Cell_00029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dat1_Cell_00030,0.37158234223566816,0.0,0.0,0.5554441375193088,0.023324554044309196,0.0,0.0,0.04964896620071378,0.0,0.0,0.0,0.0
Dat1_Cell_00032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dat1_Cell_00033,0.0,0.0,0.0,0.17721707942176188,0.0,0.16326751056920277,0.01656246320899059,0.06768739316353185,0.0,0.0,0.168022482569754,0.40724307106675905
