,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
10x10,0,0,0.090517881,0.888217243,0,0,0,0.021264876,0
10x11,0,0.024546929,0.031471825,0,0,0,0,0.943981246,0
10x12,0.136314707,0,0,0.027054316,0,0,0,0.836630977,0
10x13,0.297613296,0,0.222397468,0,0,0,0,0.479989235,0
10x14,0,0,0.046650837,0,0,0,0.29020013,0.663149032,0
10x15,0,0.228176621,0.13001964,0.275264359,0,0,0,0.36653938,0
10x16,0,0.02800188,0.967477087,0,0,0,0,0,0.004521033
10x17,0,0,1,0,0,0,0,0,0
10x18,0,0.043539024,0.710805405,0.162544414,0,0,0,0,0.083111157
10x19,0,0.236403015,0,0.324501532,0.439095453,0,0,0,0
10x20,0,0,0,0,0.643247068,0,0,0.356752932,0
10x21,0.589660788,0,0,0,0,0,0,0.410339212,0
10x22,0,0,0.023988972,0,0.33536962,0,0,0.365712897,0.274928511
10x23,0,0,0.041289827,0,0.18723321,0,0,0.426233848,0.345243115
10x24,0,0,0.956906981,0,0,0,0,0,0.043093019
10x25,0,0.069849838,0.630813965,0.083320069,0,0.028044204,0,0,0.187971924
10x26,0.090635484,0.0188565,0.886135265,0,0.004372751,0,0,0,0
10x27,0,0,0.611639191,0.345808337,0,0.023990603,0,0,0.01856187
10x28,0,0,0.974068311,0,0,0,0,0,0.025931689
10x29,0,0,0.759982352,0,0,0,0,0.100318083,0.139699565
10x30,0,0.021713784,0.873910285,0.059807144,0,0,0,0,0.044568787
10x31,0,0.347641361,0.359316136,0,0,0,0,0.293042504,0
10x32,0.292230621,0.026380847,0,0,0.380256582,0,0,0,0.30113195
10x33,0,0,0.356331669,0,0,0,0.643668331,0,0
11x10,0,0,0.027032264,0.244887015,0,0,0,0.557219592,0.170861129
11x12,0,0,0.018966912,0.071323016,0,0,0,0.810152772,0.099557299
11x13,0,0,0,0.251073117,0,0,0,0.748926883,0
11x14,0,0,0,0,0.092866133,0.199208745,0,0.707925122,0
11x15,0,0,0.245804954,0.368745651,0,0.154471821,0,0,0.230977573
11x16,0,0.310380132,0.292170176,0.387495762,0,0,0,0.009953929,0
11x17,0,0.105531402,0.894468598,0,0,0,0,0,0
11x18,0,0.274076893,0.649972196,0,0,0,0.075950911,0,0
11x19,0.059526953,0.098057731,0.651494964,0.190920352,0,0,0,0,3.64423E-10
11x20,0.247509206,0.167352013,0,0,0.58513878,0,0,0,0
11x21,0,0.206569526,0,0,0.505752455,0,0,0.287678019,0
11x22,0.21825693,0,0,0,0.19779158,0,0,0.583951489,0
11x23,0,0,0,0.405507346,0,0,0,0.46602744,0.128465214
11x24,0,0,0.504027742,0.495972258,0,0,0,0,0
11x25,0,0.02333964,0.777287137,0,0,0,0,0,0.199373223
11x26,0,0,1,0,0,0,0,0,0
11x27,0,0,0.419090372,0.049089955,0,0.232496007,0,0,0.299323666
11x28,0,0,0.662742022,0,0,0,0.293855426,0.043402552,0
11x29,0,0,0.973236759,0,0,0,0,0,0.026763241
11x30,0,0,1,0,0,0,0,0,0
11x31,0,0.005494908,0.8687272,0.125777892,0,0,0,0,0
