"","x","y"
"16.918x16.996",17,17
"18.017x17.034",18,17
"20.075x17.059",20,17
"18.979x17.065",19,17
"21.937x16.967",22,17
"20.899x17.015",21,17
"24.121x17.055",24,17
"23.122x17.085",23,17
"25.068x16.996",25,17
"26.035x16.991",26,17
"26.987x16.997",27,17
"27.948x16.969",28,17
"9.868x17.084",10,17
"9.004x17.028",9,17
"12.074x17.04",12,17
"10.908x16.974",11,17
"13.045x17.149",13,17
"14.014x17.063",14,17
"15.011x17.051",15,17
"16.003x17.048",16,17
"15.076x19.996",15,20
"15.063x19.016",15,19
"15.019x18.024",15,18
"15.932x18.0",16,18
"15.893x20.047",16,20
"15.936x19.021",16,19
"12.973x18.014",13,18
"14.07x18.032",14,18
"13.059x20.044",13,20
"14.013x19.054",14,19
"14.004x20.024",14,20
"13.061x19.072",13,19
"13.969x21.05",14,21
"14.069x21.943",14,22
"13.058x22.014",13,22
"13.014x20.919",13,21
"15.89x21.016",16,21
"15.084x21.071",15,21
"15.051x21.998",15,22
"15.996x22.102",16,22
"12.08x19.06",12,19
"12.121x18.058",12,18
"12.092x20.032",12,20
"10.896x18.992",11,19
"10.877x17.97",11,18
"10.868x20.032",11,20
"9.959x20.044",10,20
"9.918x18.981",10,19
"9.023x19.044",9,19
"9.018x20.048",9,20
"9.899x17.997",10,18
"9.049x18.018",9,18
"9.068x20.979",9,21
"9.906x20.97",10,21
"9.966x21.951",10,22
"9.059x22.014",9,22
"12.131x21.968",12,22
"12.073x21.045",12,21
"10.868x20.971",11,21
"10.903x21.945",11,22
"10.899x23.91",11,24
"12.153x24.01",12,24
"12.115x22.986",12,23
"10.857x22.897",11,23
"9.03x23.949",9,24
"9.056x22.94",9,23
"9.966x23.953",10,24
"9.999x22.935",10,23
"9.074x24.935",9,25
"9.951x24.909",10,25
"12.123x25.002",12,25
"10.86x24.947",11,25
"15.949x22.955",16,23
"15.98x23.961",16,24
"15.009x22.966",15,23
"15.073x23.973",15,24
"13.048x23.951",13,24
"13.067x22.915",13,23
"14.05x23.965",14,24
"14.048x22.95",14,23
"13.111x24.919",13,25
"14.085x24.905",14,25
"15.033x24.886",15,25
"15.953x24.959",16,25
"29.058x18.046",29,18
"29.077x18.972",29,19
"29.042x20.088",29,20
"28.971x20.971",29,21
"28.989x21.969",29,22
"27.011x20.052",27,20
"26.98x18.983",27,19
"26.993x17.966",27,18
"27.979x17.991",28,18
"28.011x18.987",28,19
"27.995x20.017",28,20
"25.06x19.024",25,19
"25.062x20.007",25,20
"26.027x20.023",26,20
"26.064x17.981",26,18
"25.044x18.022",25,18
"26.071x18.994",26,19
"26.111x21.979",26,22
"25.055x21.994",25,22
"26.076x20.965",26,21
"25.04x21.01",25,21
"27.937x20.97",28,21
"27.038x20.951",27,21
"26.991x21.958",27,22
"27.97x21.947",28,22
"27.977x22.897",28,23
"28.0x23.902",28,24
"27.012x22.908",27,23
"26.993x23.896",27,24
"26.03x23.935",26,24
"26.072x22.884",26,23
"25.107x22.896",25,23
"25.119x23.921",25,24
"25.013x24.806",25,25
"26.159x24.845",26,25
"27.976x24.882",28,25
"27.031x24.865",27,25
"28.98x23.89",29,24
"28.994x22.861",29,23
"29.007x24.906",29,25
"23.159x20.027",23,20
"23.1x19.036",23,19
"24.124x19.029",24,19
"24.122x18.025",24,18
"24.096x20.049",24,20
"23.114x18.019",23,18
"21.919x17.952",22,18
"20.975x20.036",21,20
"20.97x17.974",21,18
"21.934x18.934",22,19
"21.956x19.964",22,20
"20.96x18.968",21,19
"20.929x20.972",21,21
"21.933x21.931",22,22
"21.006x21.941",21,22
"21.976x20.925",22,21
"24.1x22.013",24,22
"23.115x21.019",23,21
"23.156x22.013",23,22
"24.13x21.008",24,21
"19.037x17.976",19,18
"20.051x20.007",20,20
"18.978x20.047",19,20
"18.957x18.977",19,19
"19.993x18.035",20,18
"20.062x19.0",20,19
"16.987x17.981",17,18
"17.028x19.984",17,20
"17.956x18.006",18,18
"16.987x18.995",17,19
"17.976x19.0",18,19
"17.998x20.091",18,20
"18.068x22.018",18,22
"17.988x21.045",18,21
"16.981x20.987",17,21
"16.965x22.101",17,22
"19.032x21.982",19,22
"18.98x21.065",19,21
"20.072x20.997",20,21
"20.053x21.979",20,22
"20.078x22.838",20,23
"20.111x23.889",20,24
"19.039x23.982",19,24
"18.984x22.881",19,23
"16.93x22.932",17,23
"18.155x22.881",18,23
"16.869x23.909",17,24
"18.126x23.926",18,24
"16.988x24.905",17,25
"18.033x24.967",18,25
"18.997x24.953",19,25
"20.094x24.903",20,25
