"","B.cell","CAF","Endo.","Macrophage","Mal","NK","T.cell"
"7x15",0.319645897,0,0,0,0.126501525,0,0.553852579
"7x16",0,0.043683442,0,0,0.430745837,0.52557072,0
"7x17",0.485726949,0.153070309,0,0.053068237,0.308134504,0,0
"7x18",0.343053754,0.044401213,0,0,0.473597263,0,0.138947771
"8x13",0,0,0,0,0.234147088,0,0.765852912
"8x14",0,0,0,0.524930839,0,0,0.475069161
"8x15",0,0,0,0.601052388,0.398947612,0,0
"8x16",0,0,0,0.273395869,0.380340282,0.34626385,0
"8x17",1,0,0,0,0,0,0
"8x18",0,0.264172733,0.148902012,0.148275647,0.256718435,0.181931172,0
"8x19",0,0,0.217378273,0,0.483354344,0,0.299267383
"9x13",0.166149656,0.054310541,0.130975507,0.432402545,0,0.216161751,0
"9x14",0,0.065270864,0,0.604481342,0,0,0.330247795
"9x15",0.164709693,0,0,0.610993252,0,0,0.224297055
"9x16",0,0.034286739,0.182610792,0.532893984,0.250208485,0,0
"9x17",0.651472145,0.019893205,0.053500517,0,0,0.275134132,0
"9x18",0.29147861,0.642972496,0,0.065548894,0,0,0
"10x13",0.178153971,0.161343049,0,0.358725266,0,0.301777715,0
"10x15",0,0.176797684,0,0.640305143,0,0.182897173,0
"10x16",0,0.359378284,0,0.640621716,0,0,0
"10x17",0.179887099,0.345267361,0.040952686,0.313510872,0,0.120381982,0
"10x18",0,1,0,0,0,0,0
"11x12",0,0,0,0.497092512,0,0.502907488,0
"11x13",0.299472017,0.052392146,0,0.319672679,0,0.328463159,0
"11x14",0,0,0,0.268860045,0.731139955,0,0
"11x15",0,0,0,0,1,0,0
"11x16",0.094413262,0.189290524,0,0.385293407,0.331002806,0,0
"11x17",0,0.476410044,0,0.523589956,0,0,0
"12x12",0,0.122809799,0,0.328038653,0.549151549,0,0
"12x13",0,0,0,0.192292042,0.807707958,0,0
"12x14",0,0,0,0,1,0,0
"12x15",0,0,0,0.188725851,0.811274149,0,0
"12x16",0.183965121,0,0,0.593687462,0,0.222347417,0
"12x17",0,0.360564284,0,0.459516947,0,0.179918769,0
"13x11",0,0.181039946,0,0.058339127,0.760620927,0,0
"13x12",0,0,0,0,0.859414304,0,0.140585696
"13x13",0,0,0,0,1,0,0
"13x14",0,0,0,0.204325546,0.795674454,0,0
"13x15",0,0,0,0,1,0,0
"13x16",0,0,0,0.490699818,0.382444157,0,0.126856026
"13x17",0,0.456196935,0,0.329357764,0,0.141963649,0.072481652
"13x18",0,0.631343211,0,0.254184812,0.114471977,0,0
"14x7",0.038030638,0.016654869,0.148234964,0,0.797079529,0,0
"14x8",0,0,0,0,1,0,0
"14x9",0,0.513058025,0,0.486941975,0,0,0
"14x10",0,0,0,0,0.764069357,0,0.235930643
"14x11",0,0.050450773,0.017453172,0,0.757945409,0,0.174150646
"14x12",0,0,0,0,0.872821817,0,0.127178183
"14x13",0,0,0,0.048615951,0.951384049,0,0
"14x14",0,0,0,0.202724774,0.77745285,0.019822376,0
"14x15",0,0,0,0.194292231,0.805707769,0,0
"14x16",0.304201872,0,0.141468534,0.554329594,0,0,0
"14x17",0,0.500918819,0,0.280492504,0,0.218588676,0
"14x18",0,0.594633113,0.113359961,0.095243936,0,0.19676299,0
"15x5",0,0,0.06455364,0.33925127,0.515817062,0.080378027,0
"15x6",0,0.008102203,0.066522976,0.390450729,0.534924092,0,0
"15x7",0,0,0,0.444010894,0.555989106,0,0
"15x8",0,0,0.337355439,0.662644561,0,0,0
"15x9",0,0,0,0.297405382,0.591937099,0,0.110657519
"15x10",0,0,0,0,1,0,0
