"","new_celltype"
"cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb","Mal"
"Cy81_FNA_CD45_B01_S301_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb","Mal"
"Cy80_II_CD45_B07_S883_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb","Mal"
"Cy81_Bulk_CD45_B10_S118_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb","Mal"
"CY89NEG_E07_S55_comb","Mal"
"CY89CORE11_G02_S170_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb","Mal"
"Cy80_II_CD45_C09_S897_comb","Mal"
"cy81_FNA_CD45_neg_D04_S1000_comb","Mal"
"cy82_CD45_pos_2_H12_S576_comb","Macrophage"
"cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb","Mal"
"cy80_CD45_neg_G01_S937_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb","Mal"
"CY89CORE11_A11_S107_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb","Mal"
"cy81_Bulk_CD45_neg_A10_S106_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb","Mal"
"cy81_FNA_CD45_neg_B01_S973_comb","Mal"
"Cy81_FNA_CD45_E05_S341_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb","Mal"
"Cy81_Bulk_CD45_E10_S154_comb","Mal"
"Cy80_II_CD45_H07_S955_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb","Mal"
"cy82_CD45_pos_3_A03_S3_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb","Mal"
"Cy81_FNA_CD45_D09_S333_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb","Mal"
"CY89CORE11_F05_S161_comb","Mal"
"CY89NEG_C03_S27_comb","Mal"
"cy81_Bulk_CD45_neg_G01_S169_comb","Mal"
"CY89CORE11_B10_S118_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb","Mal"
"cy81_Bulk_CD45_neg_C03_S123_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb","Mal"
"cy81_FNA_CD45_neg_C09_S993_comb","Mal"
"cy80_CD45_neg_G04_S940_comb","Mal"
"Cy80_II_CD45_H09_S957_comb","Mal"
"cy80_CD45_neg_A09_S873_comb","Mal"
"Cy80_II_CD45_B11_S887_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb","Mal"
"CY89NEG_B03_S15_comb","Mal"
"Cy81_Bulk_CD45_E04_S148_comb","Mal"
"Cy80_II_CD45_D11_S911_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb","Mal"
"CY89NEG_G01_S73_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb","Mal"
"cy81_FNA_CD45_neg_F09_S1029_comb","Mal"
"Cy81_FNA_CD45_G10_S370_comb","Mal"
"cy82_CD45_pos_2_D11_S527_comb","Mal"
"CY89FNAQ2_F06_S450_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb","Mal"
"Cy81_FNA_CD45_C09_S321_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb","Mal"
"cy80_CD45_neg_D04_S904_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb","Mal"
"cy80_CD45_neg_E02_S914_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb","Mal"
"Cy80_II_CD45_G07_S943_comb","Mal"
"cy81_FNA_CD45_neg_E04_S1012_comb","Mal"
"cy81_Bulk_CD45_neg_E04_S148_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb","Mal"
"cy81_Bulk_CD45_neg_C11_S131_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb","Mal"
"cy81_Bulk_CD45_neg_D09_S141_comb","Mal"
"CY89CORE11_A04_S100_comb","Mal"
"cy80_CD45_neg_G02_S938_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb","Mal"
"CY89NEG_H11_S95_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb","Mal"
"cy82_CD45_pos_3_B11_S23_comb","Mal"
"cy81_FNA_CD45_neg_F08_S1028_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D10_S334_comb","Mal"
"cy81_FNA_CD45_neg_G12_S1044_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb","Mal"
"CY89NEG_F05_S65_comb","Mal"
"cy80_CD45_neg_H08_S956_comb","Mal"
"Cy81_Bulk_CD45_D01_S133_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb","Mal"
"Cy81_Bulk_CD45_D10_S142_comb","Mal"
"CY89NEG_F07_S67_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb","Mal"
"cy82_CD45_pos_2_B03_S495_comb","Mal"
"Cy81_FNA_CD45_C05_S317_comb","Mal"
"Cy80_II_CD45_B01_S877_comb","Mal"
"CY89CORE11_E10_S154_comb","Mal"
"cy81_Bulk_CD45_neg_E02_S146_comb","Endo."
"cy80_CD45_neg_A05_S869_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb","Mal"
"CY89NEG_E06_S54_comb","Mal"
"cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb","Mal"
"CY89FNAQ2_G07_S463_comb","Mal"
"cy80_CD45_neg_F05_S929_comb","Mal"
"Cy81_Bulk_CD45_G12_S180_comb","Mal"
"cy81_FNA_CD45_neg_F06_S1026_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb","Mal"
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb","Mal"
"CY89CORE11_B04_S112_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb","Mal"
"CY89CORE11_A05_S101_comb","Mal"
"CY89CORE11_B06_S114_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb","Mal"
"CY89NEG_A06_S6_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb","Mal"
"Cy81_FNA_CD45_F02_S350_comb","Mal"
"cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb","Mal"
"CY89CORE11_D09_S141_comb","Mal"
"cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb","Mal"
"cy81_FNA_CD45_neg_H09_S1053_comb","Mal"
"cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb","Mal"
"CY89FNAQ2_B02_S398_comb","Mal"
"cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb","Mal"
"cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb","Mal"
"CY89FNAQ2_C04_S412_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb","Mal"
"Cy80_II_CD45_B09_S885_comb","Mal"
"cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb","Mal"
