"","imagecol","imagerow","x","y"
"x34y50",34,50,1,1
"x534y50",534,50,2,1
"x1034y50",1034,50,3,1
"x1534y50",1534,50,4,1
"x2034y50",2034,50,5,1
"x3034y50",3034,50,7,1
"x34y550",34,550,1,2
"x534y550",534,550,2,2
"x1534y550",1534,550,4,2
"x2534y550",2534,550,6,2
"x4534y550",4534,550,10,2
"x5534y550",5534,550,12,2
"x6034y550",6034,550,13,2
"x7034y550",7034,550,15,2
"x8034y550",8034,550,17,2
"x8534y550",8534,550,18,2
"x9034y550",9034,550,19,2
"x9534y550",9534,550,20,2
"x10034y550",10034,550,21,2
"x34y1050",34,1050,1,3
"x1034y1050",1034,1050,3,3
"x1534y1050",1534,1050,4,3
"x2034y1050",2034,1050,5,3
"x3034y1050",3034,1050,7,3
"x3534y1050",3534,1050,8,3
"x4534y1050",4534,1050,10,3
"x5034y1050",5034,1050,11,3
"x5534y1050",5534,1050,12,3
"x7034y1050",7034,1050,15,3
"x7534y1050",7534,1050,16,3
"x8034y1050",8034,1050,17,3
"x8534y1050",8534,1050,18,3
"x9034y1050",9034,1050,19,3
"x9534y1050",9534,1050,20,3
"x10034y1050",10034,1050,21,3
"x10534y1050",10534,1050,22,3
"x34y1550",34,1550,1,4
"x534y1550",534,1550,2,4
"x1034y1550",1034,1550,3,4
"x2034y1550",2034,1550,5,4
"x4534y1550",4534,1550,10,4
"x5034y1550",5034,1550,11,4
"x5534y1550",5534,1550,12,4
"x6034y1550",6034,1550,13,4
"x6534y1550",6534,1550,14,4
"x7034y1550",7034,1550,15,4
"x7534y1550",7534,1550,16,4
"x8034y1550",8034,1550,17,4
"x8534y1550",8534,1550,18,4
"x9034y1550",9034,1550,19,4
"x9534y1550",9534,1550,20,4
"x10034y1550",10034,1550,21,4
"x10534y1550",10534,1550,22,4
"x34y2050",34,2050,1,5
"x534y2050",534,2050,2,5
"x1034y2050",1034,2050,3,5
"x1534y2050",1534,2050,4,5
"x5034y2050",5034,2050,11,5
"x5534y2050",5534,2050,12,5
"x6034y2050",6034,2050,13,5
"x6534y2050",6534,2050,14,5
"x7034y2050",7034,2050,15,5
"x7534y2050",7534,2050,16,5
"x8034y2050",8034,2050,17,5
"x8534y2050",8534,2050,18,5
"x9034y2050",9034,2050,19,5
"x9534y2050",9534,2050,20,5
"x10034y2050",10034,2050,21,5
"x10534y2050",10534,2050,22,5
"x34y2550",34,2550,1,6
"x534y2550",534,2550,2,6
"x1034y2550",1034,2550,3,6
"x1534y2550",1534,2550,4,6
"x2034y2550",2034,2550,5,6
"x2534y2550",2534,2550,6,6
"x3034y2550",3034,2550,7,6
"x4534y2550",4534,2550,10,6
"x5034y2550",5034,2550,11,6
"x5534y2550",5534,2550,12,6
"x6034y2550",6034,2550,13,6
"x6534y2550",6534,2550,14,6
"x7034y2550",7034,2550,15,6
"x7534y2550",7534,2550,16,6
"x8034y2550",8034,2550,17,6
"x8534y2550",8534,2550,18,6
"x9034y2550",9034,2550,19,6
"x9534y2550",9534,2550,20,6
"x10034y2550",10034,2550,21,6
"x10534y2550",10534,2550,22,6
"x34y3050",34,3050,1,7
"x534y3050",534,3050,2,7
"x1034y3050",1034,3050,3,7
"x1534y3050",1534,3050,4,7
"x2034y3050",2034,3050,5,7
"x2534y3050",2534,3050,6,7
"x3034y3050",3034,3050,7,7
"x3534y3050",3534,3050,8,7
"x4534y3050",4534,3050,10,7
"x5034y3050",5034,3050,11,7
"x5534y3050",5534,3050,12,7
"x6034y3050",6034,3050,13,7
"x6534y3050",6534,3050,14,7
"x7034y3050",7034,3050,15,7
"x7534y3050",7534,3050,16,7
"x8034y3050",8034,3050,17,7
"x8534y3050",8534,3050,18,7
"x9034y3050",9034,3050,19,7
"x9534y3050",9534,3050,20,7
"x10034y3050",10034,3050,21,7
"x10534y3050",10534,3050,22,7
"x34y3550",34,3550,1,8
"x534y3550",534,3550,2,8
"x1034y3550",1034,3550,3,8
"x1534y3550",1534,3550,4,8
"x2034y3550",2034,3550,5,8
"x2534y3550",2534,3550,6,8
"x3034y3550",3034,3550,7,8
"x3534y3550",3534,3550,8,8
"x4534y3550",4534,3550,10,8
"x5034y3550",5034,3550,11,8
"x5534y3550",5534,3550,12,8
"x6034y3550",6034,3550,13,8
"x6534y3550",6534,3550,14,8
"x7034y3550",7034,3550,15,8
"x7534y3550",7534,3550,16,8
"x8034y3550",8034,3550,17,8
"x8534y3550",8534,3550,18,8
"x9034y3550",9034,3550,19,8
"x9534y3550",9534,3550,20,8
"x10034y3550",10034,3550,21,8
"x10534y3550",10534,3550,22,8
"x34y4050",34,4050,1,9
"x534y4050",534,4050,2,9
"x1034y4050",1034,4050,3,9
"x1534y4050",1534,4050,4,9
"x2034y4050",2034,4050,5,9
"x2534y4050",2534,4050,6,9
"x3034y4050",3034,4050,7,9
"x3534y4050",3534,4050,8,9
"x4534y4050",4534,4050,10,9
"x5034y4050",5034,4050,11,9
"x5534y4050",5534,4050,12,9
"x6034y4050",6034,4050,13,9
"x6534y4050",6534,4050,14,9
"x7034y4050",7034,4050,15,9
"x7534y4050",7534,4050,16,9
"x8034y4050",8034,4050,17,9
"x8534y4050",8534,4050,18,9
"x9034y4050",9034,4050,19,9
"x9534y4050",9534,4050,20,9
"x10034y4050",10034,4050,21,9
"x10534y4050",10534,4050,22,9
"x34y4550",34,4550,1,10
"x534y4550",534,4550,2,10
"x1034y4550",1034,4550,3,10
"x1534y4550",1534,4550,4,10
"x2034y4550",2034,4550,5,10
"x2534y4550",2534,4550,6,10
"x3034y4550",3034,4550,7,10
"x4534y4550",4534,4550,10,10
"x5034y4550",5034,4550,11,10
"x5534y4550",5534,4550,12,10
"x6034y4550",6034,4550,13,10
"x7034y4550",7034,4550,15,10
"x8034y4550",8034,4550,17,10
"x8534y4550",8534,4550,18,10
"x9034y4550",9034,4550,19,10
"x9534y4550",9534,4550,20,10
"x10034y4550",10034,4550,21,10
"x10534y4550",10534,4550,22,10
"x34y5050",34,5050,1,11
"x534y5050",534,5050,2,11
"x1034y5050",1034,5050,3,11
"x1534y5050",1534,5050,4,11
"x2034y5050",2034,5050,5,11
"x2534y5050",2534,5050,6,11
"x3034y5050",3034,5050,7,11
"x3534y5050",3534,5050,8,11
"x4534y5050",4534,5050,10,11
"x5034y5050",5034,5050,11,11
"x5534y5050",5534,5050,12,11
"x6034y5050",6034,5050,13,11
"x6534y5050",6534,5050,14,11
"x7034y5050",7034,5050,15,11
"x7534y5050",7534,5050,16,11
"x8034y5050",8034,5050,17,11
"x8534y5050",8534,5050,18,11
"x9034y5050",9034,5050,19,11
"x9534y5050",9534,5050,20,11
"x10034y5050",10034,5050,21,11
"x10534y5050",10534,5050,22,11
"x34y5550",34,5550,1,12
"x534y5550",534,5550,2,12
"x1034y5550",1034,5550,3,12
"x1534y5550",1534,5550,4,12
"x2034y5550",2034,5550,5,12
"x2534y5550",2534,5550,6,12
"x3034y5550",3034,5550,7,12
"x3534y5550",3534,5550,8,12
"x4534y5550",4534,5550,10,12
"x5034y5550",5034,5550,11,12
"x5534y5550",5534,5550,12,12
"x6034y5550",6034,5550,13,12
"x6534y5550",6534,5550,14,12
"x7034y5550",7034,5550,15,12
"x7534y5550",7534,5550,16,12
"x8034y5550",8034,5550,17,12
"x8534y5550",8534,5550,18,12
"x9034y5550",9034,5550,19,12
"x9534y5550",9534,5550,20,12
"x10034y5550",10034,5550,21,12
"x34y6050",34,6050,1,13
"x534y6050",534,6050,2,13
"x1034y6050",1034,6050,3,13
"x1534y6050",1534,6050,4,13
"x2034y6050",2034,6050,5,13
"x2534y6050",2534,6050,6,13
"x3034y6050",3034,6050,7,13
"x3534y6050",3534,6050,8,13
"x4534y6050",4534,6050,10,13
"x5034y6050",5034,6050,11,13
"x5534y6050",5534,6050,12,13
"x6034y6050",6034,6050,13,13
"x6534y6050",6534,6050,14,13
"x7034y6050",7034,6050,15,13
"x7534y6050",7534,6050,16,13
"x8034y6050",8034,6050,17,13
"x8534y6050",8534,6050,18,13
"x9034y6050",9034,6050,19,13
"x9534y6050",9534,6050,20,13
"x10034y6050",10034,6050,21,13
"x10534y6050",10534,6050,22,13
"x534y6550",534,6550,2,14
"x1034y6550",1034,6550,3,14
"x1534y6550",1534,6550,4,14
"x2034y6550",2034,6550,5,14
"x2534y6550",2534,6550,6,14
"x3034y6550",3034,6550,7,14
"x3534y6550",3534,6550,8,14
"x4534y6550",4534,6550,10,14
"x5034y6550",5034,6550,11,14
"x5534y6550",5534,6550,12,14
"x6034y6550",6034,6550,13,14
"x6534y6550",6534,6550,14,14
"x7034y6550",7034,6550,15,14
"x7534y6550",7534,6550,16,14
"x8034y6550",8034,6550,17,14
"x8534y6550",8534,6550,18,14
"x9034y6550",9034,6550,19,14
"x9534y6550",9534,6550,20,14
"x10034y6550",10034,6550,21,14
"x10534y6550",10534,6550,22,14
"x34y7050",34,7050,1,15
"x534y7050",534,7050,2,15
"x1034y7050",1034,7050,3,15
"x1534y7050",1534,7050,4,15
"x2034y7050",2034,7050,5,15
"x2534y7050",2534,7050,6,15
"x3034y7050",3034,7050,7,15
"x3534y7050",3534,7050,8,15
"x4534y7050",4534,7050,10,15
"x5034y7050",5034,7050,11,15
"x5534y7050",5534,7050,12,15
"x6034y7050",6034,7050,13,15
"x6534y7050",6534,7050,14,15
"x7034y7050",7034,7050,15,15
"x7534y7050",7534,7050,16,15
"x8034y7050",8034,7050,17,15
"x8534y7050",8534,7050,18,15
"x9034y7050",9034,7050,19,15
"x9534y7050",9534,7050,20,15
"x10034y7050",10034,7050,21,15
"x10534y7050",10534,7050,22,15
"x34y7550",34,7550,1,16
"x534y7550",534,7550,2,16
"x1034y7550",1034,7550,3,16
"x1534y7550",1534,7550,4,16
"x2034y7550",2034,7550,5,16
"x2534y7550",2534,7550,6,16
"x3034y7550",3034,7550,7,16
"x3534y7550",3534,7550,8,16
"x4534y7550",4534,7550,10,16
"x5034y7550",5034,7550,11,16
"x5534y7550",5534,7550,12,16
"x6034y7550",6034,7550,13,16
"x6534y7550",6534,7550,14,16
"x7034y7550",7034,7550,15,16
"x7534y7550",7534,7550,16,16
"x8034y7550",8034,7550,17,16
"x8534y7550",8534,7550,18,16
"x9034y7550",9034,7550,19,16
"x9534y7550",9534,7550,20,16
"x10034y7550",10034,7550,21,16
"x10534y7550",10534,7550,22,16
"x34y8050",34,8050,1,17
"x534y8050",534,8050,2,17
"x1034y8050",1034,8050,3,17
"x1534y8050",1534,8050,4,17
"x2034y8050",2034,8050,5,17
"x2534y8050",2534,8050,6,17
"x3034y8050",3034,8050,7,17
"x4534y8050",4534,8050,10,17
"x5034y8050",5034,8050,11,17
"x5534y8050",5534,8050,12,17
"x6034y8050",6034,8050,13,17
"x6534y8050",6534,8050,14,17
"x7034y8050",7034,8050,15,17
"x7534y8050",7534,8050,16,17
"x8034y8050",8034,8050,17,17
"x8534y8050",8534,8050,18,17
"x9034y8050",9034,8050,19,17
"x9534y8050",9534,8050,20,17
"x10034y8050",10034,8050,21,17
"x10534y8050",10534,8050,22,17
"x34y8550",34,8550,1,18
"x534y8550",534,8550,2,18
