"","nCell"
"x34y50",2
"x534y50",1
"x1034y50",1
"x1534y50",1
"x2034y50",1
"x3034y50",1
"x34y550",1
"x534y550",1
"x1534y550",1
"x2534y550",1
"x4534y550",1
"x5534y550",2
"x6034y550",1
"x7034y550",1
"x8034y550",1
"x8534y550",1
"x9034y550",2
"x9534y550",1
"x10034y550",3
"x34y1050",1
"x1034y1050",1
"x1534y1050",1
"x2034y1050",1
"x3034y1050",1
"x3534y1050",2
"x4534y1050",5
"x5034y1050",2
"x5534y1050",1
"x7034y1050",2
"x7534y1050",2
"x8034y1050",4
"x8534y1050",2
"x9034y1050",6
"x9534y1050",1
"x10034y1050",2
"x10534y1050",3
"x34y1550",2
"x534y1550",2
"x1034y1550",2
"x2034y1550",2
"x4534y1550",7
"x5034y1550",5
"x5534y1550",5
"x6034y1550",4
"x6534y1550",3
"x7034y1550",2
"x7534y1550",3
"x8034y1550",3
"x8534y1550",3
"x9034y1550",4
"x9534y1550",2
"x10034y1550",2
"x10534y1550",4
"x34y2050",2
"x534y2050",2
"x1034y2050",6
"x1534y2050",3
"x5034y2050",3
"x5534y2050",4
"x6034y2050",4
"x6534y2050",1
"x7034y2050",1
"x7534y2050",2
"x8034y2050",4
"x8534y2050",4
"x9034y2050",1
"x9534y2050",3
"x10034y2050",7
"x10534y2050",3
"x34y2550",2
"x534y2550",8
"x1034y2550",4
"x1534y2550",6
"x2034y2550",2
"x2534y2550",3
"x3034y2550",2
"x4534y2550",2
"x5034y2550",1
"x5534y2550",1
"x6034y2550",4
"x6534y2550",3
"x7034y2550",2
"x7534y2550",4
"x8034y2550",1
"x8534y2550",3
"x9034y2550",1
"x9534y2550",2
"x10034y2550",3
"x10534y2550",3
"x34y3050",7
"x534y3050",2
"x1034y3050",2
"x1534y3050",8
"x2034y3050",4
"x2534y3050",4
"x3034y3050",2
"x3534y3050",2
"x4534y3050",6
"x5034y3050",2
"x5534y3050",3
"x6034y3050",2
"x6534y3050",2
"x7034y3050",3
"x7534y3050",4
"x8034y3050",3
"x8534y3050",2
"x9034y3050",5
"x9534y3050",2
"x10034y3050",4
"x10534y3050",3
"x34y3550",2
"x534y3550",5
"x1034y3550",2
"x1534y3550",5
"x2034y3550",7
"x2534y3550",6
"x3034y3550",3
"x3534y3550",1
"x4534y3550",5
"x5034y3550",4
"x5534y3550",5
"x6034y3550",3
"x6534y3550",5
"x7034y3550",5
"x7534y3550",6
"x8034y3550",3
"x8534y3550",3
"x9034y3550",3
"x9534y3550",5
"x10034y3550",4
"x10534y3550",4
"x34y4050",6
"x534y4050",3
"x1034y4050",3
"x1534y4050",5
"x2034y4050",1
"x2534y4050",4
"x3034y4050",6
"x3534y4050",3
"x4534y4050",3
"x5034y4050",7
"x5534y4050",4
"x6034y4050",2
"x6534y4050",7
"x7034y4050",3
"x7534y4050",4
"x8034y4050",9
"x8534y4050",4
"x9034y4050",3
"x9534y4050",4
"x10034y4050",6
"x10534y4050",7
"x34y4550",5
"x534y4550",5
"x1034y4550",5
"x1534y4550",5
"x2034y4550",4
"x2534y4550",5
"x3034y4550",5
"x4534y4550",6
"x5034y4550",6
"x5534y4550",5
"x6034y4550",5
"x7034y4550",4
"x8034y4550",3
"x8534y4550",2
"x9034y4550",4
"x9534y4550",5
"x10034y4550",5
"x10534y4550",2
"x34y5050",6
"x534y5050",3
"x1034y5050",5
"x1534y5050",3
"x2034y5050",5
"x2534y5050",5
"x3034y5050",5
"x3534y5050",2
"x4534y5050",4
"x5034y5050",5
"x5534y5050",5
"x6034y5050",4
"x6534y5050",3
"x7034y5050",2
"x7534y5050",4
"x8034y5050",2
"x8534y5050",2
"x9034y5050",4
"x9534y5050",3
"x10034y5050",4
"x10534y5050",2
"x34y5550",3
"x534y5550",2
"x1034y5550",2
"x1534y5550",2
"x2034y5550",4
"x2534y5550",7
"x3034y5550",4
"x3534y5550",3
"x4534y5550",3
"x5034y5550",3
"x5534y5550",4
"x6034y5550",3
"x6534y5550",3
"x7034y5550",1
"x7534y5550",3
"x8034y5550",1
"x8534y5550",3
"x9034y5550",3
"x9534y5550",2
"x10034y5550",2
"x34y6050",4
"x534y6050",2
"x1034y6050",2
"x1534y6050",6
"x2034y6050",4
"x2534y6050",4
"x3034y6050",6
"x3534y6050",4
"x4534y6050",3
"x5034y6050",3
"x5534y6050",6
"x6034y6050",2
"x6534y6050",1
"x7034y6050",3
"x7534y6050",2
"x8034y6050",5
"x8534y6050",6
"x9034y6050",4
"x9534y6050",5
"x10034y6050",2
"x10534y6050",4
"x534y6550",3
"x1034y6550",4
"x1534y6550",5
"x2034y6550",3
"x2534y6550",5
"x3034y6550",3
"x3534y6550",2
"x4534y6550",1
"x5034y6550",3
"x5534y6550",1
"x6034y6550",3
"x6534y6550",5
"x7034y6550",4
"x7534y6550",3
"x8034y6550",3
"x8534y6550",3
"x9034y6550",2
"x9534y6550",2
"x10034y6550",2
"x10534y6550",2
"x34y7050",3
"x534y7050",4
"x1034y7050",4
"x1534y7050",2
"x2034y7050",3
"x2534y7050",3
"x3034y7050",1
"x3534y7050",1
"x4534y7050",3
"x5034y7050",3
"x5534y7050",4
"x6034y7050",4
"x6534y7050",2
"x7034y7050",3
"x7534y7050",2
"x8034y7050",2
"x8534y7050",3
"x9034y7050",5
"x9534y7050",2
"x10034y7050",2
"x10534y7050",3
"x34y7550",2
"x534y7550",5
"x1034y7550",4
"x1534y7550",4
"x2034y7550",4
"x2534y7550",2
"x3034y7550",1
"x3534y7550",3
"x4534y7550",1
"x5034y7550",2
"x5534y7550",3
"x6034y7550",3
"x6534y7550",1
"x7034y7550",4
"x7534y7550",1
"x8034y7550",6
"x8534y7550",4
"x9034y7550",1
"x9534y7550",3
"x10034y7550",1
"x10534y7550",3
"x34y8050",6
"x534y8050",3
"x1034y8050",3
"x1534y8050",3
"x2034y8050",5
"x2534y8050",5
"x3034y8050",3
"x4534y8050",4
"x5034y8050",4
"x5534y8050",4
"x6034y8050",3
"x6534y8050",2
"x7034y8050",3
"x7534y8050",5
"x8034y8050",4
"x8534y8050",4
"x9034y8050",3
"x9534y8050",5
"x10034y8050",4
"x10534y8050",3
"x34y8550",3
"x534y8550",3
"x1034y8550",4
"x1534y8550",3
"x2034y8550",3
"x2534y8550",6
"x3034y8550",3
"x4534y8550",3
"x5034y8550",4
"x5534y8550",3
"x6034y8550",3
"x6534y8550",3
"x7034y8550",6
"x7534y8550",4
"x8034y8550",4
"x8534y8550",6
"x9034y8550",4
"x9534y8550",8
"x10034y8550",4
"x10534y8550",3
"x34y9050",4
