"","Astro","eL2/3","eL4","eL5","eL6","Endo","Micro","Oligo","PVALB","Smc","SST","VIP"
"x34y50",0,0,0,0.5,0.5,0,0,0,0,0,0,0
"x534y50",1,0,0,0,0,0,0,0,0,0,0,0
"x1034y50",1,0,0,0,0,0,0,0,0,0,0,0
"x1534y50",1,0,0,0,0,0,0,0,0,0,0,0
"x2034y50",1,0,0,0,0,0,0,0,0,0,0,0
"x3034y50",0,0,0,0,0,0,1,0,0,0,0,0
"x34y550",0,0,0,0,0,0,0,1,0,0,0,0
"x534y550",0,0,0,0,0,0,0,0,1,0,0,0
"x1534y550",0,0,0,0,0,0,0,0,0,0,0,1
"x2534y550",1,0,0,0,0,0,0,0,0,0,0,0
"x4534y550",1,0,0,0,0,0,0,0,0,0,0,0
"x5534y550",0.5,0,0,0,0,0,0,0,0,0,0,0.5
"x6034y550",0,0,0,0,0,0,1,0,0,0,0,0
"x7034y550",0,0,0,0,0,0,0,1,0,0,0,0
"x8034y550",0,0,0,0,0,1,0,0,0,0,0,0
"x8534y550",0,0,0,0,0,0,1,0,0,0,0,0
"x9034y550",0,0,0,0,0,0,0.5,0,0.5,0,0,0
"x9534y550",0,0,0,1,0,0,0,0,0,0,0,0
"x10034y550",0.333333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0
"x34y1050",0,0,0,0,0,0,0,0,0,0,1,0
"x1034y1050",1,0,0,0,0,0,0,0,0,0,0,0
"x1534y1050",0,0,0,1,0,0,0,0,0,0,0,0
"x2034y1050",1,0,0,0,0,0,0,0,0,0,0,0
"x3034y1050",0,0,0,0,0,0,1,0,0,0,0,0
"x3534y1050",0.5,0,0,0,0,0.5,0,0,0,0,0,0
"x4534y1050",0,0,0,0.4,0,0.4,0.2,0,0,0,0,0
"x5034y1050",0.5,0,0,0,0,0,0,0,0,0,0.5,0
"x5534y1050",1,0,0,0,0,0,0,0,0,0,0,0
"x7034y1050",0,0,0,0.5,0,0,0.5,0,0,0,0,0
"x7534y1050",0.5,0,0,0,0.5,0,0,0,0,0,0,0
"x8034y1050",0.5,0,0,0.5,0,0,0,0,0,0,0,0
"x8534y1050",0,0,0,0,0,0,0,1,0,0,0,0
"x9034y1050",0.833333333333333,0,0,0,0,0,0,0,0,0,0.166666666666667,0
"x9534y1050",0,0,0,0,0,0,0,0,0,0,1,0
"x10034y1050",0.5,0,0,0,0,0,0.5,0,0,0,0,0
