"","imagecol","imagerow","x","y"
"x34y363",34,363,1,1
"x7034y363",7034,363,15,1
"x10034y363",10034,363,21,1
"x34y863",34,863,1,2
"x7034y863",7034,863,15,2
"x7534y863",7534,863,16,2
"x8034y863",8034,863,17,2
"x8534y863",8534,863,18,2
"x9534y863",9534,863,20,2
"x10534y863",10534,863,22,2
"x34y1363",34,1363,1,3
"x534y1363",534,1363,2,3
"x1534y1363",1534,1363,4,3
"x4534y1363",4534,1363,10,3
"x5534y1363",5534,1363,12,3
"x6034y1363",6034,1363,13,3
"x7034y1363",7034,1363,15,3
"x8534y1363",8534,1363,18,3
"x9534y1363",9534,1363,20,3
"x10034y1363",10034,1363,21,3
"x10534y1363",10534,1363,22,3
"x34y1863",34,1863,1,4
"x534y1863",534,1863,2,4
"x1034y1863",1034,1863,3,4
"x1534y1863",1534,1863,4,4
"x2034y1863",2034,1863,5,4
"x4534y1863",4534,1863,10,4
"x5034y1863",5034,1863,11,4
"x5534y1863",5534,1863,12,4
"x6034y1863",6034,1863,13,4
"x6534y1863",6534,1863,14,4
"x7034y1863",7034,1863,15,4
"x7534y1863",7534,1863,16,4
"x8034y1863",8034,1863,17,4
"x8534y1863",8534,1863,18,4
"x9034y1863",9034,1863,19,4
"x9534y1863",9534,1863,20,4
"x10034y1863",10034,1863,21,4
"x10534y1863",10534,1863,22,4
"x34y2363",34,2363,1,5
"x534y2363",534,2363,2,5
"x1034y2363",1034,2363,3,5
"x1534y2363",1534,2363,4,5
"x2034y2363",2034,2363,5,5
"x2534y2363",2534,2363,6,5
"x4534y2363",4534,2363,10,5
"x5034y2363",5034,2363,11,5
"x5534y2363",5534,2363,12,5
"x6034y2363",6034,2363,13,5
"x6534y2363",6534,2363,14,5
"x7034y2363",7034,2363,15,5
"x7534y2363",7534,2363,16,5
"x8034y2363",8034,2363,17,5
"x8534y2363",8534,2363,18,5
"x9034y2363",9034,2363,19,5
"x9534y2363",9534,2363,20,5
"x10034y2363",10034,2363,21,5
"x10534y2363",10534,2363,22,5
"x34y2863",34,2863,1,6
"x534y2863",534,2863,2,6
"x1034y2863",1034,2863,3,6
"x1534y2863",1534,2863,4,6
"x2034y2863",2034,2863,5,6
"x2534y2863",2534,2863,6,6
"x3034y2863",3034,2863,7,6
"x3534y2863",3534,2863,8,6
"x4534y2863",4534,2863,10,6
"x5034y2863",5034,2863,11,6
"x5534y2863",5534,2863,12,6
"x6534y2863",6534,2863,14,6
"x7034y2863",7034,2863,15,6
"x7534y2863",7534,2863,16,6
"x8534y2863",8534,2863,18,6
"x9034y2863",9034,2863,19,6
"x9534y2863",9534,2863,20,6
"x10034y2863",10034,2863,21,6
"x10534y2863",10534,2863,22,6
"x34y3363",34,3363,1,7
"x534y3363",534,3363,2,7
"x1034y3363",1034,3363,3,7
"x1534y3363",1534,3363,4,7
"x2034y3363",2034,3363,5,7
"x2534y3363",2534,3363,6,7
"x3034y3363",3034,3363,7,7
"x4534y3363",4534,3363,10,7
"x5034y3363",5034,3363,11,7
"x5534y3363",5534,3363,12,7
"x6034y3363",6034,3363,13,7
"x6534y3363",6534,3363,14,7
"x7034y3363",7034,3363,15,7
"x7534y3363",7534,3363,16,7
"x8034y3363",8034,3363,17,7
"x8534y3363",8534,3363,18,7
"x9034y3363",9034,3363,19,7
"x9534y3363",9534,3363,20,7
"x10034y3363",10034,3363,21,7
"x10534y3363",10534,3363,22,7
"x34y3863",34,3863,1,8
"x534y3863",534,3863,2,8
"x1034y3863",1034,3863,3,8
"x1534y3863",1534,3863,4,8
"x2034y3863",2034,3863,5,8
"x2534y3863",2534,3863,6,8
"x3034y3863",3034,3863,7,8
"x3534y3863",3534,3863,8,8
"x4534y3863",4534,3863,10,8
"x5034y3863",5034,3863,11,8
"x5534y3863",5534,3863,12,8
"x6034y3863",6034,3863,13,8
"x6534y3863",6534,3863,14,8
"x7034y3863",7034,3863,15,8
"x7534y3863",7534,3863,16,8
"x8034y3863",8034,3863,17,8
"x8534y3863",8534,3863,18,8
"x9034y3863",9034,3863,19,8
"x9534y3863",9534,3863,20,8
"x10034y3863",10034,3863,21,8
"x10534y3863",10534,3863,22,8
"x34y4363",34,4363,1,9
"x534y4363",534,4363,2,9
"x1034y4363",1034,4363,3,9
"x1534y4363",1534,4363,4,9
"x2034y4363",2034,4363,5,9
"x2534y4363",2534,4363,6,9
