"","nCell"
"x34y363",2
"x7034y363",1
"x10034y363",1
"x34y863",1
"x7034y863",1
"x7534y863",1
"x8034y863",2
"x8534y863",1
"x9534y863",1
"x10534y863",2
"x34y1363",1
"x534y1363",1
"x1534y1363",1
"x4534y1363",3
"x5534y1363",1
"x6034y1363",2
"x7034y1363",1
"x8534y1363",2
"x9534y1363",1
"x10034y1363",1
"x10534y1363",3
"x34y1863",2
"x534y1863",1
"x1034y1863",2
"x1534y1863",1
"x2034y1863",1
"x4534y1863",2
"x5034y1863",2
"x5534y1863",4
"x6034y1863",4
"x6534y1863",3
"x7034y1863",1
"x7534y1863",1
"x8034y1863",3
"x8534y1863",3
"x9034y1863",3
"x9534y1863",2
"x10034y1863",4
"x10534y1863",5
"x34y2363",1
"x534y2363",6
"x1034y2363",3
"x1534y2363",3
"x2034y2363",2
"x2534y2363",1
"x4534y2363",2
"x5034y2363",1
"x5534y2363",3
"x6034y2363",3
"x6534y2363",3
"x7034y2363",1
"x7534y2363",6
"x8034y2363",1
"x8534y2363",3
"x9034y2363",1
"x9534y2363",3
"x10034y2363",5
"x10534y2363",1
"x34y2863",4
"x534y2863",3
"x1034y2863",3
"x1534y2863",7
"x2034y2863",2
"x2534y2863",4
"x3034y2863",3
"x3534y2863",1
"x4534y2863",5
"x5034y2863",1
"x5534y2863",3
"x6534y2863",2
"x7034y2863",4
"x7534y2863",3
"x8534y2863",2
"x9034y2863",2
"x9534y2863",1
"x10034y2863",2
"x10534y2863",3
"x34y3363",5
"x534y3363",2
"x1034y3363",1
"x1534y3363",6
"x2034y3363",7
"x2534y3363",4
"x3034y3363",2
"x4534y3363",3
"x5034y3363",1
"x5534y3363",1
"x6034y3363",1
"x6534y3363",2
"x7034y3363",4
"x7534y3363",4
"x8034y3363",3
"x8534y3363",4
"x9034y3363",5
"x9534y3363",4
"x10034y3363",3
"x10534y3363",4
"x34y3863",5
"x534y3863",3
"x1034y3863",4
"x1534y3863",3
"x2034y3863",2
"x2534y3863",4
"x3034y3863",5
"x3534y3863",3
"x4534y3863",4
"x5034y3863",5
"x5534y3863",5
"x6034y3863",4
"x6534y3863",6
"x7034y3863",3
"x7534y3863",5
"x8034y3863",7
"x8534y3863",3
"x9034y3863",3
"x9534y3863",4
"x10034y3863",5
"x10534y3863",3
"x34y4363",6
"x534y4363",5
"x1034y4363",2
"x1534y4363",3
"x2034y4363",1
"x2534y4363",4
"x3034y4363",1
"x4534y4363",5
"x5034y4363",5
"x5534y4363",2
"x6034y4363",4
"x6534y4363",2
"x7034y4363",1
"x8034y4363",4
"x8534y4363",1
"x9034y4363",4
"x9534y4363",5
"x10034y4363",6
"x10534y4363",5
"x34y4863",4
"x534y4863",3
"x1034y4863",5
"x1534y4863",5
"x2034y4863",5
"x2534y4863",5
"x3034y4863",5
"x3534y4863",1
"x4534y4863",3
"x5034y4863",7
"x5534y4863",6
"x6034y4863",3
"x6534y4863",2
"x7034y4863",3
"x7534y4863",2
"x8034y4863",2
"x8534y4863",2
"x9034y4863",4
"x9534y4863",2
"x10034y4863",3
"x10534y4863",3
"x34y5363",3
"x534y5363",1
"x1034y5363",1
"x1534y5363",2
"x2034y5363",3
"x2534y5363",6
"x3034y5363",4
"x3534y5363",2
"x4534y5363",4
"x5034y5363",2
"x5534y5363",4
"x6034y5363",1
"x6534y5363",2
"x7034y5363",2
"x8534y5363",4
"x9034y5363",1
"x9534y5363",3
