"","eL2/3","eL4","eL5","eL6","Oligo"
"x34y363",0,0,0.5,0.5,0
"x7034y363",0,0,0,0,1
"x10034y363",0,0,0,0,1
"x34y863",0,0,0,0,1
"x7034y863",0,0,1,0,0
"x7534y863",0,0,0,1,0
"x8034y863",0,0,1,0,0
"x8534y863",0,0,0,0,1
"x9534y863",0,0,1,0,0
"x10534y863",0,0,0,0,1
"x34y1363",0,0,1,0,0
"x534y1363",0,0,0,0,1
"x1534y1363",0,0,1,0,0
"x4534y1363",0,0.333333333333333,0.666666666666667,0,0
"x5534y1363",0,0,1,0,0
"x6034y1363",0,0,0.5,0,0.5
"x7034y1363",0,0,0,0,1
"x8534y1363",0,0,0,0,1
"x9534y1363",0,0,0,0,1
"x10034y1363",0,0,0,0,1
"x10534y1363",0,0,0,0,1
"x34y1863",0,0,0,0,1
"x534y1863",0,0,0,0,1
"x1034y1863",0,0,0,0,1
"x1534y1863",0,0,0,0,1
"x2034y1863",0,0,0,0,1
"x4534y1863",0,0,0,0,1
"x5034y1863",0,0,0,0,1
"x5534y1863",0,0,0,0,1
"x6034y1863",0,0,0,0,1
"x6534y1863",0,0,0,0,1
"x7034y1863",0,0,0,0,1
"x7534y1863",0,0,0,0,1
"x8034y1863",0,0,0,0,1
"x8534y1863",0,0,0,0,1
"x9034y1863",0,0,0,0,1
"x9534y1863",0,0,0,0,1
"x10034y1863",0,0,0,0,1
"x10534y1863",0,0,0,0,1
"x34y2363",0,0,0,0,1
"x534y2363",0,0,0,0,1
"x1034y2363",0,0,0,0,1
"x1534y2363",0,0,0,0,1
"x2034y2363",0,0,0,0,1
"x2534y2363",0,0,1,0,0
"x4534y2363",0,0,0,0,1
"x5034y2363",0,0,0,0,1
"x5534y2363",0,0,0,0,1
"x6034y2363",0,0,0,0,1
"x6534y2363",0,0,0,0,1
"x7034y2363",0,0,0,0,1
"x7534y2363",0,0,0,0,1
"x8034y2363",0,0,0,0,1
"x8534y2363",0,0,0,0,1
"x9034y2363",0,0,0,0,1
"x9534y2363",0,0,0,0,1
"x10034y2363",0,0,0,0,1
"x10534y2363",0,0,0,0,1
"x34y2863",0,0,0,0.25,0.75
"x534y2863",0,0,0,0,1
"x1034y2863",0,0,0,0,1
"x1534y2863",0,0,0,0,1
"x2034y2863",0,0,0,0,1
"x2534y2863",0,0,0,0,1
"x3034y2863",0,0,0.333333333333333,0,0.666666666666667
"x3534y2863",0,0,0,0,1
"x4534y2863",0,0,0,0,1
"x5034y2863",0,0,0,0,1
"x5534y2863",0,0,0,0,1
"x6534y2863",0,0,0,0,1
"x7034y2863",0,0,0,0,1
"x7534y2863",0,0,0,0,1
"x8534y2863",0,0,0,0,1
"x9034y2863",0,0,0,1,0
"x9534y2863",0,0,0,1,0
"x10034y2863",0,0,0,0.5,0.5
"x10534y2863",0,0,0,0.333333333333333,0.666666666666667
"x34y3363",0,0,0,0.6,0.4
"x534y3363",0,0,0,0,1
"x1034y3363",0,0,0,0,1
"x1534y3363",0,0,0,0,1
"x2034y3363",0,0,0,0,1
"x2534y3363",0,0,0,0,1
"x3034y3363",0,0,0,0.5,0.5
"x4534y3363",0,0,0,1,0
"x5034y3363",0,0,0,1,0
"x5534y3363",0,0,0,1,0
"x6034y3363",0,0,0,1,0
"x6534y3363",0,0,0,1,0
"x7034y3363",0,0,0,0.5,0.5
"x7534y3363",0,0,0.25,0.5,0.25
"x8034y3363",0,0,0,0.333333333333333,0.666666666666667
"x8534y3363",0,0,0,1,0
"x9034y3363",0,0,0.2,0.6,0.2
"x9534y3363",0,0,0,1,0
"x10034y3363",0,0,0,1,0
"x10534y3363",0,0,0,1,0
"x34y3863",0,0,0,0.8,0.2
"x534y3863",0,0,0,1,0
"x1034y3863",0,0,0,0.25,0.75
"x1534y3863",0,0,0,0.666666666666667,0.333333333333333
"x2034y3863",0,0,0,0,1
"x2534y3863",0,0,0,0,1
"x3034y3863",0,0,0,0,1
"x3534y3863",0,0,0,0,1
"x4534y3863",0,0,0,1,0
"x5034y3863",0,0,0,0.8,0.2
"x5534y3863",0,0,0,0.8,0.2
"x6034y3863",0,0,0,0.75,0.25
"x6534y3863",0,0,0,1,0
"x7034y3863",0,0,0,1,0
"x7534y3863",0,0,0,1,0
"x8034y3863",0,0,0,1,0
"x8534y3863",0,0,0,0.333333333333333,0.666666666666667
"x9034y3863",0,0,0,1,0
"x9534y3863",0,0,0,1,0
"x10034y3863",0,0.2,0.2,0.6,0
"x10534y3863",0,0,0,1,0
"x34y4363",0,0,0,1,0
"x534y4363",0,0,0,1,0
"x1034y4363",0,0,0,0,1
"x1534y4363",0,0,0,0.666666666666667,0.333333333333333
"x2034y4363",0,0,0,0,1
"x2534y4363",0,0,0,0.5,0.5
"x3034y4363",0,0,0,0,1
"x4534y4363",0,0,0.2,0.8,0
"x5034y4363",0,0,0.2,0.8,0
"x5534y4363",0,0,0,1,0
"x6034y4363",0,0,0,1,0
"x6534y4363",0,0,0,1,0
"x7034y4363",0,0,1,0,0
"x8034y4363",0.25,0,0,0.75,0
"x8534y4363",0,0,0,1,0
"x9034y4363",0,0,0,1,0
"x9534y4363",0,0,0,1,0
"x10034y4363",0,0,0,1,0
"x10534y4363",0,0,0,1,0
"x34y4863",0,0,0,1,0
"x534y4863",0.333333333333333,0,0,0.666666666666667,0
"x1034y4863",0,0.2,0,0.8,0
"x1534y4863",0,0,0.2,0.8,0
"x2034y4863",0,0,0,1,0
