,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.08575687622355256,0.0,0.04035989631722724,0.005050687250884057,0.0,0.18631400149633107,0.019477194862204505,0.14224785735136183,0.07590463555322653,0.16220675886074426,0.13723363385591877,0.14544845822854904
x534y50,0.3081276341335311,0.01755896812540838,0.03383135552311732,0.0,0.17064154251554492,0.0,0.009574598194048304,0.179242624944944,0.0,0.1898244098949836,0.0,0.09119886666842254
x1034y50,0.2886204653318824,0.0,0.0,0.0,0.0,0.21073462046993782,0.024300569469581687,0.16899942378230004,0.1458180983975647,0.0,0.16152682254873332,0.0
x1534y50,0.2779421459321486,0.008472126906581669,0.010850856539314134,0.0,0.043317339332940165,0.22712918892299555,0.030265464635433805,0.12337713185100835,0.07535204005761768,0.11182549560912902,0.0,0.09146821021283096
x2034y50,0.2714301741451682,0.0,0.01432412843429527,0.003528496182632821,0.08132765127573435,0.1122718969110487,0.012286478799768168,0.10332972675614024,0.05833369973092671,0.10707407555188955,0.1396084981155098,0.09648517409688627
x3034y50,0.06369856269912173,0.036450925726657285,0.11512394532029661,0.0,0.0,0.3635690179100211,0.0,0.130879349213398,0.0,0.15580470297813956,0.0,0.13447349615236562
x34y550,0.07774641018169333,0.08106598458279511,0.0,0.13700148769489232,0.0,0.2661494990820486,0.0,0.12903443422963498,0.1089284254709338,0.14229346474475676,0.0,0.05778029401324501
x534y550,0.046237744589191075,0.003003135207131368,0.0,0.002113597411350206,0.22877128410905712,0.29260951012342945,0.006188908414708342,0.1170420423955302,0.03795467242843192,0.13450119825084064,0.06489149051809552,0.06668641655223402
x1534y550,0.03710367036481532,0.0,0.0,0.0,0.0,0.3047240209600235,0.017708914265467793,0.24830175339310148,0.0,0.11237232617193914,0.21196368831349452,0.0678256265311582
x2534y550,0.24107365325069063,0.010424889821049027,0.04767685166431308,0.0,0.029599783964734457,0.2081840314273378,0.0,0.19212158422989378,0.0,0.09262569407904961,0.0,0.1782935115629316
x4534y550,0.27075173334631036,0.0,0.01956097654406029,0.0,0.07478895747667584,0.19146930288556877,0.0,0.09791987783584152,0.0,0.1595669831704953,0.0,0.1859421687410479
x5534y550,0.14766353180337308,0.0,0.0,0.0,0.04673932712067115,0.3035122242400183,0.014954850140131233,0.24058109169056355,0.0,0.08889825461822679,0.15765072038701608,0.0
x6034y550,0.09073309577670634,0.02742947957459159,0.24201247626813288,0.0,0.0,0.28585527708648173,0.04013646357617905,0.0,0.0,0.1586286029868052,0.15520460473110323,0.0
x7034y550,0.04884359625111148,0.0,0.04041435368134098,0.06027075785994301,0.040786084412000156,0.12967851916549464,0.0,0.18743521818091904,0.13497822138120089,0.0,0.3052074098742048,0.05238583919378496
x8034y550,0.15885410381152398,0.17839356768756043,0.0,0.002335315872930522,0.043599071175590254,0.2598389453504435,0.0,0.1431605531586771,0.0,0.0,0.0,0.2138184429432743
x8534y550,0.09811128881627983,0.0,0.01697420076927139,0.00670022900642096,0.0,0.29440886081368806,0.04961085456828349,0.23327250998518323,0.06413608986013225,0.11727529221107431,0.0,0.11951067396966648
x9034y550,0.05560119084637977,0.012554374553707573,0.06636509864639589,0.00152646909807551,0.10286816622547909,0.28600424730534646,0.008074889993979912,0.11202834622029269,0.03399363749381077,0.0615548216526071,0.11092731075220479,0.14850144721172062
x9534y550,0.04692371620690973,0.0,0.01645690717790101,0.0016116935721390301,0.07909832784954514,0.28436600374508364,0.015497280907432008,0.13244390813461432,0.06043226309914238,0.06861667012542333,0.13701705882522366,0.15753617035658568
x10034y550,0.11854599124681359,0.0,0.03722220397369985,0.03069918724391387,0.04504855133871314,0.2883887316991287,0.004818215309453857,0.12448436865438223,0.0382977045839846,0.14319208883554405,0.16930295711436624,0.0
x34y1050,0.08220392363852082,0.01982320756477717,0.0,0.0,0.1919754976667509,0.41634360932704295,0.0,0.19375741674690036,0.0,0.050893903835160625,0.0,0.04500244122084719
x1034y1050,0.1910449649827857,0.0,0.0,0.003309400321851811,0.0743474205990049,0.0,0.006492941136676645,0.16928567651586632,0.0,0.20400537399203575,0.26830113031945224,0.08321309213232657
x1534y1050,0.048317908617657154,0.0,0.015097514320423817,0.0014839307679353222,0.03384971296444432,0.1826357672392424,0.016043760945194854,0.09654016312596587,0.0,0.14999799801785324,0.3533088174352022,0.10272442656608088
x2034y1050,0.18393379546684369,0.0,0.0,0.0,0.0,0.17926507964446398,0.0,0.18282276932535857,0.0,0.14265481467364055,0.3113235408896933,0.0
x3034y1050,0.13288571519870587,0.0,0.28974644269878735,0.0022630658366271945,0.0,0.20629366367741633,0.0,0.0,0.0,0.19789816301665056,0.0,0.17091294957181258
x3534y1050,0.1987006965901306,0.016899438664944404,0.03751928192169329,0.0,0.036806013081025636,0.17925596906491162,0.017437627579318916,0.11202831149739675,0.0,0.21409877074322659,0.0,0.1872538908573522
x4534y1050,0.08880628705166815,0.02571898353177772,0.012147678394848108,0.005566682881774956,0.02739567885184609,0.2995119423966897,0.03210689820860184,0.12518374535145413,0.03796607138592727,0.11081592468201953,0.12217409282045426,0.11260601444293825
