,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.08493232495525767,0.0,0.03770117667018684,0.010098525395536307,0.0,0.1317479969181475,0.013656182444724083,0.1772281251162314,0.10719979171017208,0.10681168409806474,0.17727272824607232,0.1533514644456071
x534y50,0.4394230544071495,0.031233455598964347,0.05253529949143931,0.0,0.09915672603841433,0.0,0.011460071780415589,0.18434504160990658,0.03179588654617242,0.11078572505962805,0.0,0.039264739467909766
x1034y50,0.4423049631969684,0.0,0.008964423806560004,0.0,0.0,0.08969033279249328,0.024021693233367482,0.20087771458626935,0.12008207596157586,0.0,0.11405879642276556,0.0
x1534y50,0.5025111678994632,0.008077823660403419,0.0,0.0,0.043029892935861805,0.0,0.05017408909756393,0.2114722271118712,0.08555171917436313,0.047784673450614226,0.0,0.05139840666985903
x2034y50,0.5413524224045823,0.0,0.009774814819323564,0.004370025730304749,0.06337149237629666,0.0,0.009627998583280058,0.11989738298010535,0.060648480918600214,0.04103599687127286,0.08165333885228163,0.06826804646395278
x3034y50,0.11637619325188314,0.0553714112109985,0.0989271427556379,0.005775616210010818,0.0571868280398238,0.2366457371557296,0.0,0.11877603478387748,0.04576643272233548,0.12073628963267358,0.0516679195782759,0.09277039465875393
x34y550,0.08813148346865021,0.07275811370567174,0.0,0.1088422813016266,0.0,0.26250117518319327,0.03077913374478954,0.18637535532790503,0.09341998102414738,0.0,0.0,0.15719247624401636
x534y550,0.035855760954455404,0.005722454353274917,0.0,0.004848057881388556,0.24922686375683242,0.3089331102849984,0.0034634820325814865,0.16722435465046878,0.0,0.09567503225009366,0.06212933679189745,0.06692154704400896
x1534y550,0.04095949703169513,0.0,0.0,0.0,0.0,0.1398014269700128,0.023492445281613993,0.43170264324539326,0.020963045678528074,0.032105425770181134,0.24424412769451365,0.06673138832806207
x2534y550,0.3827662934300482,0.010114189378441482,0.019952635010856933,0.0,0.06198427663389399,0.0,0.004888916019660664,0.20858829630356324,0.0,0.059240588034237124,0.0,0.25246480518929837
x4534y550,0.3798673931202147,0.054923689335870864,0.007165519138574784,0.0,0.10159530097298743,0.0,0.0,0.15358137875925648,0.05224302971133383,0.0852326602533623,0.0,0.16539102870839964
x5534y550,0.21816571658756037,0.0,0.0,0.0019167883056490844,0.031248271631989226,0.12385984840317286,0.015266622017880238,0.4264322858028691,0.01716564503672597,0.0,0.16594482221415321,0.0
x6034y550,0.05618841349188741,0.042490220885255586,0.33519498774896606,0.0,0.0,0.1816777810318348,0.09582478511589616,2.506776319704981e-09,0.0,0.0,0.18284089381923646,0.10578291540014712
x7034y550,0.05588955277331328,0.0,0.020810397178029297,0.14634241549206592,0.02391720026249019,0.0,0.0,0.2176021197668817,0.14211402628294176,0.0,0.16767575528283504,0.22564853296144288
x8034y550,0.17241520020619475,0.25926340649070895,0.0,0.004702908688981835,0.0,0.22456606462601794,0.0,0.13088456757900455,0.0,0.08768209783277485,0.0,0.12048575457631701
x8534y550,0.1772973331847554,0.0,0.009546098687025899,0.02393563797769037,0.03881000899589179,0.183454708852059,0.08255925228292339,0.2577293238228379,0.03669105210862254,0.08348190278381491,0.0,0.10649468130437872
x9034y550,0.06862486030500733,0.032581856024503045,0.07649557219137954,0.003139757777433882,0.14614286791774117,0.20710410547811656,0.008378546038572472,0.15232693495686625,0.0372937694674569,0.03947816365424103,0.08756885687773128,0.14086470931095052
x9534y550,0.05688825173846873,0.0,0.014259471950104232,0.004734149680945564,0.10140561304333094,0.1999686941100291,0.017586247967619654,0.13324980961383734,0.07411014306290245,0.032353320507693975,0.14952786309406627,0.21591643523100182
x10034y550,0.23012634367219192,0.0,0.0397359724108287,0.05778078963917623,0.05636762764069956,0.16403903191068553,0.009272137567426036,0.14472374815410766,0.0,0.1608473183282181,0.13710703067666621,0.0
