,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.26191006954342005,0.0,0.03459767140775029,0.0,0.09517540791116436,0.0,0.0,0.2526785086098776,0.13249324138097096,0.0,0.22314510114681677,0.0
x534y50,0.8660381573000305,0.0,0.031070219469753302,0.0,0.0,0.0,0.0,0.06012135815562486,0.015191505460108418,0.02757875961448297,0.0,0.0
x1034y50,0.5926957734451094,0.0,0.08969403462784718,0.0,0.0,0.22906763170271893,0.0,0.0,0.0,0.0,0.08854256022432455,0.0
x1534y50,0.6937880561484016,0.0,0.0,0.0,0.0,0.0,0.22648189105635178,0.0,0.0797300527952468,0.0,0.0,0.0
x2034y50,0.820109403611482,0.0,0.0,0.0,0.0,0.008625906651329021,0.0,0.0,0.08396948536878168,0.0,0.06525904386259997,0.022036160505807388
x3034y50,0.015613635659961982,0.1273977837156076,0.5540873109885844,0.0,0.0,0.0671156915650825,0.0,0.0,0.0,0.23578557807076334,0.0,0.0
x34y550,0.0,0.16725981350603653,0.12003200289072127,0.6140462565900168,0.0,0.0,0.0,0.017724191673853754,0.04019262402730492,0.04074511131206681,0.0,0.0
x534y550,0.0035689617507356727,0.0,0.0,0.0,0.7067426578147721,0.2734951821938367,0.016193198240655526,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0022608562060242444,0.0,0.0,0.0,0.0,0.0,0.0,0.79275224163516,0.0543313052129001,0.0,0.15065559694591563,0.0
x2534y550,0.5433898591631476,0.0,0.0,0.0,0.0,0.0,0.0,0.4447360216248373,0.0,0.0,0.0,0.011874119212015031
x4534y550,0.6681898457557468,0.050986787612988894,0.0,0.0,0.06844464296149241,0.012476844917230117,0.0,0.0,0.031238710234577714,0.07541458021514005,0.0,0.09324858830282395
x5534y550,0.37511776400401403,0.0,0.0,0.0,0.0,0.0,0.01742951486945832,0.6074527211265276,0.0,0.0,0.0,0.0
x6034y550,0.011591308391611812,0.0,0.9276796044741904,0.013764366803382519,0.0,0.0,0.0,0.0,0.0,0.0,0.04696472033081521,0.0
x7034y550,0.018709867116156305,0.020862062936029015,0.17972929909631905,0.47718976913114675,0.0,0.0,0.0,0.03390810557109326,0.18350817338898012,0.0,0.0,0.08609272276027558
x8034y550,0.1266056671553184,0.6250021903645946,0.0,0.0,0.07640902696962996,0.09570197146703291,0.0,0.0160046212441768,0.0,0.0,0.06027652279924749,0.0
x8534y550,0.16413703059152257,0.07794408099881327,0.023537434640802313,0.0,0.18271009716236877,0.2237727284319463,0.0,0.08621121787943317,0.09500953200836758,0.14667787828674608,0.0,0.0
x9034y550,0.0,0.008334121034179303,0.13095578502176747,0.0,0.613043068371164,0.04299300228057736,0.0,0.15668745526394448,0.04798656802836748,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.39150072500409877,0.2813500208955326,0.0,0.19703301793726177,0.02595508032755195,0.0,0.10416115583555494,0.0
x10034y550,0.23381655552803915,0.14208088227996576,0.20733654182692218,0.31791719048127975,0.05146967180408538,0.0,0.0,0.0,0.04737915807970775,0.0,0.0,0.0
x34y1050,0.019762114535174746,0.0,0.0,0.0,0.5554663160489285,0.22498099127160834,0.02839991641657326,0.12743322787523564,0.0,0.0,0.04395743385247931,0.0
x1034y1050,0.5631048502260524,0.0,0.0,0.0,0.0,0.0,0.0,0.044480942282340626,0.08546339760583181,0.08664112297027536,0.22030968691549987,0.0
x1534y1050,0.0,0.0,0.10313209989552342,0.0,0.3925816115058511,0.0,0.05487047595139705,0.0,0.0,0.0,0.44941581264722846,0.0
x2034y1050,0.4742929499033041,0.09342030826096102,0.0,0.08645473824354118,0.0,0.0,0.0,0.1572938625516221,0.0,0.0,0.0,0.1885381410405716
x3034y1050,0.14612063738420722,0.07651639191271405,0.754443845765019,0.0,0.0,0.0,0.0,0.0,0.0,0.02291912493805955,0.0,0.0
x3534y1050,0.6455712974416394,0.03491870659345466,0.08066356793322016,0.0,0.023232411813981828,0.0,0.0644188005962976,0.0,0.0,0.0,0.1511952156214063,0.0
x4534y1050,0.0,0.41743838344569734,0.0,0.0,0.1647204121895187,0.07791116175370107,0.17097462642249694,0.037255639436278014,0.0,0.0,0.13169977675230787,0.0
x5034y1050,0.7147778153408941,0.0,0.0,0.0,0.0,0.2710818518513254,0.0,0.0,0.0,0.014140332807780478,0.0,0.0
x5534y1050,0.19393617644122815,0.01043711293044017,0.2047837864508263,0.0,0.07939879516506161,0.0,0.0,0.24171141855054712,0.1789651945406567,0.0,0.09076751592124005,0.0
x7034y1050,0.011476635970189032,0.05463005017217891,0.1620057214914993,0.0,0.23379445686692857,0.0,0.22529318682505045,0.0,0.0,0.0,0.31279994867415367,0.0
x7534y1050,0.12045868997678943,0.0,0.017024112673111307,0.0,0.1645317957009455,0.14310607007624773,0.04762367965022699,0.3889583583861998,0.0,0.0,0.11829729353647915,0.0
x8034y1050,0.19385661395729728,0.12269110565813746,0.08171639714839084,0.07142250827643294,0.0,0.11978954685972315,0.0,0.2907590027731246,0.0,0.0,0.11976482532689367,0.0
x8534y1050,0.10597536897731172,0.0125227519573786,0.0,0.7957591819305596,0.04812612070541199,0.0,0.0,1.84715599078037e-10,0.03039876237892467,1.84715599078037e-10,0.0072178136809821596,0.0
x9034y1050,0.6904904245294247,0.0,0.0,0.04493139239985051,0.0,0.11205364371473749,0.0,0.15252453935598742,0.0,0.0,0.0,0.0
