,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.19842496570008414,0.0,0.05490112732822129,0.0,0.0,0.0,0.09028387917685575,0.0,0.2419921328367466,0.0,0.2680041115827803,0.14639378337531192
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9525153671634156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0474846328365844
x3034y50,0.0,0.0,0.8506996647689054,0.0,0.0,0.0,0.02120848840393982,0.0660944599115609,0.0,0.061997386915594005,0.0,0.0
x34y550,0.0,0.21141699453454393,0.0,0.7480330707139284,0.0,0.0,0.040549934751527565,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.8426996646454992,0.15730033535450091,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.8393094531724814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16069054682751865,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5882203874765894,0.0,0.0,0.0,0.051179513161086806,0.0,0.0,0.3606000993623238,0.0,0.0,0.0,0.0
x6034y550,0.0,0.11293820921910881,0.8870617907808912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.06235925532391321,0.5596179423833898,0.0,0.0,0.027023481971585578,0.0,0.0,0.0,0.0,0.35099932032111125
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.1055362908434742,0.0,0.7616805053637578,0.0,0.13278320379276803,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.22388899149283753,0.0,0.527657912739549,0.0,0.033966481139905205,0.03276712480741679,0.0,0.0,0.1817194898202914,0.0
x9534y550,0.0,0.0,0.0,0.0,0.35272956448938503,0.0,0.0,0.0,0.0,0.0,0.6472704355106149,0.0
x10034y550,0.3174756739522135,0.0,0.4046643491440594,0.25707518567889487,0.0,0.0,0.02078479122483221,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.39846821958356426,0.6015317804164357,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.025613461301777978,0.0,0.0,0.0,0.974386538698222,0.0
x2034y1050,0.8200505146075368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799494853924632,0.0
