,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.3409647960839539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34680368155985186,0.0,0.3122315223561943
x534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.9123313357750945,0.0,0.0,0.0,0.0,0.0,0.08766866422490537,0.0,0.0,0.0,0.0,0.0
x3034y50,0.0,0.0,0.9583762979613478,0.0,0.04162370203865225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y550,0.0,0.17864661049794184,0.0,0.38527647044313135,0.0,0.08957865865588914,0.0,0.09416275839450518,0.2523355020085325,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.7382345178269925,0.26176548217300766,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.4417326221984971,0.41340480995460815,0.0,0.0,0.14486256784689483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x4534y550,0.9155724004635959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08442759953640418,0.0,0.0,0.0
x5534y550,0.4105796615153761,0.0,0.0,0.0,0.0,0.0,0.0,0.5894203384846239,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.44949713890666737,0.2790996496528104,0.0,0.0,0.0,0.0,0.2714032114405223,0.0,0.0,0.0
x8034y550,0.0,0.641082278992087,0.0,0.0,0.0,0.12584207406301423,0.23307564694489874,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.7933366565950075,0.0,0.0,0.0,0.0,0.0,0.0,0.20666334340499254,0.0,0.0
x9034y550,0.0,0.0,0.0,0.0,0.7620727577147842,0.0,0.0,0.0,0.0,0.0,0.0,0.2379272422852157
x9534y550,0.0,0.0,0.0,0.0,0.6639180302741544,0.0,0.02901903032756459,0.0,0.0,0.0,0.30706293939828105,0.0
x10034y550,0.0,0.13311422810374088,0.39176282484697045,0.47512294704928865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.42579700607858034,0.5742029939214196,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.7497122202653259,0.19027609309424895,0.0,0.0,0.0,0.0,0.0,0.06001168664042523,0.0,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.14637758291937406,0.0,0.0,0.0,0.853622417080626,0.0
x2034y1050,0.527951450706626,0.0,0.0,0.0,0.0,0.0,0.47204854929337414,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
