,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,eL2/3,eL4,eL5,eL6
x34y50,0.16316311224683,0.157258206915311,0.0348033949581984,0,0,0.206353874133863,0,0,0,0.108327716237486,0.330093695508311
x534y50,0.715192767968151,0,0,0,0.0980294950753912,0,0.045322923508929,0.0624686116127498,0.0534826410543037,0,0.0255035607804758
x1034y50,0.63483610980262,0,0.0478481983543624,0,0.022180443734224,0,0,0.159654652325004,0,0.135480595783789,0
x1534y50,0.733500549916242,0,0,0,0.0512804746373371,0.0233446413005097,0.172093057747852,0,0,0,0.0197812763980594
x2034y50,0.88879614376681,0,0,0,0,0,0,0.11120385623319,0,0,0
x3034y50,0.0286302117131869,0.0177029144902066,0.304029742890079,0,0,0.504958449670661,0,0,0,0.144678681235867,0
x34y550,0.0436649966145393,0.0354299266664859,0.0200470274501154,0.709840041127731,0.0885415149203916,0.0317021994524072,0,0.0707742937683296,0,0,0
x534y550,0.034575652856438,0,0,0,0.588683966203254,0.376740380940308,0,0,0,0,0
x1534y550,0,0,0.0674133266893268,0,0,0.538711679316563,0.0145853130289622,0.0592268198380829,0,0.320062861127065,0
x2534y550,0.637625560388207,0,0.156116908877573,0,0,0.169176783099753,0,0,0,0,0.0370807476344674
x4534y550,0.67930832108719,0,0,0,0.191793442480461,0,0.0214337073231755,0.0299639771357404,0.0426026693706285,0,0.0348978826028049
x5534y550,0.413020328649784,0,0,0,0,0.402844267047211,0.184135404303005,0,0,0,0
x6034y550,0.0106180402814323,0,0.69465738600157,0,0,0.131973378752741,0,0,0,0.162751194964257,0
x7034y550,0.0794643365299836,0.00419026164339556,0.258015531557877,0.247313181380778,0,0,0,0.0981562253054829,0,0.312860463582482,0
x8034y550,0.130826272559178,0.580562681764471,0.0380021339906761,0,0,0.112999330857045,0,0,0,0,0.137609580828631
x8534y550,0.0496122566757899,0,0.0283586978190896,0,0,0.492296068806482,0.31696170452357,0,0.112771272175069,0,0
x9034y550,0,0.117346301809267,0.0805528145701254,0,0.393897238747943,0.390052773622454,0,0,0,0.0181508712502111,0
x9534y550,0,0,0,0,0.348745409147965,0.339892652233446,0.0554708025454415,0,0,0.255891136073147,0
x10034y550,0.433311802275423,0,0.137658504539411,0.245672391820329,0,0.0993151865350376,0,0,0.0132809933090652,0.0314578097936445,0.0393033117270907
x34y1050,0.0186884446228607,0.0762280170419933,0,0,0.381331884809245,0.508680545012343,0,0,0,0.0150711085135582,0
x1034y1050,0.48209539349711,0,0,0,0.0542237089326389,0,0.0112902032262475,0,0.156768574156025,0.295622120187979,0
x1534y1050,0,0.0903578764454001,0.0281167777792375,0,0,0.25579390986202,0,0,0,0.625731435913342,0
x2034y1050,0.637411681927814,0.0371551810604008,0,0.0831668246424596,0,0.0392363678447727,0,0.0280491381700636,0.0182969142474971,0.121075056591039,0.0356088355159538
x3034y1050,0.101251552253962,0,0.873084033758031,0,0,0.00971614942641737,0,0,0.0159482645615895,0,0
x3534y1050,0.695530911927013,0.0817504289102469,0,0,0.0708466199342677,0,0.0197025426691717,0,0.0342252825343591,0,0.097944214024942
x4534y1050,0,0.398916583182873,0,0,0.150131464438902,0.20685398651326,0.147608017736128,0,0,0,0.0964899481288373
x5034y1050,0.661347100430718,0,0,0,0,0.319629633598711,0,0,0.0190232659705714,0,0
x5534y1050,0.146935656275055,0,0.418694647467747,0,0.123325546324889,0.0844653595093253,0,0.134868954127047,0,0.0917098362959367,0
x7034y1050,0.044623284404235,0.170831917260496,0.07709564110172,0,0.0458102018369689,0.102776291222259,0.105535462086897,0,0,0.453327202087424,0
x7534y1050,0.267984373035184,0,0.0715885649261405,0,0,0.4539631156776,0.167020573560093,0,0,0.0394433728009823,0
x8034y1050,0.26979865251491,0.140621764065013,0.0896226104440228,0.0769159164055174,0,0.280069318803636,0,0,0,0.142971737766901,0
x8534y1050,0,0,0,0.940506454770581,0,0.0174460959354246,0,0.0420474492939946,0,0,0
x9034y1050,0.66815295769325,0,0,0.0981769564777074,0,0.233670085829042,0,0,0,0,0
x9534y1050,0.0146646179610954,0.169425655306038,0,0,0,0.809034859367111,0.00687486736575521,0,0,0,0
x10034y1050,0.497867132378213,0,0.287663869896034,0,0,0.188394686374322,0.0260743113514314,0,0,0,0
x10534y1050,0.386733944790978,0,0,0.571855603854834,0,0,0,0,0,0.0414104513541881,0
x34y1550,0.107942952639064,0,0,0.763814897445247,0.0752654852346922,0,0,0,0,0.0529766646809968,0
x534y1550,0,0,0.250880836299135,0.647691679360795,0.0183426512291997,0,0.0830848331108702,0,0,0,0
x1034y1550,0.485192942767986,0,0,0.167074862108531,0.0693746655515139,0,0.278357529571969,0,0,0,0
