,Astro,Endo,High Intronic,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.157161357994545,0.207949425186938,0,0.066626711240336,0,0,0,0,0.28692388517128,0.0975095040497437,0,0.183829116357157,0
x534y50,0.79870671521077,0.0269910304130944,0,0,0,0.0648229203096373,0,0,0.00282849646433439,0,0.0891072669333507,0,0.0175435706688129
x1034y50,0.773127161922861,0,0,0,0,0,0,0,0.0279704059932018,0.14798503078466,0,0.0509174012992766,0
x1534y50,0.697564823468993,0,0,0,0,0,0,0.286924321707244,0.0061983966313458,0.00931245819241642,0,0,0
x2034y50,0.869766558738718,0,0.0256769560659403,0.00611659498957075,0,0,0,0,0,0.0558133566846761,0.0426265335210946,0,0
x3034y50,0.012129376002096,0.0137325072215446,0.104493057170653,0.407325390273264,0.0136748102994847,0.0553439029704605,0.393300956062497,0,0,0,0,0,0
x34y550,0.0467501704265964,0.122125390404873,0.0963002762799858,0,0.642659283517196,0,0,0,0.0137421320049103,0,0,0,0.0784227473664388
x534y550,0,0,0,0,0,0.888050343766599,0,0.0138065517846081,0.0825406069062408,0,0.0156024975425521,0,0
x1534y550,0,0,0,0,0,0,0,0.0539511324235495,0.831705235225338,0.0191592139439452,0,0.0951844184071668,0
x2534y550,0.544553272926482,0,0,0.0337302184598443,0,0,0.138463796758981,0,0.177497621098043,0,0,0,0.105755090756649
x4534y550,0.738818060342221,0.00750873437698064,0.0841476367248532,0.00274540377381789,0,0.0218603077666697,0.0184053473474631,0.00172399695502727,0.0273018797527339,0.0549134204122289,0,0,0.0425752125480044
x5534y550,0.30375471329184,0,0,0,0,0,0,0.0320780865889175,0.61655970527943,0.0191561538311875,0,0.0284513410086252,0
x6034y550,0.0113540924531436,0,0,0.868567072727384,0,0,0.0458682875845174,0,0,0,0.0742105472349552,0,0
x7034y550,0.0372003410410181,0.0352319825900398,0,0.251517104866169,0.26441601899155,0,0,0,0.0555499384407525,0.147593250905266,0,0.104585138016731,0.103906225148473
x8034y550,0.10499811641459,0.650749138610957,0,0,0,0,0.153348170321076,0.0128581669590714,0.0362550463646623,0,0,0,0.0417913613296431
x8534y550,0.252933313358653,0.0577072268802646,0.0460798047649381,0,0,0.126966690521002,0.0246785377905339,0.125393858734187,0.238980286263931,0.04390337321795,0,0,0.0833569084685402
x9034y550,0,0.157029137691966,0,0.300347439905707,0,0.429337849815913,0.02991149352384,0,0.060507340846402,0.0228667382161731,0,0,0
x9534y550,0,0,0,0,0,0.233795716481846,0.234020660024946,0,0.298428865510097,0.040123293997316,0,0.193631463985795,0
x10034y550,0.523570874864204,0.0575974832921823,0.0600917454088689,0.1205357095181,0.152730080420492,0,0,0,0,0,0,0,0.0854741064961534
x34y1050,0.00921541633589107,0,0,0,0,0.561674217142923,0.187514103250253,0.0253151917204376,0.216281071550495,0,0,0,0
x1034y1050,0.502501845218622,0.0407088727191853,0.242659278632039,0,0,0.0283032661623478,0,0.0821867007982256,0.0315108975027152,0.0721291389668643,0,0,0
x1534y1050,0,0.0766271170700334,0,0.0378893068716167,0,0,0.185257351882792,0,0,0,0,0.700226224175558,0
x2034y1050,0.555618169567493,0.0672544847283959,0,0.0371276629243556,0.066119635216634,0.0151206331255938,0.00328700267900652,0,0.0272567718975492,0.0593006922452432,0.111549625776577,0.0573653218391517,0
x3034y1050,0.166713860514107,0,0,0.807068357038872,0,0,0,0,0,0,0.009230864225984,0,0.0169869182210367
x3534y1050,0.669844008094103,0.113752649381573,0,0,0,0,0,0.0328576006947134,0,0,0,0,0.183545741829611
x4534y1050,0,0.436550575781107,0,0,0,0.0628031390976526,0.019624751787375,0.0318594793406815,0.374471415926427,0,0,0,0.0746906380667563
x5034y1050,0.571098725827833,0,0,0,0,0,0.379828163698615,0,0,0,0.0490731104735515,0,0
x5534y1050,0.311656507443904,0,0,0.250277934702121,0.0424445256902152,0.083536283376699,0,0,0.114578226811628,0.0671313590438923,0,0.13037516293154,0
x7034y1050,0,0.153196868424934,0,0.253211790408653,0,0.0535065629486023,0.127395973454449,0,0,0,0,0.412688804763362,0
x7534y1050,0,0.0740038109697589,0,0.0484831321099869,0,0,0.154223234155565,0.060749532017023,0.527046685927522,0,0,0.135493604820144,0
x8034y1050,0.155958200356002,0.229927278804943,0,0.030521329225475,0,0,0.0454025808190563,0,0.284813639091276,0,0,0.253376971703247,0
x8534y1050,0.00612909108022011,0.0689359181131534,0,0,0.76998253266836,0.109881620712268,0,0.0111937573529475,0.033877080073051,0,0,0,0
x9034y1050,0.651137433954381,0,0,0,0,0,0.138308917128314,0,0.210553648917305,0,0,0,0
x9534y1050,0.00571990545096996,0.00759879503378928,0,0,0,0.140782656835429,0.410444026877063,0.0051043614024868,0.421367651846668,0,0,0,0.00898260255359324
x10034y1050,0.498320087037837,0,0,0,0,0.0276275639131168,0,0,0.474052349049046,0,0,0,0
x10534y1050,0.231372067534978,0.0193190300150806,0,0,0.553961295147514,0.0786937390240438,0.0181302465273036,0,0.046943121907858,0.0185795656799109,0,0.0330009341633112,0
x34y1550,0.0988086506466994,0.064264225879848,0.0385759322978399,0,0.56610841002007,0.0809799402829647,0.119175542771629,0,0,0,0,0.0320872981009485,0
x534y1550,0,0,0,0.211534376484821,0.624781293081021,0,0,0,0.163684330434157,0,0,0,0
x1034y1550,0.431672162568854,0,0,0,0.281075235446825,0,0.108560960773161,0.154289379314439,0.0244022618967206,0,0,0,0
x2034y1550,0.0593462818731699,0.842516419794497,0,0,0,0.0721243187122653,0,0.00398653755583676,0,0.0220264420642314,0,0,0
x4534y1550,0.358483943688515,0,0,0,0.0451762167514169,0,0.275349792956315,0.161901950643362,0.159088095960391,0,0,0,0
x5034y1550,0.834795666842641,0,0,0.0265666161772839,0.00733479404962564,0,0,0.062499947544349,0.0688029753861008,0,0,0,0
x5534y1550,0.135768782775111,0.0506372509195023,0,0,0.347626840923437,0,0.369491817146917,0,0.0964753082350327,0,0,0,0
x6034y1550,0,0.0723069188800438,0,0,0.542222478345615,0.152491935538849,0,0,0.232978667235492,0,0,0,0
x6534y1550,0.323155484683016,0,0,0,0.445152500098265,0,0.0746674523728375,0.135964431978242,0.0210601308676391,0,0,0,0
x7034y1550,0,0.0291900781156376,0,0.0551997737773229,0.67675842074105,0,0.0885339025403439,0.0281893497077331,0.122128475117913,0,0,0,0
x7534y1550,0.656761987114235,0,0,0,0.27821168903008,0,0,0.029219978812399,0,0,0,0.0358063450432856,0
x8034y1550,0.826820236395464,0.160384977266806,0,0,0,0,0,0,0,0,0,0,0.01279478633773
x8534y1550,0.016136222660548,0,0,0.159606821587762,0.666491327215394,0.0341025761352497,0,0.0404340052398252,0.0217481891475549,0.0264816255620119,0,0.0349992324516545,0
x9034y1550,0.147367591323621,0.265598767183548,0,0,0.490629827254044,0,0,0.0882550096542088,0.00814880458457801,0,0,0,0
x9534y1550,0.216893290996824,0.110442020203619,0,0.0796991444473241,0.422865873207412,0.0453631890391111,0.0879618718968696,0,0,0,0,0,0.0367746102088403
x10034y1550,0,0.204668311948004,0,0,0.588577133675948,0.0196703924812257,0.0106540598693504,0.0307665883122459,0.00617393462885952,0,0,0.0764347843303808,0.0630547947539858
x10534y1550,0,0,0,0,0.709808864606381,0.162785155700463,0,0.108424667721591,0,0,0,0.0189813119715655,0
x34y2050,0.0280727387929024,0.0713451189018402,0.0137902228400626,0,0.706721724548094,0.0208917366846605,0,0.148867469551855,0,0.0103109886805859,0,0,0
x534y2050,0,0.268562851812973,0,0,0.727091758491982,0,0.00434538969504555,0,0,0,0,0,0
x1034y2050,0.257981649214586,0,0,0,0.301354281833496,0,0.187159940669149,0.109180796073867,0.144323332208902,0,0,0,0
x1534y2050,0,0,0,0,0.179110963379521,0.094132913345861,0.241998252192616,0.0263362624094009,0.458421608672601,0,0,0,0
x5034y2050,0.474223676731812,0.0418785182040727,0,0,0.291355106807633,0.11154897451872,0,0.0268521769259621,0.0308600459176881,0,0,0.0232815008941121,0
x5534y2050,0.0175582491411985,0,0,0,0.913114703176497,0,0,0.0693270476823043,0,0,0,0,0
x6034y2050,0.286495922284379,0,0,0.0547622042733311,0.446377953198877,0,0.143638143911034,0,0.0687257763323793,0,0,0,0
x6534y2050,0.361333999217191,0.0219579470104826,0.0708854415409435,0,0.032983165559789,0,0,0.403708693298149,0.0472908328392089,0,0,0,0.0618399205342356
x7034y2050,0,0,0,0.266752994664297,0.687583458830192,0,0,0,0.0100782733426546,0,0.0355852731628564,0,0
x7534y2050,0.119218726146723,0.0276378748016804,0,0,0.320188785863166,0.028065999764238,0,0,0.386828002784203,0,0.0164182019312547,0.101642408708735,0
x8034y2050,0.212812070980556,0.185200698961717,0,0.0724270912428052,0.465918121779878,0.0200525675035068,0,0,0.0435894495315377,0,0,0,0
x8534y2050,0.622930916813954,0.0410111282658981,0,0,0.32884865147664,0,0,0.0061715749468925,0.00103772849661506,0,0,0,0
x9034y2050,0,0,0.0849728480672358,0.023039762703185,0.81570623511634,0,0.0441884860297336,0,0.0320926680835062,0,0,0,0
x9534y2050,0,0,0,0,0.881679341083562,0,0,0.118320658916438,0,0,0,0,0
x10034y2050,0,0.0631420553020889,0,0,0.724393655152915,0.0950092941416244,0,0.0320066522934494,0.0854483431099224,0,0,0,0
x10534y2050,0,0.0125355981381688,0,0.0480584778401823,0.751847654724809,0.0580229182107514,0,0.129535351086089,0,0,0,0,0
x34y2550,0,0,0,0.197731567171377,0.694627590712723,0,0,0,0.107640842115899,0,0,0,0
x534y2550,0.00922936432688572,0.0384206414306228,0,0,0.735954469729134,0.0985760467184554,0,0.0181388757880899,0.099680602006812,0,0,0,0
x1034y2550,0.0504106372585333,0,0,0.0866102602322076,0.780896218095983,0,0.0475506963872742,0.0345321880260021,0,0,0,0,0
x1534y2550,0,0.0543787560562609,0,0,0.630662536886213,0,0.0804739769454939,0.214108841129813,0.0203758889822194,0,0,0,0
x2034y2550,0,0,0.0204784025526082,0,0.727246819064208,0.0840084222274048,0.0440587036102923,0.124207652545487,0,0,0,0,0
x2534y2550,0.386993249002024,0.215748955406958,0,0,0.127632184111763,0,0,0.0758161788208268,0.157881654274341,0,0,0.0359277783840866,0
x3034y2550,0.385470005446062,0,0,0.0990529971202924,0,0.241478257526278,0,0,0,0.0314768673820928,0,0.242521872525274,0
x4534y2550,0,0,0,0,0.854374668962009,0,0,0,0.13334044567575,0.0122848853622408,0,0,0
x5034y2550,0.0479908269292546,0,0,0.421834789635419,0.217059286616992,0.0618913102258385,0,0.064604090360993,0.129422802295408,0.0571968939360938,0,0,0
x5534y2550,0,0,0.0271387854299665,0,0.62778112662205,0.101269058239551,0,0.0595547353241431,0.116784446691629,0.0274713551040536,0,0.0400004925886063,0
x6034y2550,0.205013811099287,0.0504174007695151,0,0.137461475573789,0.406657609275787,0,0.0582757172839693,0.142173985997652,0,0,0,0,0
x6534y2550,0,1.63964883949695e-10,0,0.0374379634968325,0.511256059318099,0.0983537642255978,0,0.201616231831278,0.151335980964227,0,0,0,0
x7034y2550,0,0,0,0.117226369519626,0.545876205498689,0,0,0,0.336897424981685,0,0,0,0
x7534y2550,0.0282910100960752,0,0,0.083691254814797,0.806019619434065,0.0136566591290149,0,0.0683414565260478,0,0,0,0,0
x8034y2550,0.0113449628222097,0.0286040305371005,0,0,0.589210663795199,0.0267848832741605,0,0.140299025244805,0.0192113694143877,0,0,0.184545064912137,0
x8534y2550,0,0,0,0,0.919498726136435,0,0,0.0176657878560462,0.0119054291668554,0,0,0.0509300568406629,0
x9034y2550,0,0,0,0.127207009664389,0.754498082630074,0.0528266295932791,0,0,0,0,0,0,0.0654682781122582
x9534y2550,0,0,0,0,0.946707167557612,0,0.0349040708554211,0.0183887615869664,0,0,0,0,0
x10034y2550,0,0.130424350611086,0,0,0.858339066996528,0.0112365823923864,0,0,0,0,0,0,0
x10534y2550,0,0.0222397073527691,0,0,0.76217490629085,0.19830296758908,0,0.00949553226268226,0.00778688650461885,0,0,0,0
x34y3050,0,0,0,0.0484283228626678,0.296139736039358,0.210995926563288,0,0.130373586571922,0.0329533548418485,0.0677308930190024,0,0.213378180101913,0
x534y3050,0,0,0,0,0.846874851169711,0.0256836559393374,0,0.103282578270023,0.00889762202902682,0.0152612925919022,0,0,0
x1034y3050,0,0,0,0,0.911726504727088,0.0118553561861145,0,0.0538167580364057,0.0226013810503923,0,0,0,0
x1534y3050,0,0.0119403348167774,0,0.0558214036503642,0.722855736353088,0.0275805251801391,0,0.0933298513115776,0.088472148688054,0,0,0,0
x2034y3050,0,0.193654781881946,0,0,0.761664741428027,0,0,0.0446804766900273,0,0,0,0,0
x2534y3050,0,0,0,0.120115481321686,0.708941812810559,0.038998425395956,0.0218790872145476,0.0773152772795443,0.0327499159777071,0,0,0,0
x3034y3050,0.0170747694675396,0,0,0,0.750247213282378,0.055016230004928,0.0227891086298565,0,0.110522207213108,0.0443504714021903,0,0,0
x3534y3050,0.0176988171058086,0,0,0,0.21172603007672,0.0638658942405966,0.46638507683324,0.218552952362026,0,0.021771229381609,0,0,0
x4534y3050,0.061297187100912,0,0,0.0672476940496205,0.726168686644365,0,0,0.0725004558721548,0.0727859763329476,0,0,0,0
x5034y3050,0.405407768484678,0,0,0,0.410574350790441,0,0.150196624368871,0.0338212563560094,0,0,0,0,0
x5534y3050,0,0,0,0.187916610801405,0.751100595016316,0,0,0.060982794182279,0,0,0,0,0
x6034y3050,0.757136891965699,1.65064686177668e-10,0,0,0.0244095303879394,0,0,0.218453577481297,0,0,0,0,0
x6534y3050,0,0,0,0.0423078782449039,0.749917424254773,0.0339978230487887,0.0202850562891423,0.0953506500704515,0,0,0,0.0581411680919406,0
x7034y3050,0.0634408845141482,0.0228881908517554,0,0.182814886271747,0.605612925796932,0.0395822728729991,0,0.0856608396924178,0,0,0,0,0
x7534y3050,0.369068610886204,0,0,0,0.475210290963457,0.0599966523576176,0,0.0520437447972084,0.010334536606703,0,0,0.0333461643888097,0
x8034y3050,0.0778031757386465,0,0,0,0.461060645802258,0,0.0569351051521716,0.308570004205445,0.0956310691014784,0,0,0,0
x8534y3050,0,0.0621982839137412,0,0.136649460160344,0.358337090322683,0,0,0,0,0,0,0.199651491967405,0.243163673635826
x9034y3050,0,0.143284646813609,0,0.132041824313944,0.107872927295473,0,0,0.177449233893699,0.0636751773650535,0,0,0.190297765126463,0.185378425191759
x9534y3050,0,0.174278517170987,0.203164456928203,0.0899055894377924,0.12134408082655,0,0,0,0,0,0,0,0.411307355636468
x10034y3050,0.00899220245382806,0.169171263351865,0,0,0.0140723265806774,0,0,0,0.24382817543018,0,0,0.155024759234484,0.408911272948965
x10534y3050,0,0,0,0,0.0456570953019162,0,0.0491128501428745,0,0,0,0,0.228145775345271,0.677084279209938
x34y3550,0,0.138694681257102,0,0,0,0,0,0.0437595224586705,0,0,0,0.247761639595941,0.569784156688286
x534y3550,0.415637635233234,0.239037921007516,0,0,0.289341838865109,0,0,0.0491673509489001,0.00681525394524087,0,0,0,0
x1034y3550,0,0,0,0,0.869119839015555,0,0.113781328268029,0,0.0170988327164153,0,0,0,0
x1534y3550,0.174442979927876,0,0,0,0.579259483048516,0,0.0539319744151067,0.184906154583747,0.00745940802475424,0,0,0,0
x2034y3550,0.054101340504059,0,0,0,0.737248818677724,0.0988807167547356,0,0.0753909846880888,0.0343781393753928,0,0,0,0
x2534y3550,0.00625716449736949,0.122612190909887,0,0,0.804089597685764,0,0,0,0.0670410469069797,0,0,0,0
x3034y3550,0.0663052072839442,0.190775253541028,0,0,0.343216584259314,0,0,0.399702954915714,0,0,0,0,0
x3534y3550,0.304727121769289,0.280351643383149,0,1.51847654252903e-10,0.318321546474665,0.0595604477399751,0,0,0,0.00170083970639484,0,0,0.03533840077468
x4534y3550,0,0,0,0.0840785422217768,0,0.138907034286658,0,0.0624580650205327,0.274768759996867,0,0,0,0.439787598474166
x5034y3550,0,0.109563301877144,0,0,0,0.11132066242938,0.446758764955198,0.0807748895257014,0.251582381212576,0,0,0,0
x5534y3550,0.0747880795544976,0,0,0,0.0217018393657639,0,0,0.438632242908997,0.19668592900138,0,0,0,0.268191909169362
x6034y3550,0,0.0260412521598989,0,0,0.0653119339038482,0.0683732662302567,0,0,0.0935716152869559,0,0,0.163766723052777,0.582935209366263
x6534y3550,0,0.250359676076114,0,0.0834116474564584,0,0,0,0.0513388083280223,0.216073397656081,0,0,0,0.398816470483324
x7034y3550,0,0.0302863323610086,0,0.164244593216766,0.130970529051832,0.170397726123941,0,0,0,0,0,0.235625007445647,0.268475811800805
x7534y3550,0,0,0,0.236206451916548,0,0.129295220403072,0,0,0.309709782994645,0,0,0.222297506077189,0.102491038608545
x8034y3550,0.0428874149721481,0.18399315457192,0.135931745015252,0.315395494159833,0,0.0571116212850088,0.0425668591036246,0,0,0,0,0,0.222113710892213
x8534y3550,0,0.074339600603863,0,0.0396304930828067,0,0,0,0.043945973848113,0,0,0,0.575150423731936,0.266933508733281
x9034y3550,0,0,0.0824839113982949,0.164327558272378,0,0,0,0,0,0,0,0.360182286788305,0.393006243541022
x9534y3550,0,0,0,0,0,0.033024655343008,0,0,0.0745427140686507,0,0,0.499613355143086,0.392819275445255
x10034y3550,0,0.0891900733919622,0,0,0,0.15545185492934,0,0,0.452462367102408,0,0,0.0683639487458431,0.234531755830446
x10534y3550,0,0,0,0.0630069059193268,0,0,0.0382205342749154,0.153877836416215,0.0787770528985919,0,0,0,0.666117670490951
x34y4050,0,0.0150082610739269,0,0.0520468716854856,0.00757211419756958,0,0,0.0792856361335115,0.105149306968914,0,0,0.281542732212829,0.459395077727764
x534y4050,0,0,0,0,0,0,0.0227587906928046,0.163357485912459,0.0134271378441078,0,0,0.389786296734165,0.410670288816464
x1034y4050,0.0791130236218553,0.0747829830942228,0,0,0.313631545765382,0,0,0.0959208080491099,0,0,0,0.151504294990955,0.285047344478475
x1534y4050,0.0127810464244751,0.0467407302563094,0,0,0.070602443763474,0,0,0.0872356627159732,0.212466444660551,0,0,0.225974253423745,0.344199418755473
x2034y4050,0.0534818488090118,0,0,0,0.626186703164687,0.0834475961321048,0,0,0,0.0669885072184292,0,0.0243453560482558,0.145549988627511
x2534y4050,0.200523094866167,0.0671231683767751,0,0,0.665511827194352,0,0,0,0.0668419095627065,0,0,0,0
x3034y4050,0.0608760387729298,0.246494207015824,0,0,0.589614906552708,0,0,0.103014847658538,0,0,0,0,0
x3534y4050,0,0,0,0,0.8046680148986,0,0,0.128634404593047,0.0552059937344194,0,0,0.0114915867739333,0
x4534y4050,0.0200295732110713,0.0910230539507304,0.131625017930738,0,0,0,0.00524949955119112,0,0.00343295125156173,0,0,0,0.748639904104707
x5034y4050,0,0.0326306897537069,0.118968099106218,0,0,0,0.0778412696387405,0.178322397777167,0,0,0,0.0972718816653745,0.494965662058793
x5534y4050,0.0691626186467042,0,0,0.136675958925611,0,0.0411375428119173,0,0.0294033604313253,0.106210259230261,0,0,0.171540885951109,0.445869374003072
x6034y4050,0,0,0,0.256737146024898,0,0,0.00986397986170462,0.108446504033166,0.101228095300033,0,0,0,0.523724274780199
x6534y4050,0,0.0160448458491355,0,0.0218879934459697,0,0,0.0453516034802544,0.0309767531287303,0.0583636825814276,0,0,0.312084947777016,0.515290173737467
x7034y4050,0,0,0,0,0,0.142579852769,0.119416867111121,0.0587891885989637,0.311595235940013,0,0,0.367618855580903,0
x7534y4050,0,0.106361154108944,0,0.167208640014261,0,0.0637208681106704,0,0,0.0324312354887594,0,0,0.630278102277365,0
x8034y4050,0,0.103473937183131,0,0.0689443050048831,0,0,0,0.121936689982417,0.131229070696015,0,0,0,0.574415997133553
x8534y4050,0,0.0561412183970595,0,0,0.154418748112555,0,0,0.151479674736092,0.10228790151248,0,0,0.183023762189541,0.352648695052273
x9034y4050,0.163450794817082,0,0,0,0,0,0,0.129319460089824,0.132335077162964,0,0.123501847645919,0.283187003202896,0.168205817081314
x9534y4050,0,0.0774139965259881,0,0,0,0.121993068837643,0,0.051359289948873,0.0971643354198407,0,0,0.382182492490091,0.269886816777563
x10034y4050,0,0.0884307447130767,0,0,0,0.244796939087838,0.0467354543643797,0.0250278350935623,0,0,0,0.291802984959679,0.303206041781465
x10534y4050,0,0,0,0,0,0.299058573275068,0,0.0328039592207838,0.20434004265522,0,0,0,0.463797424848928
x34y4550,0,0,0,0.165832391997425,0.0140738765272774,0,0,0.0490101630236164,0,0,0,0.333038643482294,0.438044924969388
x534y4550,0,0,0.0752679947753523,0,0,0,0,0.0540803107913446,0.0310316025256411,0,0.098971716444491,0.270376691281977,0.470271684181194
x1034y4550,0,0,0,0.190215053402391,0.207123231436972,0.123952688605598,0,0.119965613392114,0.0770501258469115,0.0310670333556656,0.058922388349508,0,0.191703865610841
x1534y4550,0,0.0274361707352944,0,0,0,0,0,0.0571109891221913,0.128057784197584,0,0,0.254110609767936,0.533284446176994
x2034y4550,0,0.0666540334789441,0,0.0816696665497809,0,0,0,0,0,0,0,0.409906669856676,0.441769630114599
x2534y4550,0,0.0976321265782123,0,0,0.154639452293809,0,0,0,0.213186031985187,0,0,0.534542389142791,0
x3034y4550,0.435368772219354,0.102407174525875,0,0.0383412960040788,0.319044989388621,0.0281317022972297,0.0216038152171957,0,0,0,0,0.0551022503476465,0
x4534y4550,0,0,0,0,0,0,0.0277806233313632,0.012430650575405,0.18015347125625,0,0,0,0.779635254836982
x5034y4550,0,0.101049740046746,0,0,0,0,0.0155226534596336,0,0.174402711434319,0,0,0,0.709024895059301
x5534y4550,0,0,0.0700400966006406,0.0475001295531569,0,0,0,0,0.343958148336338,0,0,0,0.538501625509864
x6034y4550,0,0,0,0,0,0.0341702364220693,0,0.174298343911648,0,0,0,0.179719348653464,0.611812071012819
x7034y4550,0.142867023743714,0.350926331440882,0,0,0.00590258609698562,0,0,0,0.107766974359318,0,0,0,0.3925370843591
x8034y4550,0,0.0526708480433285,0,0,0,0.506796872228638,0.0415831736799431,0,0.0428065963317489,0,0,0.148277167079855,0.207865342636487
x8534y4550,0.199635308628693,0,0,0.217680693352382,0,0,0.0405638591774769,0,0.142074010624312,0,0,0,0.400046128217136
x9034y4550,0,0.0788499428317529,0,0.030911534870218,0,0,0,0,0,0,0,0.336806698396579,0.55343182390145
x9534y4550,0,0.0251517070959671,0,0,0,0,0,0.01861293808963,0,0,0,0.297039633146588,0.659195721667814
x10034y4550,0,0,0.0671709583799985,0.264798803635758,0,0,0,0,0.0538581407877771,0,0,0,0.614172097196466
x10534y4550,0,0.0512057965374148,0,0,0,0.0490822283701849,0.0184498144359604,0.0758876568986773,0.0189834357976267,0,0,0.349101195304511,0.437289872655625
x34y5050,0,0.0317531859846855,0,0.0761299994440929,0,0,0,0.106589462144275,0.105608349610815,0,0.171112068560251,0,0.50880693425588
x534y5050,0,0.0670089998103877,0,0,0,0,0.119758605852055,0.00853382898417367,0.246180901076047,0,0,0.132834855152694,0.425682809124642
x1034y5050,0,0.0741597131285474,0.190064948936005,0.0963466426584036,0,0,0,0.0491701640543544,0,0,0,0.23320682732172,0.35705170390097
x1534y5050,0,0,0.203763227533925,0.0310072397950931,0.0232709447003794,0,0,0.023722388216194,0.0924782045700346,0,0,0,0.625757995184374
x2034y5050,0,0,0.148414935034248,0,0.0219772517531875,0.0617874934102228,0,0.174168947892423,0.19655540028977,0,0,0.135288323836679,0.26180764778347
x2534y5050,0,0.0126607723932134,0,0,0.0641894320555611,0,0,0,0,0,0,0.447332415873605,0.475817379677621
x3034y5050,0,0.108918184210675,0,0,0.124511910268158,0,0,0.0408047561215921,0.190347493211468,0,0,0.173356038211885,0.362061617976223
x3534y5050,0,0,0,0.0939405557939096,0.00742349898352375,0,0.0980339694344896,0.0254128376853607,0,0,0,0.284036706186733,0.491152431915984
x4534y5050,0,0,0,0,0.0292933810019727,0.084817823533452,0,0.0411382485415748,0,0,0,0,0.844750546923001
x5034y5050,0,0,0,0,0.0311611445836355,0,0,0.0514550070076047,0.174978416601926,0,0,0,0.742405431806833
x5534y5050,0,0,0.0537866154010273,0,0,0,0,0.138383602928409,0.147445458196613,0,0,0,0.660384323473951
