"","celltype"
"F1S4_161209_001_A01","eL6"
"F1S4_161209_001_B01","eL6"
"F1S4_161209_001_C01","eL6"
"F1S4_161209_001_D01","eL6"
"F1S4_161209_001_E01","eL6"
"F1S4_161209_001_F01","eL6"
"F1S4_161209_001_G01","eL6"
"F1S4_161209_001_H01","eL6"
"F1S4_161209_002_A01","eL6"
"F1S4_161209_002_B01","eL6"
"F1S4_161209_002_C01","eL6"
"F1S4_161209_002_D01","eL6"
"F1S4_161209_002_E01","eL6"
"F1S4_161209_002_F01","eL6"
"F1S4_161209_002_G01","eL6"
"F1S4_161209_002_H01","eL6"
"F1S4_161209_003_A01","eL6"
"F1S4_161209_003_B01","eL6"
"F1S4_161209_003_C01","eL6"
"F1S4_161209_003_D01","eL6"
"F1S4_161209_003_E01","eL6"
"F1S4_161209_003_F01","eL6"
"F1S4_161209_003_G01","eL6"
"F1S4_161209_003_H01","eL6"
"F1S4_161209_004_A01","eL6"
"F1S4_161209_004_B01","eL6"
"F1S4_161209_004_C01","eL6"
"F1S4_161209_004_D01","eL6"
"F1S4_161209_004_E01","eL6"
"F1S4_161209_004_F01","eL6"
"F1S4_161209_004_G01","eL6"
"F1S4_161209_005_A01","eL6"
"F1S4_161209_005_B01","eL6"
"F1S4_161209_005_C01","eL6"
"F1S4_161209_005_D01","eL6"
"F1S4_161209_005_E01","eL6"
"F1S4_161209_005_F01","eL6"
"F1S4_161209_005_H01","eL6"
"F1S4_161209_006_A01","eL6"
"F1S4_161209_006_B01","eL6"
"F1S4_161209_006_C01","eL6"
"F1S4_161209_006_D01","eL6"
"F1S4_161209_006_E01","eL6"
"F1S4_161209_006_F01","eL6"
"F1S4_161209_006_G01","eL6"
"F1S4_161209_006_H01","eL6"
"F1S4_161209_007_A01","eL6"
"F1S4_161209_007_B01","eL6"
"F1S4_161209_007_C01","eL6"
"F1S4_161209_007_D01","eL6"
"F1S4_161209_007_E01","eL6"
"F1S4_161209_007_F01","eL6"
"F1S4_161209_007_G01","eL6"
"F1S4_161209_007_H01","eL6"
"F1S4_161209_008_A01","eL6"
"F1S4_161209_008_B01","eL6"
"F1S4_161209_008_C01","eL6"
"F1S4_161209_008_D01","eL6"
"F1S4_161209_008_E01","eL6"
"F1S4_161209_008_F01","eL6"
"F1S4_161209_008_G01","eL6"
"F1S4_161209_008_H01","eL6"
"F1S4_161209_009_A01","eL6"
"F1S4_161209_009_B01","eL6"
"F1S4_161209_009_C01","eL6"
"F1S4_161209_009_D01","eL6"
"F1S4_161209_009_E01","eL6"
"F1S4_161209_009_F01","eL6"
"F1S4_161209_009_G01","eL6"
"F1S4_161209_009_H01","eL6"
"F1S4_161209_010_A01","eL6"
"F1S4_161209_010_B01","eL6"
"F1S4_161209_010_D01","eL6"
"F1S4_161209_010_E01","eL6"
"F1S4_161209_010_G01","eL6"
"F1S4_161209_010_H01","eL6"
"F1S4_161209_011_A01","eL6"
"F1S4_161209_011_B01","eL6"
"F1S4_161209_011_C01","eL6"
"F1S4_161209_011_D01","eL6"
"F1S4_161209_011_E01","eL6"
"F1S4_161209_011_F01","eL6"
"F1S4_161209_011_G01","eL6"
"F1S4_161209_011_H01","eL6"
"F1S4_161209_012_A01","eL6"
"F1S4_161209_012_B01","eL6"
"F1S4_161209_012_C01","eL6"
"F1S4_161209_012_D01","eL6"
"F1S4_161209_012_E01","eL6"
"F1S4_161209_012_F01","eL6"
"F1S4_161209_012_H01","eL6"
"F1S4_161209_013_E01","eL6"
"F1S4_161209_013_F01","eL6"
"F1S4_161209_013_G01","eL6"
"F1S4_161209_013_H01","eL6"
"F1S4_170426_005_A01","eL6"
"F1S4_170426_005_B01","eL6"
"F1S4_170426_005_C01","eL6"
"F1S4_170426_005_D01","eL6"
"F1S4_170426_005_E01","eL6"
"F1S4_170426_005_F01","eL6"
"F1S4_170426_005_G01","eL6"
"F1S4_170426_005_H01","eL6"
"F1S4_170426_006_A01","eL6"
"F1S4_170426_006_B01","eL6"
"F1S4_170426_006_C01","eL6"
"F1S4_170426_006_D01","eL6"
"F1S4_170426_006_F01","eL6"
"F1S4_170426_006_G01","eL6"
"F1S4_170426_009_H01","eL2/3"
"F1S4_170426_010_C01","eL2/3"
"F1S4_170426_010_G01","eL2/3"
"F1S4_170426_011_B01","eL2/3"
"F1S4_170426_012_G01","eL2/3"
"F1S4_170426_013_C01","eL2/3"
"F1S4_170426_014_A01","eL2/3"
"F1S4_170426_014_D01","eL2/3"
"F1S4_170426_015_A01","eL2/3"
"F1S4_170426_015_F01","eL2/3"
"F1S4_170426_016_F01","eL2/3"
"F1S4_170426_016_H01","eL2/3"
"F1S4_170426_017_D01","eL2/3"
"F1S4_170426_017_E01","eL2/3"
"F1S4_170426_022_B01","eL6"
"F1S4_170426_022_C01","eL6"
"F1S4_170426_022_E01","eL6"
"F1S4_170426_022_F01","eL6"
"F1S4_170426_022_G01","eL6"
"F1S4_170426_022_H01","eL6"
"F1S4_170426_023_A01","eL6"
"F1S4_170426_023_B01","eL6"
"F1S4_170426_023_C01","eL6"
"F1S4_170426_023_D01","eL6"
"F1S4_170426_023_E01","eL6"
"F1S4_170426_023_F01","eL6"
"F1S4_170426_023_G01","eL6"
"F1S4_170426_024_A01","eL6"
"F1S4_170426_024_C01","eL6"
"F1S4_170426_024_D01","eL6"
"F1S4_170426_024_E01","eL6"
"F1S4_170426_024_F01","eL6"
"F1S4_170426_024_G01","eL6"
"F1S4_170426_024_H01","eL6"
"F1S4_170428_001_A01","eL6"
"F1S4_180124_301_C01","eL2/3"
"F1S4_180124_301_D01","eL2/3"
"F1S4_180124_301_G01","eL2/3"
"F1S4_180124_302_A01","eL2/3"
"F1S4_180124_302_D01","eL2/3"
"F1S4_180124_302_E01","eL2/3"
"F1S4_180124_302_G01","eL2/3"
"F1S4_180124_302_H01","eL2/3"
"F1S4_180124_303_A01","eL2/3"
"F1S4_180124_303_E01","eL2/3"
"F1S4_180124_303_F01","eL2/3"
"F1S4_180124_307_C01","eL2/3"
"F1S4_180124_307_E01","eL2/3"
"F1S4_180124_307_F01","eL2/3"
"F1S4_180124_308_H01","eL6"
"F1S4_180124_310_H01","eL2/3"
"F1S4_180124_311_A01","eL2/3"
"F1S4_180124_311_B01","eL2/3"
"F1S4_180124_311_C01","eL2/3"
"F1S4_180124_311_D01","eL2/3"
"F1S4_180124_311_E01","eL2/3"
"F1S4_180124_311_F01","eL2/3"
"F1S4_180124_311_G01","eL2/3"
"F1S4_180124_312_A01","eL2/3"
"F1S4_180124_312_B01","eL2/3"
"F1S4_180124_312_C01","eL2/3"
"F1S4_180124_312_E01","eL2/3"
"F1S4_180124_312_H01","eL2/3"
"F1S4_180124_313_A01","eL2/3"
"F1S4_180124_313_B01","eL2/3"
"F1S4_180124_313_E01","eL2/3"
"F1S4_180124_313_H01","eL2/3"
"F1S4_180124_314_C01","eL2/3"
"F1S4_180124_314_D01","eL2/3"
"F1S4_180124_314_E01","eL2/3"
"F1S4_180124_314_F01","eL2/3"
"F1S4_180124_314_G01","eL2/3"
"F1S4_180124_314_H01","eL2/3"
"F2S4_151217_005_C01","eL4"
"F2S4_151217_005_E01","eL4"
"F2S4_151217_005_F01","eL4"
"F2S4_151217_005_G01","eL4"
"F2S4_151217_005_H01","eL4"
"F2S4_151217_006_A01","eL4"
"F2S4_151217_006_C01","eL2/3"
"F2S4_151217_006_D01","eL4"
"F2S4_151217_006_E01","eL4"
"F2S4_151217_006_F01","eL4"
"F2S4_151217_006_G01","eL4"
"F2S4_151217_007_A01","eL2/3"
"F2S4_151217_007_B01","eL4"
"F2S4_151217_007_C01","eL4"
"F2S4_151217_007_D01","eL4"
"F2S4_151217_007_E01","eL4"
"F2S4_151217_007_F01","eL4"
"F2S4_151217_007_G01","eL4"
"F2S4_151217_007_H01","eL4"
"F2S4_151217_008_A01","eL4"
"F2S4_151217_008_B01","eL4"
"F2S4_151217_008_C01","eL4"
"F2S4_151217_008_E01","eL4"
"F2S4_151217_008_F01","eL4"
"F2S4_151217_008_G01","eL4"
"F2S4_151217_008_H01","eL4"
"F2S4_151217_009_A01","eL5"
"F2S4_151217_009_D01","eL5"
"F2S4_151217_010_B01","eL5"
"F2S4_151217_010_C01","Oligo"
"F2S4_151217_010_D01","eL4"
"F2S4_151217_010_F01","eL5"
"F2S4_151217_010_G01","eL5"
"F2S4_151217_011_A01","eL6"
"F2S4_151217_011_B01","eL2/3"
"F2S4_151217_011_C01","eL6"
"F2S4_151217_011_D01","eL6"
"F2S4_151217_011_E01","eL6"
"F2S4_151217_011_G01","eL6"
"F2S4_151217_012_A01","eL6"
"F2S4_151217_012_C01","eL6"
"F2S4_151217_012_D01","eL6"
"F2S4_151217_012_E01","eL6"
"F2S4_151217_012_F01","Oligo"
"F2S4_151217_012_G01","eL5"
"F2S4_151217_012_H01","eL5"
"F2S4_151217_013_B01","eL6"
"F2S4_151217_013_C01","eL6"
"F2S4_151217_013_D01","eL6"
"F2S4_151217_013_F01","eL6"
"F2S4_151217_013_G01","eL5"
"F2S4_151217_013_H01","eL6"
"F2S4_151217_014_A01","eL6"
"F2S4_151217_014_B01","eL6"
"F2S4_151217_014_C01","eL6"
"F2S4_151217_014_D01","eL6"
"F2S4_151217_014_E01","Oligo"
"F2S4_151217_014_G01","eL6"
"F2S4_151217_014_H01","eL6"
"F2S4_151223_013_F01","Oligo"
"F2S4_160113_001_A01","eL2/3"
"F2S4_160113_001_B01","eL2/3"
"F2S4_160113_001_C01","eL2/3"
"F2S4_160113_001_D01","eL2/3"
"F2S4_160113_001_E01","eL2/3"
"F2S4_160113_001_G01","eL2/3"
"F2S4_160113_002_A01","eL2/3"
"F2S4_160113_002_B01","eL2/3"
