,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.06123865787693101,0.0,0.04937394268644188,0.008928378733932419,0.0,0.2353829362397417,0.01999847730330412,0.13351647282745177,0.11009207318117638,0.05472626288322119,0.17539794585324078,0.1513448524145588
x534y50,0.24633354959002549,0.01940752379280435,0.043416830690601024,0.0,0.09417990157741432,0.1654967664513516,0.013370321365434153,0.15069674380724052,0.0,0.0990139248357898,0.10211499073224928,0.06596944715708936
x1034y50,0.23065247412912362,0.0,0.02118622462331103,0.0,0.0,0.2534925827765439,0.02596041522469915,0.15752395609645906,0.1846743878612933,0.0,0.12650995928856992,0.0
x1534y50,0.21209828375370574,0.007363309605851618,0.014521710600931619,0.0016925692815891974,0.0,0.31371733381395345,0.04014958654345146,0.13537256396562294,0.1748400403299447,0.0,0.0,0.10024460210494932
x2034y50,0.20670174269044014,0.0,0.022631039042911087,0.0055033068548255995,0.04382928942696418,0.1947469153118929,0.014869577172819417,0.09999634199748951,0.10946429723099046,0.04540599375041145,0.12759023709694878,0.1292612594243065
x3034y50,0.050320843882499494,0.03702450666854466,0.12133367462791443,0.0,0.0,0.40577484047712153,0.0,0.125480769733538,0.0,0.07951240771275989,0.0,0.18055295689762202
x34y550,0.03341687031476318,0.10317412529622487,0.0,0.15690532962814674,0.0,0.35467378159230606,0.0029513556325161594,0.11352798700838727,0.1262335494993555,0.0,0.1091170010283002,0.0
x534y550,0.028013501548799613,0.0029821967397395998,0.0,0.003174023029680143,0.1862336050311355,0.38116534347838565,0.01106859189954465,0.1048005203031327,0.06327456826926128,0.06245945910342991,0.09665210335808122,0.06017608723880973
x1534y550,0.024753064537477523,0.0,0.010199884927584927,0.0,0.0,0.3681901149575591,0.018682533302643547,0.2398299217411461,0.05138242203206162,0.05293610371904544,0.15637092898000743,0.07765502580247421
x2534y550,0.1544778468259942,0.007421704145044979,0.05202453460728523,0.0033315781681010114,0.0,0.27870148307442183,0.0,0.17637086127853938,0.1314674228892672,0.032398606540267334,0.0,0.16380596247107881
x4534y550,0.1924826802859888,0.0,0.03418021521002323,0.0,0.04089064118298098,0.3003057137490651,0.0,0.090568541913662,0.054371516224311675,0.10454505073933401,0.0,0.1826556406946342
x5534y550,0.11310602611325345,0.0,0.0,0.0017912119320175313,0.031225270398265642,0.3480478266865939,0.02395867193324171,0.24693821981136485,0.05606705904565222,0.03954999944232317,0.13931571463728767,0.0
x6034y550,0.06401921166678526,0.02036888853069416,0.23919518719651764,0.0,0.0,0.36326400272595083,0.04151428244551847,0.0,0.0,0.0,0.1757080555756973,0.09593037185883639
x7034y550,0.02863408734995822,0.0,0.042645126993101655,0.07416857643127361,0.025330489917455155,0.19584570692134406,0.0,0.20582890956316138,0.14747115116877,0.0,0.21307034748990922,0.06700560416502677
x8034y550,0.08687262479050548,0.17905096880331606,0.044736551046873185,0.0030916622753071224,0.0,0.3110829693702978,0.0,0.13131061012644982,0.0,0.0,0.0,0.24385461358725055
x8534y550,0.06888450707224454,0.0,0.021976297304499945,0.010965400672841033,0.0,0.34442104125213563,0.05477819980071501,0.22669898284389686,0.09659070196809875,0.049838883951051814,0.0,0.12584598513451659
x9034y550,0.0397432322829617,0.012740216158210724,0.07608131839711768,0.0024193150555994625,0.07815437045750663,0.3381112996835473,0.008381144057056296,0.10942673568127591,0.06214862109108638,0.0,0.12845988049028906,0.1443338666453489
x9534y550,0.025520201619733097,0.0,0.018913349723669984,0.003550634159609528,0.04573495699165911,0.3597730344674001,0.01615324427909609,0.12645434556256502,0.0823454936542597,0.02564781692014617,0.13563183239014412,0.16027509023171713
x10034y550,0.0887191506710997,0.0,0.04437723496936348,0.040166187352203085,0.024737041689610953,0.36680181774131465,0.006325237565900857,0.12177475720792344,0.07096682547022348,0.0664354116432343,0.1696963356891262,0.0
x34y1050,0.054355499480561814,0.01866436345996114,0.0,0.0014080022828347467,0.15913294013082738,0.5362501400016387,0.00715674985828903,0.1605378442625427,0.04419041176134542,0.0,0.0,0.018304048761999103
x1034y1050,0.14328682463322925,0.0,0.0,0.006996524587324741,0.0,0.19819385652385554,0.028614396325925148,0.14272967175738718,0.0,0.12440906744563371,0.25169262226585704,0.10407703646078736
x1534y1050,0.028968416533997485,0.0,0.020307694108900185,0.003033834604270629,0.01441955325279902,0.2598143998768549,0.019240557282104862,0.09707291011663872,0.05008771789234946,0.06177052367641402,0.3288809756824115,0.11640341697325927
x2034y1050,0.13238004237348958,0.015565718705020513,0.0,0.004527773885091364,0.0,0.21787198108541778,0.006699559599639621,0.1697529262206132,0.12129657954655848,0.06969297153062971,0.2622124470535398,0.0
x3034y1050,0.09176958508455577,0.0,0.30166180815730237,0.002552823071856067,0.0,0.2604329020303139,0.0,0.0,0.09268866715740778,0.0856653716493193,0.0,0.1652288428492447
x3534y1050,0.13642103135254655,0.02412695334138758,0.042013672669117264,0.0,0.029082277174915846,0.25869536936718823,0.021294103763327046,0.10050792120296034,0.11198931822472735,0.09265087110568661,0.0,0.18321848179814315
x4534y1050,0.05619895261411471,0.03568046447794763,0.018341504775961862,0.008591326060848087,0.0,0.3693527357206132,0.036306301564991705,0.13082044978309,0.08774731691492524,0.0,0.1358438689801338,0.12111707910737396
x5034y1050,0.162671869551789,0.00453948060484902,0.04045542010042426,0.0,0.0,0.32368223936172424,0.00531917760651869,0.09797194995956739,0.09454052977755732,0.0827183852516668,0.10278491051459761,0.08531603727130586
x5534y1050,0.09875648190487911,0.01098711064927319,0.0814043712018955,0.00601271622221289,0.05331877298809548,0.28778186897569324,0.0,0.1319810596525186,0.05775331468165985,0.0,0.2100980225540923,0.061906281169679805
x7034y1050,0.03403976665621419,0.010629516727649427,0.07252962789861979,0.0035787115540850184,0.016879393326293176,0.3114260332842579,0.029394254692743642,0.13481729083780042,0.0681144458393959,0.0,0.31859095918294056,0.0
x7534y1050,0.04506757841181549,0.005764831777193147,0.025452310353996324,0.03538531372960605,0.02752324266486258,0.35692118126380207,0.022688838256097084,0.13464847388891482,0.037014488689970065,0.0,0.2405240091018754,0.0690097318618668
x8034y1050,0.06352867178776772,0.0,0.05109048467548604,0.01787095103430108,0.025734295019420872,0.3248769920445162,0.017550431306567905,0.13105599206159088,0.04765304578769277,0.03978252812012443,0.1812497428451245,0.09960686531740763
x8534y1050,0.0464151947715927,0.0,0.021719142170102925,0.13974923061691719,0.0,0.3265288379301647,0.030913095409005897,0.10916020055735831,0.04131312744007304,0.052788548696186564,0.13199724591439316,0.09941537649420559
x9034y1050,0.13174047602939568,0.0,0.023098068874924296,0.02013393999016784,0.03891863535223326,0.33287132136793274,0.01698707526773929,0.13226699708363446,0.0,0.0722862824363187,0.1180661910311426,0.11363101256651122
x9534y1050,0.041466532792385304,0.00904318726715793,0.02460336018597053,0.005755748873063493,0.0,0.5117204602107025,0.00945282941649595,0.18401126525710923,0.12612759519387745,0.0,0.0,0.08781902080323757
x10034y1050,0.09608981790671713,0.009239918582358531,0.03476163024058354,0.032726520915103884,0.0,0.41938448745343626,0.02650977417506023,0.17063557686323744,0.0,0.05604062086176984,0.11674861393617211,0.03786303906556101
x10534y1050,0.09515820675394215,0.009115534658605711,0.027025131046141914,0.08949265553336852,0.02052186713510595,0.31451765844164425,0.02904382364903069,0.12076521204649376,0.09380647139656012,0.020948112365201877,0.1431642456770936,0.03644108129681146
x34y1550,0.07170430876995333,0.0,0.04640134480037664,0.12820679120525655,0.0,0.48781519096271747,0.0020511865227057237,0.06890186922504787,0.0698145528840169,0.07089420038105766,0.054210555248867955,0.0
x534y1550,0.04882588035506365,0.0,0.06881101023371038,0.10931019078210674,0.0,0.44428621180657063,0.015694311001067617,0.16299808553480283,0.039812042670451575,0.05092210929867316,0.05934015831755342,0.0
x1034y1550,0.11377017645616218,0.0,0.028947828082723958,0.049325498236729305,0.0,0.41004713138478927,0.026909610675349804,0.09854973069718352,0.0701326701052397,0.0,0.11556487578180309,0.08675247858001923
x2034y1550,0.060759054244806876,0.16026424953647864,0.022643860962236143,0.017271339595441863,0.052384700656041255,0.24104725491669685,0.011585111868059538,0.1316537073667987,0.06835811812364705,0.026044434881960756,0.13116322814240108,0.07682493970543104
x4534y1550,0.07249505984267424,0.0036560523626240683,0.02454428300641315,0.04613051737436596,0.0,0.3826405266950484,0.029839697308532715,0.13117514901247196,0.048620350633468375,0.06764573072586123,0.11594839422015943,0.07730423881838036
x5034y1550,0.12721083177762801,0.005023926252094874,0.029667221560776447,0.01783841208219473,0.0,0.3346722780246134,0.025843796373323586,0.17740280520056692,0.04247692418553517,0.09367221315236668,0.10975879904213297,0.03643279234876743
x5534y1550,0.06287645392870939,0.0,0.02189591754441946,0.058405855891957556,0.028582616344590635,0.3572466540757339,0.028720842481046237,0.12812266422110186,0.07247995539251098,0.07005224921297418,0.17161679090695586,0.0
x6034y1550,0.03601645548077567,0.0,0.028408894168912527,0.09619217888097498,0.02755920019844224,0.34709631266521723,0.02233199289743339,0.14478554967293947,0.07300385309547902,0.04144079331069627,0.1095960809243422,0.07356868870478725
x6534y1550,0.10924696218936344,0.0,0.03736597241349362,0.08580242078884207,0.0,0.3695830745874889,0.04362975889139223,0.18590309249223796,0.07419425189545183,0.09427446674173008,0.0,0.0
x7034y1550,0.03767217472408396,0.012118897523598014,0.04146506908605248,0.12055590935912627,0.0,0.371209070780243,0.02894516407310677,0.13113602311998165,0.05577864139080107,0.055671646557575276,0.14544740338543152,0.0
x7534y1550,0.11437175813541807,0.004816213128974807,0.0,0.06126581742634749,0.020318434192194555,0.31264872142999,0.015380018666450376,0.1737197398595977,0.0806616325537098,0.0,0.21681766460731722,0.0
x8034y1550,0.15292253263660077,0.017364302362194856,0.046752726410888214,0.026280037704899603,0.015153274467679896,0.2947158801912821,0.02666204500213642,0.11376571329057963,0.06909726062373528,0.0,0.18805834226464913,0.049227885045354164
x8534y1550,0.04760122141720732,0.013074890344390754,0.05598377173197595,0.13468578938010395,0.0,0.37150646370986007,0.03374705684669388,0.13122180359230987,0.0,0.07653463948023792,0.1356443634972203,0.0
x9034y1550,0.06819840014877836,0.021817430220307726,0.0,0.11468166391048057,0.04573052440807873,0.31697853328251757,0.029871387972361524,0.13504086182908598,0.04136412180366527,0.057896016153304086,0.10467358672307105,0.06374747354834906
x9534y1550,0.0877496738493958,0.010047324147111684,0.04603639363741746,0.08743652092754393,0.0,0.37669548699135474,0.008164402461942936,0.10945008450406181,0.05991648399796428,0.0,0.14409415967553355,0.07040946980767393
