,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.14218507564391153,0.0,0.17543417577243386,0.1643429224928476,0.0,0.0161313766960707,0.1071523668943641,0.0,0.18301561596608992,0.0,0.21173846653428227,0.0
x534y50,0.6819124949360598,0.012011781677355934,0.0950943294560943,0.0,0.10491542758725572,0.0,0.0,0.03149946574168851,0.0,0.05574761329491253,0.0,0.018818887306633274
x1034y50,0.578179646575812,0.0,0.0,0.0,0.047800573803393746,0.04840438586707912,0.028751504208751926,0.04854386711149486,0.0,0.10175522605933959,0.14656479637412873,0.0
x1534y50,0.5969299514534786,0.0,0.0,0.009176961639296499,0.026455169531038717,0.0,0.24865345525175453,0.022351011835289075,0.04143719391808384,0.0,0.0549962563710588,0.0
x2034y50,0.6009539189506341,0.0,0.0,0.0,0.04006030910180381,0.0,0.0,0.059048438955215304,0.0,0.10559290557844504,0.0,0.19434442741390162
x3034y50,0.046256786887245105,0.08372301990266365,0.4111684562606448,0.0,0.0,0.15999478479119283,0.0,0.0,0.0,0.17438468170618596,0.1244722704520677,0.0
x34y550,0.020601989690278093,0.3223535135347517,0.09113459835181577,0.4327757143466247,0.0,0.0,0.0,0.05433094792336742,0.04138523781701552,0.03741799833614689,0.0,0.0
x534y550,0.008296225279505208,0.0,0.0,0.0,0.5956282247281743,0.34644652382428087,0.0038764805988797725,0.02810371582823594,0.0,0.01764882974092392,0.0,0.0
x1534y550,0.052033919341099105,0.0,0.0,0.0,0.0,0.0,0.0,0.7616687646091519,0.06620819253250879,0.0,0.1200891235172403,0.0
x2534y550,0.4873975030074917,0.0,0.009730382850619973,0.0,0.0,0.052844885249566126,0.0,0.3265243385598493,0.0,0.0,0.0,0.1235028903324729
x4534y550,0.6802401840957691,0.0,0.019448617237883315,0.01789550650685523,0.10679988562167908,0.007759881903168517,0.016421327335044502,0.010469586428643585,0.0,0.06587509982860983,0.0,0.0750899110423469
x5534y550,0.37782168347710954,0.0,0.03147316388054736,0.0,0.0,0.03521080388344311,0.007826835266474453,0.5476675134924255,0.0,0.0,0.0,0.0
x6034y550,0.0076092125203636425,0.0,0.778619245453995,0.03837349283276082,0.0,0.04880267430594553,0.0,0.0,0.0,0.0,0.058686799241277475,0.06790857564565753
x7034y550,0.057137030069580354,0.0,0.10836281862600763,0.19854609192618547,0.0,0.0,0.0,0.04447423374436015,0.14443891183153493,0.0,0.18604692335926482,0.26099399044306665
x8034y550,0.08994488178115907,0.7511239467309441,0.0,0.0,0.0,0.11277510556615719,0.0286215530737521,0.01753451284798755,0.0,0.0,0.0,0.0
x8534y550,0.17121411829679986,0.0,0.10763218177369116,0.0,0.0,0.0,0.4386546605540445,0.1378722266883513,0.0,0.0,0.0,0.14462681268711305
x9034y550,0.0056099519215542975,0.0,0.3276018466534528,0.0,0.3070012781867077,0.31562636254829035,0.0,0.0,0.0,0.0,0.04416056068999465,0.0
x9534y550,0.028964731463241637,0.0,0.0,0.0,0.1365145494253426,0.5430749760916453,0.0,0.06549170637329414,0.0,0.0,0.09885875614583113,0.12709528050064525
x10034y550,0.3138430089515974,0.0,0.19716106995963442,0.24066296849671792,0.0,0.0,0.0,0.026563098146719703,0.0,0.0,0.0,0.22176985444533057
x34y1050,0.019395016038334652,0.0,0.0,0.0,0.3069046423739792,0.4301664807045554,0.0,0.22741943909290133,0.0,0.016114421790229316,0.0,0.0
x1034y1050,0.45586631034532815,0.21206596688224771,0.0,0.0,0.0,0.0,0.09363062154056999,2.0359870323302576e-10,0.0,0.16829637020303423,0.07014073082522107,0.0
x1534y1050,0.0,0.0,0.14611689768947356,0.0,0.0,0.1825183838262126,0.0,0.0,0.0,0.0,0.6713647184843138,0.0
x2034y1050,0.28377785993485755,0.04456845662137172,0.0,0.11667746985217013,0.04269302927775969,0.0,0.0,0.029719580759180166,0.16931062146438075,0.04767978664952781,0.26557319544075214,0.0
x3034y1050,0.1578348287625555,0.0,0.8421651712374445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.453477353861743,0.23924476113284437,0.0,0.0,0.0,0.0,0.2378917925196249,0.0,0.06938609248578768,0.0,0.0,0.0
x4534y1050,0.02000510521678367,0.4341249755843026,0.0,0.0,0.0,0.3419112095036945,0.0,0.022131555211731633,0.0,0.0,0.18182715448348755,0.0
x5034y1050,0.47072778759274214,0.0,0.08917993378370326,0.0,0.0,0.4272844559269275,0.0,0.0,0.0,0.012807822696627105,0.0,0.0
x5534y1050,0.43987049458124766,0.0,0.3723046075850228,0.0,0.0,0.0,0.012786528007142047,0.08033417440777885,0.023307065802056146,0.0,0.07139712961675244,0.0
x7034y1050,0.00782927774080435,0.01945529391082788,0.38286921674599655,0.0,0.0,0.0,0.060765959336333074,0.0,0.0,0.0,0.529080252266038,0.0
x7534y1050,0.05822069227522122,0.053810692387737113,0.0,0.0,0.0,0.3517572791331424,0.015816419258881678,0.3845921848462768,0.0,0.0,0.13580273209874086,0.0
