,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.1894528688122025,0.0,0.06878908481523265,0.0,0.0,0.0,0.09198358040692828,0.0,0.23719020207919317,0.0,0.24684702976509118,0.16573723412135213
x534y50,0.7742245282885171,0.12624007660319028,0.09953539510829269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1034y50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y50,0.8569672856800435,0.14303271431995646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x2034y50,0.8412893978061992,0.0,0.0,0.0,0.0,0.0,0.02841922040020087,0.0,0.0,0.0,0.0,0.13029138179359998
x3034y50,0.0,0.0,0.8513489739214748,0.0,0.0,0.0,0.02288050252414778,0.06212894127670015,0.0,0.06364158227767733,0.0,0.0
x34y550,0.0,0.25381167669717253,0.0,0.6787913110022022,0.0,0.0,0.06739701230062518,0.0,0.0,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.8036491067697659,0.19635089323023414,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064630508628339,0.0,0.0,0.19353694913716613,0.0
x2534y550,0.8493695492886585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1506304507113415,0.0
x4534y550,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y550,0.5198514651075439,0.0,0.0,0.0,0.07484355359114425,0.0,0.0,0.4053049813013118,0.0,0.0,0.0,0.0
x6034y550,0.0,0.1567402325947206,0.8432597674052793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.0,0.5836050042383902,0.0,0.0,0.03274149942941939,0.0,0.0,0.0,0.0,0.3836534963321903
x8034y550,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y550,0.12970228910496054,0.0,0.690337591639226,0.0,0.17996011925581348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y550,0.0,0.0,0.23600120546834727,0.0,0.4919843842152573,0.0,0.03568664718975869,0.03754183890242966,0.0,0.0,0.19878592422420713,0.0
x9534y550,0.0,0.0,0.0,0.0,0.383170922566865,0.0,0.0,0.0,0.0,0.0,0.6168290774331351,0.0
x10034y550,0.25824110948190826,0.0,0.4259687154217965,0.2847313093386112,0.0,0.0,0.031058865757683962,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.41940465250082376,0.5805953474991763,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1050,0.7323442263116378,0.15586873242668248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11178704126167982,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.032104628029006856,0.0,0.0,0.0,0.9678953719709932,0.0
x2034y1050,0.5308906743901292,0.17791602740998844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911932981998825,0.0
x3034y1050,0.0,0.3602617156081818,0.5987930144074323,0.0,0.0,0.0,0.040945269984386,0.0,0.0,0.0,0.0,0.0
