,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.20496389082741093,0.0,0.0,0.0,0.0,0.0,0.0709567376109981,0.19955696397727377,0.0,0.0,0.5245224075843171,0.0
x534y50,0.5903807415730842,0.0,0.3222347657844573,0.0,0.0,0.0,0.0,0.0,0.0,0.08738449264245855,0.0,0.0
x1034y50,0.6783713273703652,0.0,0.1567109513684586,0.0,0.1307636633350604,0.0,0.0,0.0,0.03415405447879425,3.4473214354845933e-09,0.0,0.0
x1534y50,0.4418464515416959,0.43585352834476304,0.0,0.0,0.0,0.0,0.0,0.0,0.12230002011354106,0.0,0.0,0.0
x2034y50,0.8300495416618251,0.0,0.0,0.0,0.0,0.044598220550127514,0.0,0.12535223778804744,0.0,0.0,0.0,0.0
x3034y50,0.0,0.19820276387674057,0.7073173455795124,0.0,0.05999745507286986,0.0,0.0,0.03448243547087705,0.0,0.0,0.0,0.0
x34y550,0.0,0.11887417654843054,0.0,0.6809987319839922,0.0,0.0,0.0,0.0,0.20012709146757715,0.0,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.827659779652223,0.17234022034777705,0.0,0.0,0.0,0.0,0.0,0.0
x1534y550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
x2534y550,0.40028028785538944,0.4782643587830458,0.0,0.0,0.0,0.0,0.1021145756692153,0.019340777692349553,0.0,0.0,0.0,0.0
x4534y550,0.3549718870088012,0.0,0.0,0.0,0.47966728662557284,0.0,0.0,0.0,0.16536082636562582,0.0,0.0,0.0
x5534y550,0.37927847741248716,0.0,0.0,0.0,0.0,0.0,0.0,0.6207215225875128,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7034y550,0.0,0.0,0.06373732540373436,0.32557990024192557,0.10203150994335669,0.0,0.0,0.25038063906765107,0.25827062534333234,0.0,0.0,0.0
x8034y550,0.0,0.5434386908028869,0.0,0.0,0.06380301430278608,0.0,0.3927582948943271,0.0,0.0,0.0,0.0,0.0
x8534y550,0.0,0.0,0.6634255244394264,0.0,0.0,0.03429576475994214,0.0,0.0,0.0,0.0,0.3022787108006315,0.0
x9034y550,0.0,0.05627868597022168,0.0,0.0,0.7952892061436296,0.0,0.0,0.1484321078861487,0.0,0.0,0.0,0.0
x9534y550,0.0,0.0,0.0,0.0,0.7013807133476573,0.043364379464851326,0.0,0.0,0.0,0.0,0.2552549071874913,0.0
x10034y550,0.09843645963112051,0.0,0.24088068485608427,0.6606828555127952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y1050,0.0,0.0,0.0,0.0,0.0,0.9999999961996666,0.0,3.8003332764988e-09,0.0,0.0,0.0,0.0
x1034y1050,0.6325953771423384,0.0,0.0,0.0,0.0,0.0,0.0,0.1010779046926684,0.26632671816499326,0.0,0.0,0.0
x1534y1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
x2034y1050,0.5660971591283849,0.38638763982361474,0.0,0.0,0.047515201048000444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3034y1050,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x3534y1050,0.7439483320425192,0.16258763941231796,0.0,0.0,0.0,0.002430640514450668,0.0910333880307121,0.0,0.0,0.0,0.0,0.0
x4534y1050,0.0,0.5751947941209932,0.15767308920027234,0.0,0.190923498510159,0.07620861816857545,0.0,0.0,0.0,0.0,0.0,0.0
x5034y1050,0.5389099973407484,0.0,0.0,0.0,0.0,0.46109000265925165,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1050,0.0,0.0,0.6207606366737544,0.0,0.0,0.0,0.0,0.0,0.3792393633262457,0.0,0.0,0.0
x7034y1050,0.0,0.0,0.2847812137076257,0.0,0.2940137781292177,0.0,0.0,0.0,0.0,0.0,0.42120500816315654,0.0
x7534y1050,0.0,0.0,0.0,0.0,0.35970160825131026,0.0,0.0,0.182077157296597,0.0,0.0,0.4582212344520928,0.0
x8034y1050,0.4938752171481612,0.0,0.0,0.0,0.0,0.0,0.029992630751939316,0.16981174805462207,0.0,0.0,0.3063204040452774,0.0
x8534y1050,0.0,0.0,0.0,0.9106703046210051,0.0,0.0,0.07078487741792129,0.0,0.018544817961073636,0.0,0.0,0.0
x9034y1050,0.3344430311151617,0.0,0.0,0.1701185172450533,0.0,0.4913780057985771,0.004060445841207856,0.0,0.0,0.0,0.0,0.0
x9534y1050,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y1050,0.16131034181983064,0.0,0.7141924943886293,0.0,0.0,0.0,0.0,0.12449716379154004,0.0,0.0,0.0,0.0
x10534y1050,0.09405558987252748,0.0,0.0,0.8663496793082841,0.0,0.0,0.0,0.03959473081918845,0.0,0.0,0.0,0.0
x34y1550,0.11871628600100975,0.0,0.0,0.8812837139989903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y1550,0.0,0.0,0.0,0.8909496475273792,0.0,0.0,0.0,0.10905035247262083,0.0,0.0,0.0,0.0
x1034y1550,0.07089091057048799,0.0,0.0,0.6784382603568745,0.0,0.2506708290726376,0.0,0.0,0.0,0.0,0.0,0.0
x2034y1550,0.0,0.8563862482190311,0.0,0.0,0.0,0.0,0.14361375178096894,0.0,0.0,0.0,0.0,0.0
x4534y1550,0.0,0.1257188124450115,0.0,0.6143396551068154,0.0,0.2599415324481731,0.0,0.0,0.0,0.0,0.0,0.0
x5034y1550,0.21072700279566126,0.0,0.24218701228104267,0.43792837137253715,0.0,0.10915761355075887,0.0,0.0,0.0,0.0,0.0,0.0
x5534y1550,0.0,0.0,0.0,0.5877667546346315,0.0,0.4122332453653685,0.0,0.0,0.0,0.0,0.0,0.0
x6034y1550,0.0,0.0,0.0,0.9854225056267629,0.0,0.0,0.0,0.014577494373237203,0.0,0.0,0.0,0.0
x6534y1550,0.0,0.0,0.0,0.8635420183467295,0.0,0.014419594352007774,0.1220383873012628,0.0,0.0,0.0,0.0,0.0
x7034y1550,0.0,0.0,0.0,0.8853462495940274,0.0,0.10435097338598343,0.0,0.010302777019989166,0.0,0.0,0.0,0.0
x7534y1550,0.2965376340480593,0.0,0.0,0.7034623659519408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8034y1550,0.8612808882669326,0.13871911173306742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x8534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y1550,0.0,0.0,0.0,0.8378656567576263,0.0,0.0,0.16213434324237377,0.0,0.0,0.0,0.0,0.0
x9534y1550,0.12440238141712757,0.0,0.0,0.7507140126692375,0.0,0.0,0.0,0.12488360591363494,0.0,0.0,0.0,0.0
x10034y1550,0.0,0.0,0.0,0.8091942835940833,0.0,0.10753800270649982,0.0,0.08326771369941684,0.0,0.0,0.0,0.0
x10534y1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y2050,0.0,0.0,0.0,0.8834441538674598,0.0,0.0,0.0,0.0747359397472931,0.0418199063852471,0.0,0.0,0.0
x534y2050,0.0,0.05497944602451379,0.0,0.8675291124411666,0.0,0.0,0.0,0.07749144153431953,0.0,0.0,0.0,0.0
x1034y2050,0.0,0.0,0.0,0.6429719366625354,0.0,0.2861099529889948,0.07091811034846981,0.0,0.0,0.0,0.0,0.0
x1534y2050,0.0,0.0,0.0,0.32202688036998856,0.0,0.5629258023741817,0.0,0.11504731725582971,0.0,0.0,0.0,0.0
x5034y2050,0.1191784108082308,0.0,0.0,0.7581572388677162,0.0,0.0,0.041972441399262435,0.08069190892479047,0.0,0.0,0.0,0.0
x5534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6034y2050,0.0,0.0,0.0,0.9767632261636983,0.0,0.023236773836301818,0.0,0.0,0.0,0.0,0.0,0.0
x6534y2050,0.1779321584134167,0.0,0.0,0.35559948426840393,0.0,0.0,0.46646835731817937,0.0,0.0,0.0,0.0,0.0
x7034y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x7534y2050,0.0,0.04789140775502503,0.0,0.8925614439766275,0.0,0.0,0.0,0.0,0.0,0.05954714826834745,0.0,0.0
x8034y2050,0.0,0.0,0.0,0.8847731762359312,0.0,0.0,0.11522682376406877,0.0,0.0,0.0,0.0,0.0
x8534y2050,0.3145833238185837,0.0,0.0,0.6854166761814163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9034y2050,0.0,0.0,0.0,0.8383024015408439,0.1616975984591561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x9534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10034y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x10534y2050,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x34y2550,0.0,0.0,0.0,0.9993299461987963,0.000670053801203623,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x534y2550,0.0,0.0,0.0,0.992369672886178,0.0,0.0,0.0,0.0076303271138220465,0.0,0.0,0.0,0.0
x1034y2550,0.026649132857841856,0.0,0.0,0.9733508671421581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x1534y2550,0.0,0.0,0.0,0.9576338765695633,0.0,0.0,0.03353932113771801,0.008826802292718644,0.0,0.0,0.0,0.0
x2034y2550,0.0,0.0,0.0,0.9375679194679224,0.0,0.06243208053207767,0.0,0.0,0.0,0.0,0.0,0.0
x2534y2550,0.18572284985199608,0.4157209602991595,0.24230113185192448,0.0,0.0,0.0,0.0,0.15625505799691997,0.0,0.0,0.0,0.0
x3034y2550,0.0,0.0,0.5535552658384045,0.0,0.15425811698313818,0.0,0.0,0.0,0.0,0.0,0.29218661717845723,0.0
x4534y2550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5034y2550,0.0,0.0,0.26562256045000865,0.7343774395499914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x5534y2550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x6034y2550,0.0,0.0,0.0,0.9467777516200038,0.0,0.0,0.05322224640632374,1.97367247907258e-09,0.0,0.0,0.0,0.0
x6534y2550,0.0,0.0,0.0,0.9465429707241965,0.0,0.0,0.03302786544329385,0.02042916383250973,0.0,0.0,0.0,0.0
x7034y2550,0.0,0.0,0.0,0.9946788988064177,0.0,0.005321101193582371,0.0,0.0,0.0,0.0,0.0,0.0
x7534y2550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
