,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.08170638028750898,0.0,0.042612851841463614,0.005924423457258821,0.0,0.18490185506600815,0.01842654539077142,0.14546918463110622,0.08727334439748805,0.1680013947260801,0.13425233036436887,0.13143168983794584
x534y50,0.29354840990695,0.0161175061770398,0.040206165309082754,0.0,0.17186701338674842,0.0,0.00912122756150257,0.18650540255644155,0.0,0.19698618929842726,0.0,0.08564808580380756
x1034y50,0.27258338299289475,0.0,0.0,0.0,0.0,0.2162713285696982,0.023950016079208377,0.17497223786160984,0.16121293699724082,0.0,0.1510100974993481,0.0
x1534y50,0.26634307889066555,0.006670412771420744,0.011275346285363044,0.0,0.0,0.2445136763897514,0.02997493369767178,0.13575552259733933,0.08698480908074721,0.1270079774983463,0.0,0.09147424278869466
x2034y50,0.2568176193007644,0.0,0.01741218452197217,0.0038725545846370777,0.06149552382774056,0.13594048373092868,0.012484441482452036,0.10574000945489039,0.07094878087173039,0.11525811410023783,0.13468868922361868,0.08534159890102765
x3034y50,0.05739951762343544,0.028963090144210373,0.11997148846822567,0.0,0.0,0.36763749259312517,0.0,0.13441570102750156,0.0,0.16649646401135457,0.0,0.12511624613214722
x34y550,0.0687328381909123,0.07738234322313273,0.0,0.12103792158489102,0.0,0.2596076798654862,0.0,0.126206981239247,0.13087677704606532,0.16429635286930902,0.0,0.0518591059809563
x534y550,0.04367994982144576,0.002689934331409353,0.0,0.002462424636381472,0.2196844647364079,0.3005170530921504,0.006429815754204472,0.12282356513411406,0.04204463960861776,0.13696860891157456,0.06501145255392625,0.05768809141976791
x1534y550,0.03505337663656287,0.0,0.0,0.0,0.0,0.31255993780840796,0.017107127527941187,0.25243626242883543,0.0,0.11513821536505085,0.20833766993583208,0.05936741029736968
x2534y550,0.23387683446614344,0.008193386460928912,0.052604801584779856,0.0,0.0,0.22669629166093586,0.0,0.20683430571714145,0.0,0.09731292148973889,0.0,0.17448145862033154
x4534y550,0.27437134190737245,0.0,0.02391152397191348,0.0,0.06076761967376133,0.19955846235590408,0.0,0.1034427136889009,0.0,0.15805773873375065,0.0,0.17989059966839707
x5534y550,0.14259037272967448,0.0,0.0,0.0,0.03830617223637315,0.30240610798070844,0.01464504075098677,0.24675004326403094,0.0,0.09144573113385834,0.1638565319043679,0.0
x6034y550,0.08805018872527891,0.022346963252605608,0.25761392909707637,0.0,0.0,0.28580991143186846,0.04065532800536829,0.0,0.0,0.15707531036112765,0.1484483691266747,0.0
x7034y550,0.045842146253811146,0.0,0.04406506743065297,0.06485840703823806,0.035441660874927006,0.13016362474573734,0.0,0.19351159005715007,0.14887774440383744,0.0,0.29303588721905327,0.04420387197659272
x8034y550,0.1561948087027248,0.18231277826176198,0.0,0.012990542306588583,0.0,0.2878822586238981,0.0,0.15935404280158907,0.0,0.0,0.0,0.20126556930343745
x8534y550,0.09415770714283245,0.0,0.02009996771993278,0.007968831773796153,0.0,0.300165227627193,0.04741343981906039,0.23723616749613755,0.06881317933328335,0.12074583356611135,0.0,0.10339964552165307
x9034y550,0.05425629033223777,0.011897237770914075,0.06991158529945135,0.0017450634336305625,0.09451316663862921,0.2961436221020777,0.00785024470273198,0.11958239549542933,0.03390333736934226,0.05568088553494553,0.11296480841852355,0.1415513629020868
x9534y550,0.043813265316558554,0.0,0.018890246664377202,0.0018010397895375867,0.0666155910432042,0.29738969150459577,0.01537226820713239,0.13788823355249644,0.06505245101153477,0.07132580063694947,0.1389473828231504,0.14290402945046315
x10034y550,0.1125320329910922,0.0,0.04066371973379666,0.03416455423660171,0.029125440103792914,0.3000266339357804,0.004632866796855181,0.13131677358099048,0.03847282071976699,0.14572860873917415,0.16333654916214924,0.0
x34y1050,0.07584216380748236,0.01935223521648579,0.0,0.0,0.17157781219434595,0.42759568296369105,0.0,0.2004094888902438,0.0,0.06115297006341463,0.0,0.04406964686433626
x1034y1050,0.1830057009951825,0.0,0.0,0.004258241744095722,0.002984559459562278,0.15222572016263064,0.01168279873292753,0.15676780076643745,0.0,0.1990800740911627,0.2899951040480011,0.0
x1534y1050,0.04381649365753149,0.0,0.01632570936777313,0.0017467118955729552,0.02200426470219588,0.2096193682286565,0.015120480577343838,0.09792242611146287,0.0,0.14607050499593896,0.36084386386259304,0.08653017660093133
x2034y1050,0.17409444353852632,0.0,0.0,0.0,0.0,0.19652737959890504,0.0,0.1851439325358808,0.0,0.13867040543906745,0.3055638388876205,0.0
x3034y1050,0.12544141017964178,0.0,0.2926579328771984,0.002431571574496003,0.0,0.21150154462001902,0.0,0.0,0.02786119958097931,0.20124553545589502,0.0,0.1388608057117705
x3534y1050,0.1865416630595832,0.021337282140318537,0.04092019376323799,0.0,0.02906509198803738,0.19105369340088565,0.016845082348755286,0.11596902384700222,0.03756099744750086,0.20466827028420403,0.0,0.1560387017204749
x4534y1050,0.0805821685250951,0.026564728753768738,0.01330346460042986,0.0060541951813764755,0.019284168229697345,0.30212803579213043,0.030475466293346135,0.12875217906479586,0.041568805517917,0.11699290829716065,0.12598927025941345,0.10830460948486893
x5034y1050,0.19438426764449435,0.004039788631994152,0.033030662773510945,0.0,0.012658868198171778,0.2695718088882275,0.004149827988706659,0.10101510589686742,0.03675391875153824,0.1502548469796303,0.1221182032865253,0.07202270096033346
x5534y1050,0.1354886660436513,0.01012961279195811,0.08267326704321692,0.004612822496240514,0.06624713144203659,0.2528160795288807,0.0,0.1407608296357138,0.0,0.0,0.30727159101830215,0.0
x7034y1050,0.057931873639950796,0.010030640664107362,0.06968818146539675,0.0029064955598708925,0.03823732883554433,0.2485904775756679,0.024693800970984805,0.13972246167529098,0.05095937559516894,0.0,0.3572393640180172,0.0
