,Astro,Endo,Micro,Oligo,PVALB,SST,Smc,VIP,eL2/3,eL4,eL5,eL6
x34y50,0.08218987180966057,0.11901127324217584,0.2640623922300332,0.0,0.0,0.0,0.0,0.2883594637225557,0.0,0.0,0.24637699899557458,0.0
x534y50,0.7447645825531155,0.033051376932831986,0.017118269041175842,0.0,0.0548297820961084,0.0,0.03108023280598575,0.005270154974625869,0.02005856781134047,0.09382703378481617,0.0,0.0
x1034y50,0.6154546238014886,0.0,0.0,0.0,0.09012330290886107,0.0,1.516739553209398e-10,0.0,0.06919482630399187,0.0,0.15249560629023204,0.07273164054375242
x1534y50,0.723382079013515,0.0,0.0,0.0,0.0,0.0,0.21976278446740755,0.028835676628510356,0.028019459890567068,0.0,0.0,0.0
x2034y50,0.7539340059814488,0.0,0.0,0.047597715703724695,0.04035186962979683,0.011858391885999724,0.0,0.0,0.07170591639294785,0.0,0.03357813404929267,0.04097396635678939
x3034y50,0.013183603890101276,0.010833796810790584,0.41778053872318366,0.0,0.0,0.37318615434554026,0.0,0.0,0.0,0.18501590623038425,0.0,0.0
x34y550,0.0,0.06587926124899525,0.03058029971970382,0.7008916687066686,0.003918506272484083,0.0,0.0,0.01565193888479467,0.09981830165696325,0.0832600235103904,0.0,0.0
x534y550,0.0,0.0,0.0,0.0,0.810882640626234,0.08705270913479084,0.0,0.07573345971052367,0.0,0.005950329101053476,0.0,0.020380861427398006
x1534y550,0.006621638578328052,0.0,0.0,0.025064842018893627,0.0,0.0,0.04767728227459919,0.729643783868564,0.0,0.026787940603622835,0.16420451265599229,0.0
x2534y550,0.6743623185169847,0.0,0.0,0.0,0.05905162326508538,0.0,0.0,0.20366614445161277,0.0,0.0,0.0629199137663173,0.0
x4534y550,0.758688911535827,0.0,0.0,0.0,0.11260508042253504,0.0,0.0033417704709078747,0.03382038939846956,0.0,0.03526990048644679,0.0,0.056273947685813765
x5534y550,0.34823961424732575,0.0,0.0,0.0,0.0,0.0,0.13243540892048694,0.5193249768321873,0.0,0.0,0.0,0.0
x6034y550,0.0,0.0,0.7632769901422696,0.0,0.08998404073873285,0.0,0.0,0.0,0.041546838656987724,0.0,0.10519213046200979,0.0
x7034y550,0.0,0.0,0.2078255314384939,0.3445897425263928,0.0,0.11167047709984626,0.0,0.008282627678122647,0.1554587348740799,0.0,0.06658088947493596,0.1055919969081287
x8034y550,0.03931681016382048,0.6799279376340589,0.09320172897275977,0.0,0.0,0.06792036667083078,0.0,0.04186585062780875,0.0,0.0,0.0,0.07776730593072137
x8534y550,0.1768738381248592,0.0,0.2530196119659258,0.025954749941348536,0.204787423274803,0.026970529955492838,0.0,0.14093394367379972,0.0,0.0,0.0,0.17145990306377096
x9034y550,0.0,0.1250455001786075,0.11843611599832617,0.0,0.509934852517781,0.0,0.0,0.15411493276885907,0.0,0.0,0.0,0.09246859853642635
x9534y550,0.0,0.0079702878316365,0.0,0.0,0.33774424192079955,0.30371859406588236,0.0,0.0,0.0,0.0,0.35056687618168164,0.0
x10034y550,0.3660190337977995,0.03461633066513738,0.09721879847637178,0.34379972625831473,0.0,0.0,0.0,0.12034060191925462,0.0,0.03800550888312202,0.0,0.0
x34y1050,0.01449508500232643,0.007576055530851172,0.0,0.0,0.3415874221397824,0.39377103693783105,0.0,0.17022084874133742,0.0,0.0,0.039210487909549084,0.03313906373832257
x1034y1050,0.5212815247912836,0.0,0.0,0.0,0.0,0.0,0.00944952017163389,0.1223183578678004,0.0566509558467198,0.0710200259939186,0.14180673971883384,0.07747287560980985
x1534y1050,0.0,0.04141438467141414,0.1791053391980684,0.0,0.10369794973479977,0.0,0.0,0.0,0.0,0.0,0.6757823263957178,0.0
x2034y1050,0.46948833010008084,0.1661508996179412,0.0,0.0,0.009567051762273349,0.0,0.0,0.2746473196752427,0.0,0.0,0.08014639884446188,0.0
x3034y1050,0.05974913438114181,0.0,0.9149811731823735,0.0,0.0,0.0027316324583401184,0.0,0.0,0.0,0.0,0.0,0.022538059978144676
x3534y1050,0.7310367074814427,0.02428776412410688,0.0,0.0,0.06950949682131037,0.0,0.08163912263749232,0.0,0.03327238945932766,0.0,0.0,0.06025451947632012
x4534y1050,0.0,0.5195002646265902,0.0,0.0,0.0,0.08720743871711537,0.07443127569649538,0.15459638823749033,0.0,0.0,0.16426463272230876,0.0
x5034y1050,0.6113219385990023,0.02192096130307128,0.0,0.0,0.0,0.34619824792661763,0.0,0.0,0.0,0.020558852171308782,0.0,0.0
x5534y1050,0.11935266509126709,0.0,0.5706170868732483,0.0,0.0,0.0,0.0,0.2415719973612657,0.06845825067421893,0.0,0.0,0.0
x7034y1050,0.0,0.15222993979995636,0.19647733284150165,0.0,0.08459277986957466,0.0,0.0,0.0,0.0,0.0,0.5666999474889672,0.0
x7534y1050,0.06004287349895933,0.1274017057948371,0.0,0.023106655049502694,0.27007313426228763,0.0,0.0,0.19440840486543534,0.0,0.0,0.3249672265289779,0.0
x8034y1050,0.18380919759210743,0.18348597807261097,0.0,0.10976904187114477,0.08241311194781357,0.0,0.0,0.22209033981982562,0.0,0.0,0.14225420222985025,0.07617812846664736
x8534y1050,0.010682968654525147,0.0,0.0,0.8714807234378495,0.08343016818827947,0.0,0.03440613971934585,0.0,0.0,0.0,0.0,0.0
x9034y1050,0.7174250552662481,0.0,0.0,0.034736447486443355,0.0,0.07066092288635195,0.08627829904902168,0.09089927531193488,0.0,0.0,0.0,0.0
x9534y1050,0.007983536472799086,0.1273317439237658,0.0,0.0036165645522073333,0.0,0.5599527112846886,0.0,0.24496158114742128,0.023115934096383243,0.0,0.0,0.03303792852273452
x10034y1050,0.47565725917055557,0.0038111192689427313,0.24621704037251735,0.013981796917732508,0.0,0.0,0.0,0.2324285783823568,0.0,0.0,0.0,0.027904205887895002
x10534y1050,0.2968717421809229,0.0,0.0,0.6690962060220051,0.015187352732284729,0.0,0.01884469906478728,0.0,0.0,0.0,0.0,0.0
x34y1550,0.036555219745070845,0.14279928035579603,0.0,0.6027547051593837,0.13102462812690926,0.05231371630420038,0.0,0.0,0.0,0.0,0.034552450308639696,0.0
x534y1550,0.0,0.0,0.3267082359969806,0.6036629706181558,0.0,0.06962879338486362,0.0,0.0,0.0,0.0,0.0,0.0
x1034y1550,0.655911700036675,0.0,0.0,0.07141218469773813,0.20922069755533448,0.0,0.06345541771025238,0.0,0.0,0.0,0.0,0.0
